,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,irWebsite,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 62, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 16239562, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
1,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Luca  Maestri', 'age': 60, 'title': 'CFO & Senior VP', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 4612242, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
2,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 59, 'title': 'Chief Operating Officer', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4637585, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
3,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Ms. Katherine L. Adams', 'age': 59, 'title': 'Senior VP, General Counsel & Secretary', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4618064, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
4,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': ""Ms. Deirdre  O'Brien"", 'age': 56, 'title': 'Chief People Officer & Senior VP of Retail', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 4613369, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
5,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Senior Director of Corporate Accounting', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
6,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Suhasini  Chandramouli', 'title': 'Director of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
7,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Senior Vice President of Worldwide Marketing', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
8,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Adrian  Perica', 'age': 49, 'title': 'Head of Corporate Development', 'yearBorn': 1974, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
9,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Michael  Fenger', 'title': 'VP of Worldwide Sales', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,243.01,244.05,242.23,244.54,243.01,244.05,242.23,244.54,1.0,0.0041,1731024000,0.1612,0.62,1.24,39.983555,29.262716,20277316,20277316,48495584,44491610,44491610,243.05,243.16,300,300,3674650968064,164.08,244.54,9.3972435,229.7486,206.71405,0.98,0.004032756,USD,3727184101376,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61926997,3.21,0.0093,15332100096,3.767,64.53411,1727481600,1759017600,1727481600,-0.358,93736001536,6.08,8.31,4:1,1598832000,9.532,27.678,0.250888,0.32730794,0.25,1731024000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,243.1,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.5108
