,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-11-29 00:00:00-05:00,156.1,157.88,155.53,156.95,11,2021,48,4,2.19,-0.19,7.81,8.77,26.65,35.19,154.05,156.99,156.59,148.51,150.5,152.65,143.71,145.38,148.16,130.83,135.11,140.84
1,2021-11-30 00:00:00-05:00,156.7,162.12,156.63,161.9,11,2021,48,4,3.16,2.66,8.5,11.4,30.7,38.25,155.36,157.83,158.23,149.15,151.31,153.74,144.07,145.82,148.81,130.98,135.27,141.1
2,2021-12-01 00:00:00-05:00,164.04,166.8,161.15,161.38,12,2021,48,4,-0.32,2.08,10.15,7.77,31.91,38.86,156.36,158.49,159.41,149.73,152.05,154.7,144.41,146.24,149.42,131.13,135.44,141.36
3,2021-12-02 00:00:00-05:00,155.48,160.83,154.56,160.4,12,2021,48,4,-0.61,1.12,10.1,8.01,31.81,39.6,157.03,158.84,160.05,150.24,152.66,155.49,144.72,146.59,149.98,131.28,135.61,141.61
4,2021-12-03 00:00:00-05:00,160.65,161.57,156.44,158.51,12,2021,48,4,-1.17,3.21,8.04,6.27,30.61,37.25,157.28,159.83,159.94,150.63,153.2,156.05,144.99,146.89,150.44,131.41,135.77,141.84
5,2021-12-06 00:00:00-05:00,160.91,164.43,160.9,161.92,12,2021,49,4,2.15,3.17,9.29,7.75,32.58,41.76,158.05,160.82,160.64,151.17,153.89,156.88,145.33,147.26,151.03,131.57,135.97,142.1
6,2021-12-07 00:00:00-05:00,165.61,168.05,164.88,167.66,12,2021,49,4,3.54,3.56,13.56,11.1,38.97,51.28,159.66,161.98,162.92,151.95,154.9,158.19,145.76,147.77,151.83,131.75,136.19,142.42
7,2021-12-08 00:00:00-05:00,168.59,172.34,167.19,171.48,12,2021,49,4,2.28,6.26,15.73,11.9,39.49,52.96,161.63,164.0,166.08,152.88,156.09,159.77,146.27,148.42,152.76,131.94,136.44,142.77
8,2021-12-09 00:00:00-05:00,171.32,173.12,170.35,170.97,12,2021,49,4,-0.3,6.6,16.03,12.7,39.06,51.37,163.18,166.11,168.41,153.75,157.4,161.19,146.75,149.05,153.65,132.14,136.7,143.11
9,2021-12-10 00:00:00-05:00,171.61,175.94,171.1,175.76,12,2021,49,4,2.8,10.88,18.99,16.64,42.01,54.86,165.28,169.56,171.63,154.79,158.94,162.94,147.32,149.79,154.69,132.36,136.99,143.5
