,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-12-23 00:00:00-05:00,170.5,171.99,166.89,171.31,12,2021,51,4,1.19,9.55,-5.73,0.79,14.44,18.38,168.28,164.28,166.87,174.29,171.16,169.15,170.54,178.09,177.06,160.67,163.78,165.46
1,2021-12-27 00:00:00-05:00,169.81,172.43,168.78,171.68,12,2021,52,4,0.22,8.72,-3.7,-1.97,14.7,23.29,168.85,167.03,169.34,174.16,171.05,169.2,170.57,178.11,176.81,160.72,163.6,165.54
2,2021-12-28 00:00:00-05:00,171.32,172.73,167.73,169.71,12,2021,52,4,-1.15,7.94,-5.66,-3.51,11.96,30.55,168.99,169.53,170.23,173.95,170.53,169.07,170.55,178.12,176.48,160.77,163.4,165.6
3,2021-12-29 00:00:00-05:00,169.52,170.48,165.02,167.44,12,2021,52,4,-1.34,1.07,-3.69,-3.91,11.09,34.17,168.73,169.89,169.53,173.64,170.28,168.77,170.49,178.03,176.06,160.8,163.24,165.64
4,2021-12-30 00:00:00-05:00,167.06,170.85,165.71,168.78,12,2021,52,4,0.8,-0.3,-6.27,0.12,12.77,22.31,168.74,169.78,169.16,173.41,170.56,168.63,170.45,177.99,175.7,160.84,163.08,165.7
5,2021-12-31 00:00:00-05:00,168.78,170.87,166.08,166.49,12,2021,52,4,-1.36,-2.81,-3.51,-0.94,11.04,13.22,168.37,168.82,168.07,173.08,170.41,168.24,170.38,177.92,175.25,160.87,162.95,165.73
6,2022-01-03 00:00:00-05:00,165.3,172.84,165.22,172.68,1,2022,1,1,3.72,0.58,5.89,2.94,18.21,9.78,169.08,169.02,169.35,173.06,170.7,168.46,170.42,177.96,175.04,160.93,162.84,165.83
7,2022-01-04 00:00:00-05:00,174.15,175.9,167.2,170.8,1,2022,1,1,-1.09,0.64,0.71,-1.28,11.53,4.77,169.37,169.24,169.95,172.95,170.2,168.47,170.43,178.05,174.76,160.98,162.72,165.91
8,2022-01-05 00:00:00-05:00,169.88,175.11,162.24,162.25,1,2022,1,1,-5.01,-3.1,-2.7,-1.37,5.99,-0.58,168.18,168.2,167.62,172.44,169.16,167.71,170.27,177.91,174.14,160.98,162.6,165.9
9,2022-01-06 00:00:00-05:00,160.29,163.73,156.34,159.75,1,2022,1,1,-1.54,-5.35,-11.67,-3.03,6.34,1.1,166.78,166.39,164.8,171.84,167.82,166.82,170.06,177.68,173.43,160.98,162.5,165.87
10,2022-01-07 00:00:00-05:00,159.18,166.88,158.46,166.05,1,2022,1,1,3.94,-0.26,-9.33,-0.72,11.92,7.24,166.66,166.31,164.69,171.56,167.05,166.65,169.98,177.62,172.97,161.0,162.45,165.91
