,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-03-11 00:00:00-05:00,448.14,454.07,447.31,451.06,3,2021,10,1,3.22,2.73,-8.65,-7.19,-15.5,33.64,449.09,437.86,440.27,467.15,464.97,453.52,470.3,472.88,467.82,420.66,465.15,474.71
1,2021-03-12 00:00:00-05:00,443.45,445.89,438.6,444.3,3,2021,10,1,-1.5,0.79,-10.43,-9.74,-12.5,28.74,448.29,438.55,442.42,466.06,462.35,451.56,469.79,471.73,466.69,420.77,465.5,474.5
2,2021-03-15 00:00:00-04:00,444.4,447.79,437.77,447.59,3,2021,11,1,0.74,6.27,-9.15,-9.63,-9.02,24.23,448.17,443.83,445.44,465.18,459.79,450.15,469.36,470.73,465.75,420.91,465.84,474.32
3,2021-03-16 00:00:00-04:00,452.01,457.41,449.67,450.54,3,2021,11,1,0.66,2.59,-9.28,-6.86,-2.51,29.34,448.57,446.1,447.67,464.49,457.23,449.27,468.99,469.74,464.96,421.05,466.16,474.17
4,2021-03-17 00:00:00-04:00,445.44,453.94,441.02,451.01,3,2021,11,1,0.1,3.2,-9.59,-5.42,-5.93,23.95,448.98,448.9,449.31,463.84,455.22,448.68,468.64,469.05,464.22,421.2,466.46,474.02
5,2021-03-18 00:00:00-04:00,443.16,446.86,438.5,439.18,3,2021,11,1,-2.62,-2.63,-12.45,-7.72,-7.79,25.11,447.34,446.52,446.07,462.67,452.76,447.15,468.06,468.12,463.05,421.29,466.71,473.75
6,2021-03-19 00:00:00-04:00,439.18,444.5,438.14,441.5,3,2021,11,1,0.53,-0.63,-10.12,-9.23,-6.33,31.1,446.37,445.96,444.39,461.66,450.88,446.08,467.54,467.63,462.01,421.39,466.96,473.5
7,2021-03-22 00:00:00-04:00,444.86,457.82,444.86,452.41,3,2021,12,1,2.47,1.08,-7.36,-6.26,-6.89,47.95,447.38,446.93,446.54,461.22,450.14,446.22,467.24,467.12,461.41,421.55,467.3,473.35
8,2021-03-23 00:00:00-04:00,457.35,466.88,456.41,460.2,3,2021,12,1,1.72,2.14,-3.95,-6.06,-7.53,38.46,449.51,448.86,450.97,461.17,449.76,447.18,467.1,466.62,461.14,421.74,467.63,473.28
9,2021-03-24 00:00:00-04:00,464.76,465.61,448.34,451.51,3,2021,12,1,-1.89,0.11,-3.39,-8.85,-5.14,43.23,449.85,448.96,451.85,460.71,448.5,447.35,466.8,466.17,460.55,421.89,467.9,473.12
10,2021-03-25 00:00:00-04:00,448.33,456.87,445.41,450.99,3,2021,12,1,-0.12,2.69,-3.59,-10.33,-4.91,58.24,450.04,451.32,452.53,460.25,448.09,447.58,466.49,465.75,459.95,422.03,468.17,472.95
11,2021-03-26 00:00:00-04:00,450.25,469.77,449.05,469.09,3,2021,12,1,4.01,6.25,-1.58,-5.88,0.33,39.82,453.21,456.84,458.45,460.67,448.56,449.58,466.54,465.69,460.08,422.27,468.48,472.96
12,2021-03-29 00:00:00-04:00,469.03,472.0,462.5,469.32,3,2021,13,1,0.05,3.74,2.21,-6.91,-1.33,64.08,455.9,460.22,462.61,461.08,448.55,451.56,466.59,465.82,460.22,422.5,468.89,472.97
13,2021-03-30 00:00:00-04:00,462.58,469.09,461.5,465.46,3,2021,13,1,-0.82,1.14,1.26,-6.33,-4.38,49.28,457.49,461.27,464.36,461.29,448.49,453.17,466.57,465.96,460.21,422.71,469.19,472.94
14,2021-03-31 00:00:00-04:00,469.7,482.41,468.7,475.37,3,2021,13,1,2.13,5.28,1.24,-4.9,1.06,61.36,460.47,466.05,469.05,461.96,449.84,455.73,466.74,466.34,460.58,422.98,469.56,473.0
15,2021-04-01 00:00:00-04:00,483.12,487.04,480.71,483.34,4,2021,13,2,1.68,7.17,3.59,-3.13,3.35,57.18,464.28,472.52,474.82,462.98,452.05,458.92,467.07,466.61,461.24,423.28,469.91,473.14
16,2021-04-05 00:00:00-04:00,483.69,495.51,480.5,491.62,4,2021,14,2,1.71,4.8,9.63,-2.09,2.47,66.46,468.84,477.02,481.19,464.34,454.59,462.69,467.55,467.0,462.23,423.62,470.3,473.35
17,2021-04-06 00:00:00-04:00,492.32,495.59,487.57,491.34,4,2021,14,2,-0.06,4.69,11.91,-1.23,0.58,59.9,472.59,481.43,485.96,465.63,458.1,466.19,468.02,467.38,463.18,423.95,470.66,473.56
18,2021-04-07 00:00:00-04:00,492.98,494.85,487.89,493.41,4,2021,14,2,0.42,6.0,11.93,-1.34,0.83,59.16,476.06,487.02,489.95,466.95,460.81,469.55,468.51,467.78,464.2,424.3,470.99,473.79
19,2021-04-08 00:00:00-04:00,500.16,504.6,498.14,499.84,4,2021,14,2,1.3,5.15,18.67,2.99,1.92,63.39,480.02,491.91,494.23,468.52,463.95,473.27,469.13,468.25,465.46,424.67,471.29,474.07
