,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-01-21 00:00:00-05:00,89.34,92.07,88.43,91.53,1,2021,3,1,3.13,-0.27,-5.48,10.05,66.66,91.37,91.34,89.75,89.88,90.63,92.05,91.81,84.9,90.22,91.94,66.34,73.18,81.39
1,2021-01-22 00:00:00-05:00,94.42,95.95,91.88,92.79,1,2021,3,1,1.38,2.2,-3.26,13.16,68.59,89.48,91.59,90.15,90.9,90.73,92.03,91.88,85.06,90.41,92.04,66.47,73.4,81.58
2,2021-01-25 00:00:00-05:00,94.14,95.74,91.4,94.13,1,2021,4,1,1.44,6.71,0.97,15.41,63.82,95.41,92.01,91.33,92.22,90.89,92.16,92.08,85.24,90.74,92.19,66.61,73.63,81.79
3,2021-01-26 00:00:00-05:00,94.91,95.72,93.63,94.71,1,2021,4,1,0.62,5.88,1.66,19.58,66.16,94.28,92.46,92.38,93.35,91.08,92.31,92.32,85.42,91.0,92.35,66.75,73.86,82.0
4,2021-01-27 00:00:00-05:00,91.1,91.88,86.22,88.84,1,2021,4,1,-6.2,0.1,-2.96,11.86,43.78,84.28,91.86,92.4,92.17,90.97,92.17,91.99,85.49,91.14,92.26,66.86,74.05,82.15
5,2021-01-28 00:00:00-05:00,89.83,89.88,87.3,87.52,1,2021,4,1,-1.49,-4.38,-4.67,6.78,46.92,80.27,91.13,91.6,90.54,90.8,92.01,91.55,85.53,91.27,92.12,66.96,74.21,82.28
6,2021-01-29 00:00:00-05:00,87.56,88.33,85.02,85.64,1,2021,4,1,-2.15,-7.71,-6.51,4.15,23.4,72.07,90.22,90.17,88.56,90.56,91.68,90.94,85.53,91.3,91.9,67.05,74.37,82.4
7,2021-02-01 00:00:00-05:00,86.83,87.95,84.66,87.66,2,2021,5,1,2.36,-6.87,-3.27,11.13,27.1,72.12,89.79,88.87,87.72,90.42,91.48,90.56,85.57,91.39,91.76,67.15,74.52,82.53
8,2021-02-02 00:00:00-05:00,88.49,89.28,86.95,88.86,2,2021,5,1,1.37,-6.18,-3.72,16.31,31.43,74.06,89.64,87.7,87.72,90.35,91.31,90.31,85.64,91.52,91.66,67.26,74.68,82.67
9,2021-02-03 00:00:00-05:00,88.6,89.48,87.34,87.89,2,2021,5,1,-1.09,-1.07,-4.17,12.65,15.51,70.89,89.35,87.51,87.78,90.23,91.06,89.99,85.68,91.56,91.51,67.37,74.84,82.8
10,2021-02-04 00:00:00-05:00,88.22,88.6,87.06,87.84,2,2021,5,1,-0.06,0.37,-4.83,16.67,12.33,69.87,89.09,87.58,87.89,90.12,90.94,89.68,85.72,91.63,91.37,67.47,75.01,82.93
11,2021-02-05 00:00:00-05:00,88.15,88.36,86.88,87.9,2,2021,5,1,0.07,2.64,-5.25,17.67,13.52,74.58,88.9,88.03,87.99,90.01,90.57,89.39,85.77,91.68,91.22,67.57,75.17,83.06
12,2021-02-08 00:00:00-05:00,88.31,91.99,87.98,91.47,2,2021,6,1,4.06,4.35,1.26,19.44,17.77,85.69,89.32,88.79,89.14,90.08,90.42,89.48,85.88,91.81,91.21,67.69,75.35,83.22
13,2021-02-09 00:00:00-05:00,91.39,93.3,90.55,90.91,2,2021,6,1,-0.61,2.31,-4.47,11.75,6.9,79.91,89.59,89.2,89.85,90.12,90.1,89.52,85.98,91.89,91.18,67.8,75.52,83.38
14,2021-02-10 00:00:00-05:00,91.5,93.27,90.46,92.35,2,2021,6,1,1.58,5.07,-2.36,11.27,8.25,94.38,90.05,90.09,90.9,90.23,89.95,89.74,86.1,92.0,91.2,67.93,75.7,83.54
15,2021-02-11 00:00:00-05:00,92.9,93.65,91.33,92.66,2,2021,6,1,0.34,5.49,-4.72,7.89,6.86,89.95,90.48,91.06,91.75,90.34,89.99,90.0,86.23,92.0,91.22,68.05,75.89,83.71
16,2021-02-12 00:00:00-05:00,92.75,94.22,91.9,93.77,2,2021,6,1,1.2,6.68,-1.67,12.81,10.51,99.51,91.03,92.23,92.66,90.5,90.14,90.36,86.38,92.02,91.29,68.18,76.09,83.89
17,2021-02-16 00:00:00-05:00,93.9,94.0,90.75,91.46,2,2021,7,1,-2.46,-0.01,-0.35,17.27,11.21,90.46,91.1,92.23,92.4,90.55,90.31,90.48,86.48,91.97,91.27,68.29,76.28,84.04
18,2021-02-17 00:00:00-05:00,90.56,90.96,88.57,89.94,2,2021,7,1,-1.66,-1.07,-0.94,10.65,16.99,81.88,90.91,92.04,91.63,90.52,90.33,90.45,86.55,91.93,91.19,68.4,76.48,84.18
19,2021-02-18 00:00:00-05:00,89.09,89.6,87.31,88.64,2,2021,7,1,-1.45,-4.02,0.49,8.31,7.3,77.85,90.53,91.29,90.5,90.43,90.33,90.28,86.59,91.82,91.06,68.5,76.66,84.3
20,2021-02-19 00:00:00-05:00,89.75,90.42,88.69,89.58,2,2021,7,1,1.06,-3.32,0.15,10.01,9.46,81.63,90.37,90.68,89.93,90.39,90.23,90.21,86.65,91.73,90.97,68.61,76.85,84.43
21,2021-02-22 00:00:00-05:00,88.15,88.3,85.21,85.37,2,2021,8,1,-4.7,-8.96,-3.81,1.96,5.01,71.67,89.54,89.0,88.16,90.15,89.86,89.75,86.62,91.58,90.72,68.69,77.02,84.51
22,2021-02-23 00:00:00-05:00,83.4,85.11,79.36,84.74,2,2021,8,1,-0.74,-7.35,-7.42,1.66,2.81,62.15,88.74,87.65,86.74,89.89,89.39,89.26,86.58,91.47,90.46,68.77,77.18,84.59
23,2021-02-24 00:00:00-05:00,84.33,87.09,82.81,86.94,2,2021,8,1,2.6,-3.34,-6.3,5.33,6.47,61.6,88.44,87.05,86.5,89.75,89.0,89.03,86.59,91.38,90.28,68.86,77.35,84.69
24,2021-02-25 00:00:00-05:00,86.17,87.09,81.92,82.42,2,2021,8,1,-5.2,-7.02,-12.44,-3.65,1.64,52.94,87.44,85.81,84.96,89.4,88.68,88.4,86.51,91.2,89.93,68.93,77.48,84.74
25,2021-02-26 00:00:00-05:00,83.57,85.59,82.91,84.51,2,2021,8,1,2.54,-5.66,-10.77,-0.15,2.1,54.98,86.95,84.8,84.53,89.17,88.53,88.01,86.47,90.99,89.66,69.0,77.64,84.81
26,2021-03-01 00:00:00-05:00,85.37,86.5,83.97,86.39,3,2021,9,1,2.22,1.19,-2.76,1.27,3.08,56.19,86.86,85.0,85.06,89.04,88.57,87.8,86.47,90.78,89.48,69.09,77.81,84.9
27,2021-03-02 00:00:00-05:00,86.92,86.95,84.04,84.13,3,2021,9,1,-2.62,-0.72,-3.87,-1.1,1.26,47.88,86.4,84.88,84.77,88.8,88.39,87.38,86.42,90.52,89.22,69.17,77.96,84.96
28,2021-03-03 00:00:00-05:00,84.28,84.38,80.85,80.86,3,2021,9,1,-3.89,-6.99,-5.58,-6.75,-6.36,37.28,85.48,83.66,83.43,88.43,87.99,86.66,86.31,90.2,88.84,69.22,78.09,84.99
29,2021-03-04 00:00:00-05:00,80.23,81.81,76.78,77.75,3,2021,9,1,-3.85,-5.67,-11.31,-10.83,-9.61,35.76,84.19,82.73,81.46,87.92,87.48,85.69,86.15,89.84,88.36,69.27,78.2,84.98
30,2021-03-05 00:00:00-05:00,79.0,79.48,74.2,78.52,3,2021,9,1,0.99,-7.09,-11.64,-15.26,-6.3,47.37,83.24,81.53,80.06,87.47,87.02,84.84,86.0,89.54,87.91,69.31,78.32,84.99
31,2021-03-08 00:00:00-05:00,78.03,79.0,73.86,73.96,3,2021,10,1,-5.81,-14.39,-15.85,-20.16,-13.55,50.57,81.7,79.04,77.53,86.83,86.32,83.59,85.76,89.16,87.3,69.34,78.41,84.94
32,2021-03-09 00:00:00-05:00,76.73,79.22,75.77,78.53,3,2021,10,1,6.18,-6.66,-10.6,-16.23,-13.53,65.08,81.17,77.92,77.36,86.43,85.67,82.85,85.62,88.9,86.88,69.38,78.53,84.94
33,2021-03-10 00:00:00-05:00,79.75,80.04,77.41,77.52,3,2021,10,1,-1.29,-4.13,-11.81,-16.02,-15.9,63.23,80.56,77.26,77.23,86.01,85.0,82.07,85.46,88.61,86.44,69.42,78.64,84.93
34,2021-03-11 00:00:00-05:00,79.4,81.89,79.37,81.23,3,2021,10,1,4.79,4.48,-11.19,-13.62,-9.96,84.57,80.67,77.95,78.55,85.78,84.45,81.71,85.38,88.41,86.15,69.48,78.78,84.96
35,2021-03-12 00:00:00-05:00,79.73,81.19,79.23,81.05,3,2021,10,1,-0.22,3.22,-10.85,-13.84,-1.81,78.21,80.74,78.46,79.58,85.56,83.87,81.39,85.29,88.21,85.86,69.54,78.92,84.98
36,2021-03-15 00:00:00-04:00,81.91,83.39,81.2,82.5,3,2021,11,1,1.79,11.55,-10.67,-11.21,0.6,73.83,81.03,80.17,80.93,85.41,83.3,81.26,85.24,88.02,85.64,69.6,79.07,85.02
37,2021-03-16 00:00:00-04:00,83.66,84.75,82.26,82.75,3,2021,11,1,0.3,5.37,-10.7,-7.88,5.16,77.01,81.32,81.01,81.79,85.28,82.87,81.21,85.19,87.84,85.43,69.67,79.22,85.06
38,2021-03-17 00:00:00-04:00,81.75,83.25,80.41,82.63,3,2021,11,1,-0.15,6.59,-11.88,-9.85,0.88,64.9,81.54,82.03,82.33,85.16,82.5,81.19,85.14,87.65,85.23,69.73,79.36,85.09
39,2021-03-18 00:00:00-04:00,81.06,81.62,78.01,78.12,3,2021,11,1,-5.46,-3.83,-14.59,-14.76,-1.09,62.38,80.97,81.41,81.03,84.82,81.98,80.77,85.0,87.35,84.85,69.77,79.49,85.08
40,2021-03-19 00:00:00-04:00,78.49,79.34,77.59,79.06,3,2021,11,1,1.2,-2.46,-12.1,-16.59,3.56,62.71,80.65,81.01,80.24,84.55,81.45,80.49,84.88,87.13,84.53,69.82,79.62,85.07
41,2021-03-22 00:00:00-04:00,79.99,81.27,79.22,80.3,3,2021,12,1,1.57,-2.67,-9.41,-17.32,3.08,85.58,80.59,80.57,80.01,84.34,81.2,80.38,84.79,86.83,84.26,69.87,79.76,85.08
42,2021-03-23 00:00:00-04:00,80.13,80.34,77.95,78.38,3,2021,12,1,-2.39,-5.28,-12.5,-19.07,-0.7,72.72,80.22,79.7,79.28,84.06,80.88,80.11,84.67,86.51,83.93,69.91,79.88,85.07
43,2021-03-24 00:00:00-04:00,77.55,78.8,76.4,76.48,3,2021,12,1,-2.42,-7.44,-10.41,-21.02,-0.23,67.35,79.6,78.47,78.2,83.7,80.35,79.7,84.51,86.09,83.53,69.95,80.0,85.03
44,2021-03-25 00:00:00-04:00,75.85,76.95,74.96,76.22,3,2021,12,1,-0.34,-2.43,-10.05,-20.54,-0.43,95.39,79.04,78.09,77.45,83.34,80.04,79.3,84.35,85.71,83.15,69.98,80.1,84.99
