,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-10-08 00:00:00+02:00,22.14,22.19,21.59,21.9,10,2021,40,4,-0.68,-3.08,-4.05,-14.95,-27.29,0.05,22.44,21.94,21.91,23.21,22.79,22.65,24.25,23.4,23.19,24.66,27.0,25.2
1,2021-10-11 00:00:00+02:00,22.22,22.47,22.05,22.42,10,2021,41,4,2.41,1.26,-1.66,-13.9,-25.83,-2.0,22.44,22.0,22.07,23.17,22.76,22.61,24.21,23.38,23.16,24.65,26.97,25.15
2,2021-10-12 00:00:00+02:00,22.33,22.89,22.19,22.81,10,2021,41,4,1.73,3.24,0.66,-12.61,-22.35,1.42,22.5,22.14,22.34,23.15,22.75,22.62,24.18,23.37,23.13,24.64,26.93,25.11
3,2021-10-13 00:00:00+02:00,22.78,23.39,22.66,23.3,10,2021,41,4,2.14,8.23,0.64,-9.15,-20.61,4.46,22.63,22.5,22.72,23.16,22.79,22.67,24.17,23.38,23.13,24.64,26.9,25.08
4,2021-10-14 00:00:00+02:00,23.48,23.76,23.32,23.43,10,2021,41,4,0.56,6.27,2.12,2.75,-22.05,8.28,22.77,22.77,23.04,23.17,22.83,22.73,24.15,23.39,23.13,24.63,26.87,25.04
5,2021-10-15 00:00:00+02:00,23.54,23.86,23.31,23.79,10,2021,41,4,1.53,8.63,6.27,5.33,-18.95,13.8,22.94,23.15,23.37,23.2,22.88,22.82,24.15,23.39,23.15,24.63,26.84,25.01
6,2021-10-18 00:00:00+02:00,23.81,23.97,23.54,23.56,10,2021,42,4,-0.96,5.06,3.86,7.25,-19.73,12.76,23.04,23.38,23.51,23.22,22.94,22.88,24.13,23.39,23.15,24.62,26.8,24.98
7,2021-10-19 00:00:00+02:00,23.62,23.91,23.58,23.87,10,2021,42,4,1.31,4.62,4.76,9.29,-16.59,14.78,23.18,23.59,23.67,23.25,23.0,22.97,24.13,23.39,23.17,24.62,26.76,24.95
8,2021-10-20 00:00:00+02:00,23.84,24.31,23.75,24.19,10,2021,42,4,1.33,3.8,8.38,5.56,-12.84,15.54,23.35,23.77,23.87,23.29,23.04,23.09,24.13,23.41,23.2,24.61,26.72,24.92
9,2021-10-21 00:00:00+02:00,23.97,24.16,23.75,23.98,10,2021,42,4,-0.86,2.34,5.29,4.37,-14.72,12.88,23.45,23.87,23.94,23.33,23.05,23.17,24.13,23.42,23.23,24.61,26.67,24.9
10,2021-10-22 00:00:00+02:00,23.95,24.34,23.79,23.79,10,2021,42,4,-0.79,0.0,1.87,5.19,-17.78,10.13,23.51,23.87,23.91,23.35,23.08,23.25,24.12,23.42,23.24,24.61,26.63,24.87
11,2021-10-25 00:00:00+02:00,23.9,23.95,23.19,23.58,10,2021,43,4,-0.88,0.08,-1.25,4.04,-18.7,8.57,23.52,23.88,23.81,23.36,23.06,23.29,24.11,23.42,23.25,24.6,26.58,24.84
12,2021-10-26 00:00:00+02:00,23.68,24.57,23.64,24.54,10,2021,43,4,4.09,2.83,5.88,9.45,-14.67,14.74,23.69,24.01,24.04,23.42,23.11,23.43,24.12,23.45,23.29,24.6,26.54,24.82
