,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-03-11 00:00:00-05:00,102.54,105.18,102.45,104.65,3,2021,10,1,3.16,3.27,0.77,15.18,22.31,59.74,102.33,102.45,102.56,98.96,102.89,102.39,92.12,96.66,100.15,77.93,82.88,88.19
1,2021-03-12 00:00:00-05:00,103.45,103.51,101.25,102.13,3,2021,10,1,-2.41,-2.24,-1.22,12.82,25.8,53.07,102.29,101.98,102.46,99.11,102.79,102.32,92.31,96.96,100.36,78.05,83.04,88.38
2,2021-03-15 00:00:00-04:00,101.88,102.38,101.02,102.35,3,2021,11,1,0.22,2.34,-1.54,13.42,29.93,48.19,102.3,102.44,102.58,99.27,102.69,102.28,92.51,97.27,100.57,78.17,83.2,88.57
3,2021-03-16 00:00:00-04:00,102.93,105.3,102.59,103.82,3,2021,11,1,1.43,2.13,-0.23,17.21,36.77,55.78,102.56,102.88,103.04,99.48,102.62,102.39,92.73,97.6,100.83,78.3,83.36,88.78
4,2021-03-17 00:00:00-04:00,103.05,104.57,101.84,103.73,3,2021,11,1,-0.08,2.26,-0.61,17.8,34.58,50.71,102.75,103.34,103.33,99.69,102.53,102.49,92.95,97.96,101.07,78.43,83.52,88.98
5,2021-03-18 00:00:00-04:00,102.04,103.06,100.59,100.7,3,2021,11,1,-2.92,-3.77,-4.23,13.89,32.46,53.74,102.41,102.55,102.45,99.73,102.32,102.32,93.1,98.24,101.18,78.54,83.67,89.15
6,2021-03-19 00:00:00-04:00,101.12,101.48,99.78,100.98,3,2021,11,1,0.28,-1.12,-4.33,15.68,33.73,56.43,102.17,102.32,101.93,99.79,102.17,102.19,93.25,98.54,101.28,78.65,83.81,89.32
7,2021-03-22 00:00:00-04:00,101.02,102.05,100.34,101.17,3,2021,12,1,0.18,-1.16,-3.57,15.31,34.59,67.03,102.0,102.08,101.54,99.86,102.11,102.09,93.41,98.8,101.39,78.76,83.97,89.5
8,2021-03-23 00:00:00-04:00,101.63,102.83,101.03,101.7,3,2021,12,1,0.52,-2.04,-2.27,16.17,32.98,60.08,101.95,101.66,101.42,99.95,102.06,102.05,93.57,99.04,101.5,78.88,84.12,89.67
9,2021-03-24 00:00:00-04:00,102.22,103.01,101.08,101.26,3,2021,12,1,-0.43,-2.39,-1.06,16.78,34.42,67.85,101.84,101.16,101.28,100.01,101.94,101.98,93.72,99.31,101.59,78.99,84.26,89.84
10,2021-03-25 00:00:00-04:00,101.09,101.91,99.44,101.26,3,2021,12,1,-0.0,0.55,-1.34,17.74,36.68,82.85,101.74,101.27,101.32,100.07,101.98,101.91,93.87,99.61,101.66,79.1,84.41,90.01
11,2021-03-26 00:00:00-04:00,101.22,101.6,99.83,100.87,3,2021,12,1,-0.38,-0.11,-2.84,16.73,39.53,66.74,101.6,101.25,101.18,100.11,101.98,101.81,94.01,99.88,101.71,79.21,84.55,90.18
12,2021-03-29 00:00:00-04:00,100.74,102.09,99.91,101.92,3,2021,13,1,1.04,0.74,1.48,18.93,43.05,90.66,101.65,101.4,101.4,100.19,101.93,101.8,94.16,100.2,101.79,79.32,84.71,90.35
13,2021-03-30 00:00:00-04:00,102.28,102.76,101.44,101.95,3,2021,13,1,0.03,0.25,1.21,18.41,40.19,83.04,101.7,101.45,101.59,100.28,101.88,101.8,94.32,100.52,101.86,79.43,84.86,90.52
14,2021-03-31 00:00:00-04:00,102.35,103.94,101.98,102.75,3,2021,13,1,0.78,1.48,-0.34,18.93,46.34,89.02,101.88,101.75,102.02,100.39,102.01,101.89,94.48,100.79,101.95,79.55,85.02,90.7
15,2021-04-01 00:00:00-04:00,104.23,106.4,104.19,106.1,4,2021,13,2,3.26,4.79,3.16,20.06,49.68,91.58,102.58,102.72,103.47,100.67,102.25,102.28,94.71,101.04,102.16,79.68,85.19,90.91
16,2021-04-05 00:00:00-04:00,106.97,111.05,106.87,110.55,4,2021,14,2,4.19,9.59,10.32,26.24,54.2,107.73,103.91,104.66,106.08,101.14,102.55,103.07,95.02,101.38,102.53,79.84,85.39,91.16
17,2021-04-06 00:00:00-04:00,110.15,111.0,109.69,110.06,4,2021,14,2,-0.44,7.99,8.62,27.24,51.46,109.58,104.93,106.28,107.89,101.56,103.05,103.78,95.31,101.69,102.87,79.99,85.58,91.41
18,2021-04-07 00:00:00-04:00,110.26,111.82,110.26,111.55,4,2021,14,2,1.35,9.41,6.77,27.75,52.73,98.14,106.04,108.2,109.64,102.04,103.55,104.59,95.63,102.03,103.26,80.14,85.78,91.66
19,2021-04-08 00:00:00-04:00,112.79,113.18,111.75,112.12,4,2021,14,2,0.51,9.11,12.1,30.37,53.55,104.28,107.05,110.08,110.94,102.52,104.08,105.41,95.96,102.38,103.65,80.3,85.98,91.93
20,2021-04-09 00:00:00-04:00,111.87,113.29,111.46,113.12,4,2021,14,2,0.9,6.62,11.29,30.49,52.61,95.26,108.06,111.48,111.96,103.02,104.5,106.27,96.29,102.83,104.08,80.46,86.18,92.2
21,2021-04-12 00:00:00-04:00,112.3,112.44,110.99,111.83,4,2021,15,2,-1.15,1.16,10.24,30.28,54.21,102.17,108.69,111.74,112.08,103.44,104.99,106.97,96.6,103.22,104.43,80.62,86.38,92.45
22,2021-04-13 00:00:00-04:00,112.14,112.76,111.75,112.31,4,2021,15,2,0.44,2.04,7.33,27.06,52.04,96.67,109.29,112.19,112.27,103.86,105.49,107.67,96.91,103.64,104.78,80.78,86.59,92.71
23,2021-04-14 00:00:00-04:00,112.96,112.96,111.4,111.69,4,2021,15,2,-0.56,0.13,9.36,24.7,54.51,92.94,109.69,112.21,112.1,104.24,105.88,108.26,97.19,103.99,105.1,80.93,86.81,92.96
24,2021-04-15 00:00:00-04:00,112.69,114.39,112.15,113.85,4,2021,15,2,1.93,1.55,11.23,30.12,56.62,107.35,110.39,112.56,112.65,104.69,106.39,109.01,97.52,104.35,105.49,81.1,87.03,93.23
25,2021-04-16 00:00:00-04:00,114.05,114.3,113.14,113.73,4,2021,15,2,-0.11,0.53,9.54,31.39,53.88,104.36,110.94,112.68,113.04,105.12,107.04,109.71,97.84,104.58,105.85,81.26,87.24,93.49
26,2021-04-19 00:00:00-04:00,113.1,114.79,113.1,114.07,4,2021,16,2,0.31,2.01,9.97,31.05,51.59,109.55,111.46,113.13,113.5,105.55,107.69,110.38,98.16,104.81,106.23,81.42,87.45,93.76
27,2021-04-20 00:00:00-04:00,114.46,114.53,112.45,113.54,4,2021,16,2,-0.47,1.09,12.75,31.66,45.66,92.62,111.81,113.38,113.64,105.93,108.31,110.94,98.46,105.0,106.57,81.58,87.66,94.02
28,2021-04-21 00:00:00-04:00,113.19,113.59,111.84,113.51,4,2021,16,2,-0.03,1.63,12.4,31.88,45.39,92.66,112.09,113.74,113.68,106.29,108.9,111.44,98.75,105.2,106.9,81.74,87.85,94.28
29,2021-04-22 00:00:00-04:00,113.36,114.03,111.61,112.22,4,2021,16,2,-1.13,-1.43,10.92,26.23,44.07,86.62,112.11,113.41,113.17,106.57,109.45,111.75,99.02,105.37,107.18,81.89,88.04,94.52
30,2021-04-23 00:00:00-04:00,112.94,114.89,112.65,114.58,4,2021,16,2,2.1,0.75,12.67,22.33,47.86,90.62,112.53,113.58,113.56,106.96,110.12,112.24,99.32,105.58,107.54,82.05,88.24,94.78
31,2021-04-26 00:00:00-04:00,114.81,115.81,114.45,115.08,4,2021,17,2,0.43,0.88,13.65,22.6,47.35,90.84,112.95,113.78,114.06,107.34,110.83,112.71,99.63,105.8,107.91,82.22,88.43,95.05
32,2021-04-27 00:00:00-04:00,115.46,115.5,113.9,114.14,4,2021,17,2,-0.82,0.53,12.72,21.05,49.74,81.07,113.15,113.9,114.18,107.67,111.44,113.03,99.92,106.0,108.24,82.38,88.62,95.31
33,2021-04-28 00:00:00-04:00,119.19,121.13,117.24,117.53,4,2021,17,2,2.97,3.54,16.51,24.53,52.09,87.63,113.88,114.71,115.39,108.14,112.22,113.61,100.26,106.25,108.69,82.55,88.83,95.59
34,2021-04-29 00:00:00-04:00,119.03,119.77,118.26,119.21,4,2021,17,2,1.43,6.23,16.96,25.41,50.87,90.29,114.77,116.11,116.89,108.66,113.04,114.27,100.63,106.52,109.2,82.73,89.05,95.9
35,2021-04-30 00:00:00-04:00,117.97,118.66,116.9,117.25,4,2021,17,2,-1.64,2.33,15.0,29.39,46.48,84.01,115.18,116.64,117.27,109.07,113.6,114.67,100.96,106.77,109.62,82.91,89.26,96.18
36,2021-05-03 00:00:00-04:00,117.82,118.65,116.35,116.73,5,2021,18,2,-0.44,1.44,13.6,26.43,43.48,85.79,115.44,116.97,117.3,109.44,113.91,114.97,101.27,107.02,110.01,83.07,89.46,96.45
37,2021-05-04 00:00:00-04:00,115.26,115.83,112.43,114.92,5,2021,18,2,-1.55,0.69,8.31,26.24,45.61,90.31,115.35,117.13,116.62,109.7,114.15,115.07,101.54,107.27,110.32,83.23,89.66,96.7
38,2021-05-05 00:00:00-04:00,116.01,116.33,115.0,115.32,5,2021,18,2,0.34,-1.88,4.32,22.28,44.77,83.94,115.35,116.69,116.01,109.97,114.34,115.18,101.81,107.53,110.64,83.39,89.85,96.96
39,2021-05-06 00:00:00-04:00,114.9,116.45,114.24,116.45,5,2021,18,2,0.98,-2.32,5.8,21.79,54.71,83.87,115.53,116.13,115.93,110.27,114.55,115.38,102.09,107.78,110.99,83.56,90.04,97.22
40,2021-05-07 00:00:00-04:00,117.77,118.13,116.88,117.17,5,2021,18,2,0.62,-0.07,5.04,14.23,51.07,84.23,115.8,116.12,116.28,110.6,114.76,115.63,102.39,108.11,111.35,83.72,90.24,97.49
41,2021-05-10 00:00:00-04:00,115.99,116.13,113.81,114.17,5,2021,19,2,-2.56,-2.19,1.84,11.6,41.81,80.33,115.53,115.61,115.63,110.77,114.87,115.58,102.62,108.38,111.59,83.88,90.43,97.73
42,2021-05-11 00:00:00-04:00,111.75,113.6,111.29,113.09,5,2021,19,2,-0.95,-1.59,-0.03,8.68,39.75,84.17,115.13,115.24,114.79,110.88,114.91,115.41,102.83,108.58,111.78,84.02,90.62,97.96
43,2021-05-12 00:00:00-04:00,110.91,111.99,109.28,109.62,5,2021,19,2,-3.08,-4.95,-1.98,5.55,33.7,63.93,114.21,114.1,112.92,110.82,114.81,114.9,102.96,108.72,111.82,84.15,90.79,98.15
44,2021-05-13 00:00:00-04:00,110.9,111.57,109.94,111.05,5,2021,19,2,1.31,-4.63,-1.13,7.4,27.68,65.52,113.68,113.02,111.9,110.83,114.67,114.54,103.12,108.93,111.91,84.28,90.97,98.35
45,2021-05-14 00:00:00-04:00,112.52,113.82,112.09,113.51,5,2021,19,2,2.21,-3.13,1.63,9.2,29.27,72.96,113.65,112.29,112.06,110.96,114.66,114.43,103.32,109.18,112.09,84.43,91.16,98.57
46,2021-05-17 00:00:00-04:00,112.77,114.08,112.37,114.03,5,2021,20,2,0.46,-0.12,0.16,9.58,30.07,73.02,113.72,112.26,112.64,111.11,114.66,114.37,103.53,109.37,112.28,84.58,91.34,98.8
47,2021-05-18 00:00:00-04:00,114.7,114.97,112.7,112.71,5,2021,20,2,-1.16,-0.33,-0.89,7.99,28.45,67.71,113.55,112.18,112.8,111.18,114.61,114.19,103.71,109.62,112.41,84.72,91.54,99.01
48,2021-05-19 00:00:00-04:00,111.02,113.34,110.87,113.16,5,2021,20,2,0.4,3.24,-0.8,7.62,30.72,68.83,113.48,112.89,113.12,111.28,114.6,114.05,103.9,109.85,112.55,84.86,91.73,99.23
49,2021-05-20 00:00:00-04:00,114.14,115.18,113.76,114.93,5,2021,20,2,1.56,3.5,1.23,8.89,32.03,68.48,113.73,113.67,113.8,111.45,114.73,114.08,104.11,110.12,112.75,85.01,91.94,99.46
50,2021-05-21 00:00:00-04:00,115.45,115.53,114.05,114.29,5,2021,20,2,-0.56,0.69,0.69,8.94,31.63,65.72,113.82,113.83,114.01,111.59,114.72,114.04,104.31,110.32,112.91,85.15,92.14,99.68
51,2021-05-24 00:00:00-04:00,115.33,117.85,115.18,117.63,5,2021,21,2,2.92,3.15,4.82,13.03,33.22,68.21,114.45,114.55,115.28,111.87,114.85,114.32,104.57,110.63,113.2,85.31,92.36,99.93
52,2021-05-25 00:00:00-04:00,118.17,118.77,117.32,117.72,5,2021,21,2,0.08,4.44,2.74,15.02,33.19,71.82,115.0,115.55,116.33,112.15,115.02,114.59,104.83,110.93,113.48,85.47,92.57,100.19
53,2021-05-26 00:00:00-04:00,117.9,119.02,117.9,118.59,5,2021,21,2,0.74,4.79,3.05,15.54,35.12,76.54,115.6,116.63,117.35,112.46,115.08,114.93,105.1,111.23,113.78,85.64,92.79,100.45
54,2021-05-27 00:00:00-04:00,119.02,119.02,117.39,117.71,5,2021,21,2,-0.74,2.42,3.13,13.38,35.74,74.13,115.95,117.19,117.7,112.71,115.0,115.18,105.35,111.51,114.03,85.8,93.01,100.69
55,2021-05-28 00:00:00-04:00,118.29,118.37,117.22,117.42,5,2021,21,2,-0.25,2.73,-0.09,16.91,34.02,71.65,116.19,117.81,117.78,112.93,115.01,115.41,105.58,111.84,114.26,85.96,93.22,100.94
56,2021-06-01 00:00:00-04:00,118.29,118.85,117.29,118.63,6,2021,22,2,1.03,0.85,-0.48,17.77,37.13,71.9,116.6,118.01,118.05,113.2,115.11,115.76,105.84,112.2,114.53,86.12,93.44,101.19
57,2021-06-02 00:00:00-04:00,119.03,119.25,117.19,118.1,6,2021,22,2,-0.44,0.33,0.73,14.54,37.22,72.48,116.85,118.09,118.08,113.44,115.26,116.04,106.08,112.53,114.76,86.28,93.66,101.43
58,2021-06-03 00:00:00-04:00,116.86,117.43,116.06,116.96,6,2021,22,2,-0.97,-1.38,0.19,13.71,33.09,66.59,116.87,117.76,117.71,113.61,115.35,116.2,106.29,112.84,114.93,86.43,93.86,101.67
59,2021-06-04 00:00:00-04:00,118.04,119.52,117.69,119.25,6,2021,22,2,1.96,1.31,3.76,19.0,35.68,70.15,117.26,118.07,118.2,113.87,115.49,116.57,106.55,113.2,115.18,86.59,94.07,101.92
60,2021-06-07 00:00:00-04:00,119.04,119.79,118.62,119.68,6,2021,23,2,0.36,1.93,3.78,18.11,34.43,69.99,117.67,118.52,118.74,114.15,115.61,116.97,106.81,113.57,115.44,86.76,94.29,102.17
61,2021-06-08 00:00:00-04:00,120.16,120.54,119.31,119.49,6,2021,23,2,-0.16,0.72,2.61,14.37,36.71,68.74,117.97,118.69,119.06,114.4,115.88,117.34,107.05,113.94,115.67,86.92,94.49,102.42
62,2021-06-09 00:00:00-04:00,120.14,120.21,119.41,119.96,6,2021,23,2,0.4,1.58,2.38,19.95,34.12,69.54,118.3,119.07,119.48,114.67,116.22,117.73,107.31,114.3,115.91,87.09,94.7,102.68
63,2021-06-10 00:00:00-04:00,119.91,121.36,119.75,121.32,6,2021,23,2,1.13,3.73,6.26,19.35,33.43,71.7,118.8,119.94,120.23,114.99,116.81,118.22,107.58,114.69,116.18,87.26,94.91,102.94
