,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-03-11 00:00:00-05:00,103.33,105.9,103.25,105.36,3,2021,10,1,2.91,3.21,1.04,15.69,22.36,60.44,103.03,103.18,103.33,99.51,103.52,103.08,92.53,97.15,100.71,78.17,83.11,88.53
1,2021-03-12 00:00:00-05:00,103.88,104.14,102.01,102.73,3,2021,10,1,-2.5,-2.21,-1.04,13.32,25.59,53.95,102.98,102.72,103.17,99.67,103.43,103.0,92.73,97.45,100.93,78.29,83.27,88.72
2,2021-03-15 00:00:00-04:00,102.75,102.98,101.81,102.95,3,2021,11,1,0.22,2.09,-1.38,13.63,29.88,48.76,102.98,103.14,103.25,99.82,103.34,102.96,92.93,97.78,101.15,78.41,83.43,88.92
3,2021-03-16 00:00:00-04:00,103.58,105.8,103.13,104.25,3,2021,11,1,1.26,1.94,-0.16,17.29,36.55,56.0,103.19,103.54,103.62,100.03,103.27,103.04,93.15,98.11,101.4,78.54,83.6,89.12
4,2021-03-17 00:00:00-04:00,103.43,105.11,102.33,104.18,3,2021,11,1,-0.07,1.75,-0.62,17.79,34.31,50.82,103.35,103.89,103.84,100.23,103.17,103.13,93.37,98.48,101.64,78.67,83.76,89.33
5,2021-03-18 00:00:00-04:00,102.68,103.4,101.31,101.45,3,2021,11,1,-2.62,-3.71,-4.04,14.28,32.91,54.37,103.04,103.11,103.02,100.29,102.97,102.97,93.53,98.77,101.75,78.78,83.91,89.51
6,2021-03-19 00:00:00-04:00,101.74,102.29,100.52,101.79,3,2021,11,1,0.34,-0.91,-4.0,16.09,34.36,57.36,102.83,102.93,102.58,100.36,102.83,102.85,93.69,99.08,101.87,78.9,84.06,89.68
7,2021-03-22 00:00:00-04:00,101.73,102.53,100.94,101.56,3,2021,12,1,-0.23,-1.35,-3.71,15.32,34.18,67.71,102.62,102.65,102.13,100.42,102.76,102.73,93.84,99.33,101.97,79.01,84.22,89.86
8,2021-03-23 00:00:00-04:00,102.22,103.24,101.6,102.28,3,2021,12,1,0.7,-1.89,-2.29,16.45,33.18,60.34,102.56,102.25,102.01,100.51,102.72,102.69,94.01,99.57,102.09,79.12,84.37,90.04
9,2021-03-24 00:00:00-04:00,102.9,103.54,101.71,101.89,3,2021,12,1,-0.38,-2.2,-0.96,17.0,34.46,68.26,102.45,101.79,101.89,100.57,102.59,102.61,94.16,99.85,102.18,79.24,84.52,90.21
10,2021-03-25 00:00:00-04:00,101.87,102.57,100.18,101.85,3,2021,12,1,-0.03,0.4,-1.28,18.1,36.7,83.37,102.35,101.88,101.9,100.63,102.63,102.54,94.31,100.15,102.26,79.35,84.67,90.38
11,2021-03-26 00:00:00-04:00,101.58,102.18,100.34,101.41,3,2021,12,1,-0.43,-0.37,-2.85,17.03,39.42,66.89,102.19,101.8,101.75,100.67,102.62,102.42,94.45,100.43,102.31,79.46,84.81,90.55
12,2021-03-29 00:00:00-04:00,101.03,102.55,100.42,102.43,3,2021,13,1,1.0,0.85,1.21,19.29,43.66,89.61,102.23,101.97,101.96,100.75,102.56,102.4,94.61,100.74,102.38,79.57,84.97,90.73
13,2021-03-30 00:00:00-04:00,102.51,103.17,101.84,102.41,3,2021,13,1,-0.02,0.13,0.92,18.65,40.27,83.56,102.26,102.0,102.11,100.83,102.51,102.39,94.76,101.06,102.45,79.69,85.13,90.9
14,2021-03-31 00:00:00-04:00,102.59,104.29,102.47,103.06,3,2021,13,1,0.64,1.15,-0.62,18.97,46.17,88.61,102.4,102.23,102.46,100.94,102.61,102.44,94.92,101.34,102.53,79.8,85.29,91.08
15,2021-04-01 00:00:00-04:00,104.52,106.76,104.47,106.5,4,2021,13,2,3.34,4.57,2.98,20.36,49.67,91.68,103.08,103.16,103.88,101.2,102.83,102.81,95.15,101.59,102.73,79.94,85.47,91.29
16,2021-04-05 00:00:00-04:00,107.26,111.46,107.2,110.88,4,2021,14,2,4.11,9.33,9.81,26.54,54.02,107.55,104.38,105.06,106.46,101.66,103.12,103.58,95.46,101.92,103.09,80.09,85.66,91.54
17,2021-04-06 00:00:00-04:00,110.73,111.48,110.34,110.84,4,2021,14,2,-0.04,8.21,8.57,27.89,51.91,110.55,105.46,106.74,108.38,102.1,103.62,104.31,95.76,102.24,103.44,80.24,85.85,91.79
18,2021-04-07 00:00:00-04:00,110.91,112.35,110.87,112.08,4,2021,14,2,1.12,9.44,6.69,28.42,53.11,98.3,106.56,108.67,110.16,102.58,104.11,105.12,96.08,102.59,103.83,80.4,86.06,92.05
19,2021-04-08 00:00:00-04:00,113.49,113.79,112.48,112.87,4,2021,14,2,0.7,9.51,11.92,31.08,54.15,105.48,107.61,110.63,111.56,103.07,104.64,105.95,96.41,102.94,104.23,80.56,86.26,92.32
20,2021-04-09 00:00:00-04:00,112.43,114.04,112.28,113.88,4,2021,14,2,0.9,6.93,11.36,31.3,53.41,96.76,108.66,112.11,112.65,103.58,105.07,106.83,96.75,103.39,104.66,80.73,86.47,92.59
21,2021-04-12 00:00:00-04:00,112.91,113.36,111.52,112.34,4,2021,15,2,-1.36,1.31,9.72,29.94,54.61,103.0,109.27,112.4,112.72,104.0,105.55,107.53,97.06,103.78,105.01,80.89,86.67,92.85
22,2021-04-13 00:00:00-04:00,112.67,113.45,112.4,112.96,4,2021,15,2,0.55,1.91,7.21,26.86,52.57,97.7,109.88,112.83,112.91,104.43,106.05,108.23,97.37,104.21,105.37,81.05,86.88,93.11
23,2021-04-14 00:00:00-04:00,113.35,113.49,112.06,112.34,4,2021,15,2,-0.55,0.23,9.36,24.77,55.14,93.91,110.29,112.88,112.74,104.8,106.45,108.83,97.66,104.56,105.69,81.2,87.1,93.37
24,2021-04-15 00:00:00-04:00,113.44,114.92,112.89,114.42,4,2021,15,2,1.85,1.38,11.14,30.0,57.27,107.73,110.98,113.19,113.26,105.26,106.96,109.59,97.99,104.93,106.08,81.37,87.32,93.64
25,2021-04-16 00:00:00-04:00,114.74,114.91,113.81,114.48,4,2021,15,2,0.05,0.52,9.81,31.56,54.63,105.0,111.56,113.31,113.69,105.7,107.61,110.31,98.32,105.16,106.45,81.53,87.54,93.91
26,2021-04-19 00:00:00-04:00,114.19,115.51,113.98,114.71,4,2021,16,2,0.2,2.11,10.11,31.24,51.95,109.71,112.09,113.78,114.16,106.13,108.26,110.98,98.64,105.4,106.83,81.7,87.76,94.18
27,2021-04-20 00:00:00-04:00,114.98,115.07,113.18,114.27,4,2021,16,2,-0.38,1.16,12.64,31.8,46.17,93.24,112.45,114.04,114.32,106.52,108.89,111.55,98.94,105.59,107.18,81.86,87.97,94.44
28,2021-04-21 00:00:00-04:00,113.85,114.36,112.52,114.25,4,2021,16,2,-0.01,1.71,12.24,32.09,45.91,93.28,112.75,114.43,114.39,106.88,109.49,112.07,99.24,105.79,107.51,82.02,88.16,94.7
29,2021-04-22 00:00:00-04:00,114.25,114.78,112.42,112.99,4,2021,16,2,-1.11,-1.25,11.25,26.64,44.63,87.39,112.79,114.14,113.91,107.17,110.05,112.4,99.51,105.98,107.8,82.17,88.36,94.95
30,2021-04-23 00:00:00-04:00,113.76,115.87,113.5,115.35,4,2021,16,2,2.09,0.76,12.78,22.7,48.5,91.12,113.22,114.31,114.31,107.56,110.72,112.9,99.82,106.2,108.16,82.34,88.56,95.22
31,2021-04-26 00:00:00-04:00,115.58,116.64,115.28,115.92,4,2021,17,2,0.49,1.06,13.77,23.03,47.92,91.1,113.67,114.56,114.85,107.96,111.45,113.4,100.14,106.43,108.55,82.51,88.77,95.49
32,2021-04-27 00:00:00-04:00,116.38,116.45,114.8,114.94,4,2021,17,2,-0.84,0.59,12.85,21.36,50.34,81.77,113.88,114.69,114.98,108.29,112.07,113.73,100.43,106.63,108.88,82.67,88.96,95.75
33,2021-04-28 00:00:00-04:00,119.93,122.18,118.32,118.57,4,2021,17,2,3.16,3.78,16.92,25.3,52.96,88.51,114.66,115.55,116.27,108.78,112.88,114.35,100.79,106.88,109.35,82.85,89.17,96.05
34,2021-04-29 00:00:00-04:00,120.09,121.39,119.68,121.06,4,2021,17,2,2.1,7.14,18.19,26.74,52.51,92.32,115.73,117.17,118.11,109.37,113.78,115.13,101.18,107.19,109.9,83.04,89.4,96.37
35,2021-04-30 00:00:00-04:00,119.79,120.92,119.68,120.07,4,2021,17,2,-0.81,4.1,17.25,31.64,49.2,87.81,116.45,118.11,119.08,109.88,114.46,115.73,101.55,107.48,110.41,83.22,89.62,96.67
36,2021-05-03 00:00:00-04:00,119.71,120.55,118.8,119.33,5,2021,18,2,-0.62,2.94,15.79,28.56,45.96,89.1,116.93,118.8,119.48,110.33,114.88,116.19,101.9,107.77,110.87,83.4,89.84,96.97
37,2021-05-04 00:00:00-04:00,118.06,118.54,115.17,117.29,5,2021,18,2,-1.71,2.04,10.13,28.25,48.02,93.55,116.99,119.26,118.98,110.66,115.21,116.42,102.2,108.06,111.25,83.57,90.05,97.24
38,2021-05-05 00:00:00-04:00,118.0,118.68,117.15,117.42,5,2021,18,2,0.11,-0.97,5.89,23.95,46.91,86.57,117.06,119.03,118.36,110.98,115.47,116.63,102.5,108.34,111.61,83.74,90.25,97.51
39,2021-05-06 00:00:00-04:00,117.11,118.71,116.7,118.64,5,2021,18,2,1.04,-2.0,7.04,23.55,57.02,86.58,117.33,118.55,118.23,111.35,115.76,116.93,102.82,108.63,112.02,83.91,90.45,97.79
40,2021-05-07 00:00:00-04:00,119.57,120.39,119.07,119.51,5,2021,18,2,0.73,-0.47,6.62,15.87,53.05,87.5,117.69,118.44,118.55,111.73,116.04,117.29,103.15,108.99,112.45,84.09,90.66,98.08
41,2021-05-10 00:00:00-04:00,118.32,118.47,116.32,116.66,5,2021,19,2,-2.38,-2.23,3.36,13.54,44.46,83.53,117.52,117.9,117.96,111.97,116.26,117.35,103.41,109.3,112.75,84.25,90.87,98.34
42,2021-05-11 00:00:00-04:00,114.18,115.68,113.74,115.02,5,2021,19,2,-1.4,-1.93,1.0,10.05,41.99,87.15,117.1,117.45,117.0,112.12,116.36,117.23,103.64,109.52,112.97,84.4,91.06,98.58
43,2021-05-12 00:00:00-04:00,112.68,113.86,111.1,111.55,5,2021,19,2,-3.02,-4.99,-0.7,6.98,35.68,66.91,116.18,116.28,115.03,112.09,116.32,116.77,103.79,109.69,113.05,84.54,91.24,98.79
44,2021-05-13 00:00:00-04:00,112.65,113.42,111.73,112.69,5,2021,19,2,1.02,-5.01,-0.23,8.57,29.32,67.72,115.6,115.09,113.84,112.12,116.24,116.43,103.97,109.92,113.17,84.68,91.43,99.0
45,2021-05-14 00:00:00-04:00,114.18,115.64,113.76,115.39,5,2021,19,2,2.4,-3.44,2.72,10.54,31.35,75.39,115.56,114.27,113.94,112.27,116.28,116.35,104.19,110.19,113.38,84.83,91.63,99.24
46,2021-05-17 00:00:00-04:00,115.05,115.75,114.34,115.65,5,2021,20,2,0.23,-0.86,1.08,10.76,31.77,74.96,115.58,114.06,114.4,112.43,116.33,116.29,104.42,110.4,113.6,84.98,91.83,99.48
47,2021-05-18 00:00:00-04:00,116.43,116.74,114.75,114.76,5,2021,20,2,-0.77,-0.23,0.25,9.47,30.65,70.48,115.44,114.01,114.64,112.54,116.35,116.14,104.62,110.68,113.77,85.13,92.03,99.71
48,2021-05-19 00:00:00-04:00,112.81,115.42,112.77,115.02,5,2021,20,2,0.23,3.11,0.27,8.8,32.65,71.36,115.37,114.7,114.97,112.66,116.39,116.01,104.82,110.93,113.94,85.28,92.24,99.93
49,2021-05-20 00:00:00-04:00,115.99,117.59,115.64,117.38,5,2021,20,2,2.05,4.16,2.72,10.7,34.43,71.66,115.71,115.64,115.87,112.89,116.61,116.1,105.07,111.23,114.19,85.44,92.46,100.18
50,2021-05-21 00:00:00-04:00,117.88,118.03,116.7,116.84,5,2021,20,2,-0.47,1.25,2.26,10.76,34.02,68.91,115.9,115.93,116.26,113.08,116.69,116.13,105.3,111.46,114.41,85.6,92.68,100.43
51,2021-05-24 00:00:00-04:00,117.93,120.49,117.58,119.9,5,2021,21,2,2.63,3.67,6.12,14.54,35.43,71.51,116.56,116.78,117.59,113.4,116.89,116.43,105.59,111.81,114.74,85.77,92.9,100.7
52,2021-05-25 00:00:00-04:00,120.57,121.21,119.72,120.02,5,2021,21,2,0.1,4.59,4.05,16.67,35.24,75.11,117.14,117.83,118.67,113.72,117.14,116.73,105.87,112.15,115.06,85.94,93.13,100.97
53,2021-05-26 00:00:00-04:00,120.21,121.71,120.19,121.24,5,2021,21,2,1.02,5.41,4.59,17.51,37.48,80.35,117.82,119.08,119.8,114.07,117.27,117.12,106.17,112.49,115.42,86.11,93.36,101.25
54,2021-05-27 00:00:00-04:00,121.41,121.56,119.67,119.7,5,2021,21,2,-1.27,1.97,4.13,14.67,37.54,77.16,118.14,119.54,120.01,114.34,117.21,117.35,106.44,112.8,115.7,86.28,93.59,101.51
