,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-02-16 00:00:00-05:00,41.96,45.26,41.25,43.56,2,2021,7,1,13.26,35.83,89.39,1889.04,881.08,4170.59,32.51,38.18,39.27,21.85,25.4,29.26,13.66,17.73,22.67,5.29,5.93,9.45
1,2021-02-17 00:00:00-05:00,46.03,49.41,43.65,47.9,2,2021,7,1,9.96,27.43,95.99,1955.79,1140.93,4596.08,35.08,40.24,42.51,23.09,26.68,31.41,14.34,18.57,23.86,5.5,6.16,9.87
2,2021-02-18 00:00:00-05:00,44.18,47.72,40.72,40.98,2,2021,7,1,-14.45,20.49,83.03,1681.74,1047.9,3463.48,36.06,41.63,42.76,23.94,27.76,32.77,14.86,19.28,24.73,5.68,6.37,10.22
3,2021-02-19 00:00:00-05:00,43.76,46.4,42.18,43.27,2,2021,7,1,5.59,16.1,93.6,1710.46,1118.87,3798.2,37.26,42.83,43.3,24.86,29.05,34.25,15.41,20.04,25.67,5.86,6.58,10.58
4,2021-02-22 00:00:00-05:00,37.05,41.49,36.6,37.11,2,2021,8,1,-14.24,-3.51,92.58,1396.37,858.91,3155.26,37.24,42.56,41.4,25.44,29.99,35.01,15.84,20.68,26.34,6.02,6.76,10.89
5,2021-02-23 00:00:00-05:00,30.99,31.71,26.06,28.56,2,2021,8,1,-23.04,-34.44,62.64,821.29,667.74,2472.97,35.79,39.56,36.73,25.59,30.51,34.88,16.09,21.15,26.65,6.13,6.9,11.1
6,2021-02-24 00:00:00-05:00,32.55,36.54,31.13,33.41,2,2021,8,1,16.98,-30.25,82.57,1056.06,879.77,2731.36,35.39,36.67,34.68,25.96,31.25,35.15,16.43,21.72,27.13,6.27,7.06,11.37
7,2021-02-25 00:00:00-05:00,36.07,37.69,29.68,30.63,2,2021,8,1,-8.32,-25.26,68.11,891.26,875.48,2330.95,34.6,34.6,32.66,26.19,31.9,35.1,16.71,22.23,27.48,6.39,7.21,11.6
8,2021-02-26 00:00:00-05:00,28.55,32.35,28.2,30.15,2,2021,8,1,-1.57,-30.32,62.1,789.38,822.02,2312.0,33.86,31.97,31.18,26.37,32.41,34.93,16.97,22.73,27.79,6.51,7.36,11.83
9,2021-03-01 00:00:00-05:00,34.22,38.5,32.33,38.5,3,2021,9,1,27.69,3.75,118.13,682.52,1320.66,2980.0,34.63,32.25,33.36,26.95,33.3,35.51,17.39,23.35,28.41,6.67,7.55,12.14
