,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-11-29 00:00:00-05:00,32.3,33.35,31.97,33.31,11,2021,48,4,5.95,1.19,36.5,51.27,113.38,151.27,31.4,32.19,32.36,27.42,30.21,31.15,23.7,25.19,27.52,17.82,19.13,21.76
1,2021-11-30 00:00:00-05:00,33.1,33.29,31.8,32.61,11,2021,48,4,-2.1,2.25,31.01,44.38,108.21,142.02,31.6,32.33,32.5,27.67,30.56,31.38,23.87,25.43,27.81,17.89,19.22,21.9
2,2021-12-01 00:00:00-05:00,33.16,33.23,31.32,31.38,12,2021,48,4,-3.79,-0.97,22.97,38.59,103.07,134.47,31.56,32.27,32.18,27.84,30.81,31.46,24.02,25.63,28.04,17.96,19.3,22.02
3,2021-12-02 00:00:00-05:00,31.16,32.42,30.97,32.07,12,2021,48,4,2.2,-1.67,24.4,43.53,97.87,139.51,31.65,32.16,32.11,28.04,31.08,31.58,24.18,25.83,28.29,18.03,19.39,22.14
4,2021-12-03 00:00:00-05:00,31.94,32.07,30.07,30.64,12,2021,48,4,-4.46,-2.56,16.27,36.79,88.81,128.63,31.48,32.0,31.61,28.17,31.13,31.54,24.31,26.0,28.48,18.09,19.47,22.26
5,2021-12-06 00:00:00-05:00,29.82,30.18,27.99,29.98,12,2021,49,4,-2.14,-9.99,12.94,34.13,79.12,129.77,31.23,31.33,30.93,28.25,31.14,31.43,24.42,26.16,28.64,18.15,19.54,22.36
6,2021-12-07 00:00:00-05:00,30.9,32.39,30.59,32.37,12,2021,49,4,7.96,-0.75,8.83,41.97,91.19,147.07,31.42,31.28,31.28,28.45,31.22,31.54,24.57,26.37,28.88,18.22,19.64,22.49
7,2021-12-08 00:00:00-05:00,31.94,32.23,31.36,31.77,12,2021,49,4,-1.85,1.24,6.98,40.45,81.15,145.9,31.48,31.36,31.44,28.61,31.28,31.6,24.71,26.59,29.09,18.29,19.72,22.61
8,2021-12-09 00:00:00-05:00,31.67,32.14,30.37,30.43,12,2021,49,4,-4.2,-5.09,-1.01,36.5,73.14,130.65,31.3,31.04,31.13,28.7,31.33,31.52,24.83,26.79,29.24,18.35,19.81,22.71
9,2021-12-10 00:00:00-05:00,31.09,31.25,29.8,30.14,12,2021,49,4,-0.96,-1.61,-1.49,36.18,73.08,127.98,31.11,30.94,30.83,28.76,31.32,31.4,24.93,26.98,29.38,18.41,19.89,22.82
10,2021-12-13 00:00:00-05:00,30.19,30.24,28.06,28.11,12,2021,50,4,-6.75,-6.25,-4.39,25.3,62.28,110.38,30.61,30.56,29.89,28.73,31.21,31.1,24.99,27.13,29.42,18.46,19.96,22.9
11,2021-12-14 00:00:00-05:00,27.65,28.62,27.2,28.28,12,2021,50,4,0.62,-12.61,-6.74,27.94,62.67,111.88,30.22,29.75,29.13,28.71,31.13,30.82,25.06,27.3,29.46,18.51,20.04,22.98
12,2021-12-15 00:00:00-05:00,28.35,30.44,27.79,30.4,12,2021,50,4,7.49,-4.3,0.24,36.96,70.93,125.14,30.25,29.47,29.35,28.79,31.14,30.75,25.16,27.5,29.59,18.57,20.12,23.09
13,2021-12-16 00:00:00-05:00,31.09,31.1,28.04,28.33,12,2021,50,4,-6.8,-6.9,-5.44,27.08,57.59,112.09,29.93,29.05,28.97,28.77,31.1,30.48,25.22,27.65,29.62,18.61,20.2,23.17
14,2021-12-17 00:00:00-05:00,27.93,28.87,27.71,27.75,12,2021,50,4,-2.06,-7.94,-7.94,25.01,56.33,105.23,29.57,28.58,28.53,28.72,30.91,30.16,25.27,27.79,29.62,18.66,20.28,23.24
15,2021-12-20 00:00:00-05:00,27.25,28.09,27.09,27.67,12,2021,51,4,-0.29,-1.57,-5.26,26.59,55.68,103.89,29.25,28.49,28.23,28.67,30.64,29.85,25.32,27.93,29.62,18.7,20.36,23.32
16,2021-12-21 00:00:00-05:00,28.32,29.07,27.35,29.02,12,2021,51,4,4.89,2.6,-8.2,37.73,55.88,117.98,29.21,28.63,28.41,28.69,30.5,29.7,25.39,28.09,29.66,18.76,20.44,23.4
17,2021-12-22 00:00:00-05:00,28.84,29.5,28.4,29.34,12,2021,51,4,1.12,-3.48,-10.86,38.4,57.78,127.56,29.23,28.42,28.64,28.72,30.38,29.59,25.47,28.27,29.71,18.81,20.53,23.49
18,2021-12-23 00:00:00-05:00,29.7,30.0,29.38,29.58,12,2021,51,4,0.82,4.41,-7.24,35.11,60.9,128.69,29.29,28.67,29.03,28.76,30.23,29.51,25.55,28.44,29.76,18.86,20.61,23.58
19,2021-12-27 00:00:00-05:00,29.6,31.03,29.58,30.89,12,2021,52,4,4.4,11.31,-2.51,37.66,63.89,138.0,29.56,29.3,29.77,28.86,30.2,29.58,25.66,28.62,29.86,18.92,20.7,23.68
20,2021-12-28 00:00:00-05:00,31.25,31.27,29.96,30.27,12,2021,52,4,-2.01,9.39,-7.19,37.34,59.16,128.03,29.68,29.82,30.09,28.93,30.05,29.58,25.75,28.79,29.92,18.98,20.79,23.78
21,2021-12-29 00:00:00-05:00,30.22,30.49,29.31,29.94,12,2021,52,4,-1.06,3.18,-4.76,38.53,56.26,124.75,29.72,30.01,30.13,28.98,29.92,29.57,25.83,28.95,29.97,19.03,20.87,23.87
22,2021-12-30 00:00:00-05:00,29.77,30.4,29.48,29.53,12,2021,52,4,-1.38,0.63,-11.34,42.95,55.51,123.61,29.69,30.04,29.97,29.0,29.83,29.53,25.9,29.09,29.99,19.09,20.95,23.96
23,2021-12-31 00:00:00-05:00,29.62,29.97,29.28,29.36,12,2021,52,4,-0.59,-0.77,-9.98,43.37,47.21,120.64,29.63,30.0,29.74,29.02,29.69,29.49,25.97,29.24,30.0,19.14,21.04,24.04
24,2022-01-03 00:00:00-05:00,29.76,30.65,29.73,30.06,1,2022,1,1,2.41,-2.66,-4.18,45.42,50.45,127.15,29.71,29.83,29.77,29.07,29.66,29.52,26.05,29.39,30.03,19.19,21.12,24.13
25,2022-01-04 00:00:00-05:00,30.22,30.41,28.3,29.23,1,2022,1,1,-2.76,-3.4,-8.83,41.23,46.48,119.88,29.63,29.63,29.57,29.08,29.62,29.48,26.11,29.52,30.03,19.24,21.2,24.21
26,2022-01-05 00:00:00-05:00,28.89,29.36,27.48,27.55,1,2022,1,1,-5.76,-7.99,-10.06,39.91,36.61,108.07,29.28,29.15,28.88,29.0,29.38,29.29,26.14,29.61,29.95,19.28,21.27,24.27
27,2022-01-06 00:00:00-05:00,27.59,28.38,27.01,28.13,1,2022,1,1,2.08,-4.76,-6.19,37.8,37.58,116.79,29.09,28.87,28.53,28.96,29.2,29.17,26.18,29.68,29.89,19.33,21.35,24.34
28,2022-01-07 00:00:00-05:00,28.09,28.37,27.01,27.2,1,2022,1,1,-3.3,-7.36,-15.97,31.64,31.68,109.88,28.77,28.43,27.98,28.88,29.04,28.98,26.2,29.73,29.79,19.37,21.43,24.4
29,2022-01-10 00:00:00-05:00,26.53,27.42,25.6,27.35,1,2022,2,1,0.56,-9.03,-13.91,30.03,34.54,112.59,28.54,27.89,27.62,28.81,28.9,28.82,26.22,29.78,29.7,19.4,21.5,24.46
30,2022-01-11 00:00:00-05:00,27.27,28.01,26.79,27.76,1,2022,2,1,1.52,-5.03,-8.77,33.55,39.81,115.1,28.41,27.6,27.57,28.76,28.88,28.71,26.25,29.83,29.62,19.45,21.57,24.52
31,2022-01-12 00:00:00-05:00,28.01,28.54,27.56,27.95,1,2022,2,1,0.65,1.43,-7.28,35.31,39.69,113.18,28.33,27.68,27.69,28.72,28.87,28.62,26.28,29.87,29.55,19.49,21.65,24.58
32,2022-01-13 00:00:00-05:00,28.33,28.43,26.45,26.53,1,2022,2,1,-5.09,-5.69,-5.63,28.58,29.59,103.74,28.03,27.36,27.31,28.61,28.67,28.39,26.29,29.88,29.42,19.52,21.71,24.63
33,2022-01-14 00:00:00-05:00,26.25,27.15,26.16,26.89,1,2022,2,1,1.38,-1.12,-4.92,28.68,33.09,105.63,27.84,27.3,27.15,28.53,28.6,28.23,26.3,29.88,29.3,19.56,21.78,24.68
34,2022-01-18 00:00:00-05:00,26.21,26.59,25.72,25.85,1,2022,3,1,-3.86,-5.46,-14.96,19.13,30.59,93.41,27.51,27.0,26.67,28.4,28.51,27.96,26.29,29.8,29.14,19.59,21.84,24.72
35,2022-01-19 00:00:00-05:00,26.03,26.49,25.0,25.02,1,2022,3,1,-3.23,-9.89,-11.7,14.67,32.21,98.89,27.09,26.45,26.01,28.24,28.37,27.63,26.27,29.71,28.95,19.62,21.9,24.76
36,2022-01-20 00:00:00-05:00,25.26,25.53,24.03,24.1,1,2022,3,1,-3.66,-13.75,-13.13,8.69,33.02,81.14,26.6,25.68,25.23,28.05,28.13,27.23,26.22,29.58,28.73,19.64,21.95,24.78
37,2022-01-21 00:00:00-05:00,23.46,24.78,23.22,23.33,1,2022,3,1,-3.21,-12.05,-15.68,4.88,24.5,76.21,26.05,25.04,24.45,27.82,27.83,26.77,26.17,29.43,28.49,19.66,21.99,24.79
38,2022-01-24 00:00:00-05:00,22.29,23.34,20.85,23.33,1,2022,4,1,-0.01,-13.25,-19.61,5.75,25.61,71.73,25.6,24.33,23.88,27.61,27.51,26.34,26.11,29.31,28.25,19.68,22.04,24.81
39,2022-01-25 00:00:00-05:00,22.5,22.9,21.96,22.28,1,2022,4,1,-4.48,-13.82,-24.07,-1.61,15.05,65.69,25.05,23.61,23.2,27.35,27.08,25.84,26.04,29.15,27.97,19.69,22.07,24.81
40,2022-01-26 00:00:00-05:00,23.2,24.01,22.26,22.73,1,2022,4,1,2.01,-9.16,-23.17,0.21,16.25,68.43,24.66,23.15,22.9,27.13,26.71,25.43,25.97,29.0,27.72,19.71,22.11,24.81
41,2022-01-27 00:00:00-05:00,23.52,23.95,21.63,21.9,1,2022,4,1,-3.64,-9.13,-29.09,-5.26,12.23,66.38,24.2,22.71,22.48,26.88,26.3,24.97,25.89,28.84,27.44,19.72,22.14,24.81
42,2022-01-28 00:00:00-05:00,21.97,22.82,21.26,22.8,1,2022,4,1,4.08,-2.28,-24.68,-7.58,18.41,77.77,23.97,22.61,22.51,26.69,25.97,24.64,25.83,28.69,27.21,19.73,22.17,24.82
43,2022-01-31 00:00:00-05:00,23.14,24.46,23.01,24.44,1,2022,5,1,7.21,4.77,-18.38,0.16,27.52,88.15,24.04,22.83,23.12,26.58,25.72,24.49,25.8,28.6,27.04,19.76,22.22,24.84
44,2022-02-01 00:00:00-05:00,25.06,25.1,23.85,24.59,2,2022,5,1,0.62,10.37,-16.72,-1.2,26.37,84.5,24.14,23.29,23.71,26.49,25.45,24.38,25.78,28.45,26.88,19.78,22.26,24.86
45,2022-02-02 00:00:00-05:00,25.75,25.77,24.51,25.19,2,2022,5,1,2.45,10.85,-14.17,-1.26,28.42,82.18,24.31,23.79,24.34,26.43,25.25,24.36,25.77,28.3,26.75,19.81,22.31,24.89
46,2022-02-03 00:00:00-05:00,24.41,25.03,23.74,23.9,2,2022,5,1,-5.13,9.13,-20.49,-7.26,22.85,74.8,24.24,24.19,24.38,26.31,25.06,24.23,25.73,28.14,26.58,19.83,22.36,24.91
47,2022-02-04 00:00:00-05:00,23.93,24.59,23.59,24.27,2,2022,5,1,1.55,6.48,-16.97,-7.87,23.17,78.27,24.25,24.48,24.41,26.21,24.87,24.16,25.7,27.99,26.43,19.85,22.4,24.93
48,2022-02-07 00:00:00-05:00,24.33,25.13,24.16,24.68,2,2022,6,1,1.68,0.99,-10.42,-7.02,24.83,84.21,24.32,24.53,24.48,26.14,24.75,24.14,25.68,27.83,26.3,19.87,22.45,24.95
49,2022-02-08 00:00:00-05:00,24.31,25.18,23.93,25.06,2,2022,6,1,1.54,1.91,-10.9,-15.74,23.88,94.54,24.44,24.62,24.66,26.09,24.63,24.17,25.67,27.71,26.19,19.9,22.5,24.98
50,2022-02-09 00:00:00-05:00,25.57,26.67,25.31,26.65,2,2022,6,1,6.36,5.8,-1.99,-10.23,29.44,104.8,24.81,24.91,25.33,26.11,24.58,24.36,25.69,27.57,26.15,19.93,22.55,25.02
51,2022-02-10 00:00:00-05:00,25.95,26.87,25.55,25.78,2,2022,6,1,-3.3,7.83,-5.75,-16.16,26.84,98.98,24.97,25.29,25.62,26.1,24.47,24.47,25.69,27.44,26.08,19.96,22.61,25.05
52,2022-02-11 00:00:00-05:00,25.87,26.1,23.73,23.9,2,2022,6,1,-7.26,-1.52,-13.91,-21.87,18.04,81.08,24.8,25.22,25.16,25.99,24.34,24.42,25.66,27.29,25.94,19.98,22.65,25.06
53,2022-02-14 00:00:00-05:00,23.89,24.83,23.71,24.22,2,2022,7,1,1.33,-1.86,-13.33,-17.61,21.76,79.16,24.7,25.12,24.83,25.91,24.2,24.41,25.63,27.13,25.82,20.0,22.7,25.08
54,2022-02-15 00:00:00-05:00,24.9,26.5,24.74,26.45,2,2022,7,1,9.18,5.52,-0.3,-12.81,34.54,95.99,24.99,25.4,25.27,25.93,24.23,24.62,25.65,27.05,25.79,20.03,22.75,25.12
55,2022-02-16 00:00:00-05:00,26.21,26.53,25.5,26.46,2,2022,7,1,0.06,-0.73,-1.6,-12.75,33.23,94.19,25.24,25.36,25.62,25.96,24.3,24.84,25.66,26.98,25.77,20.07,22.82,25.15
56,2022-02-17 00:00:00-05:00,25.58,25.74,24.12,24.46,2,2022,7,1,-7.56,-5.1,-5.39,-18.37,21.43,80.48,25.11,25.1,25.32,25.89,24.32,24.85,25.64,26.82,25.67,20.09,22.87,25.17
57,2022-02-18 00:00:00-05:00,24.62,24.94,23.06,23.6,2,2022,7,1,-3.53,-1.28,-5.68,-21.71,18.54,63.88,24.85,25.04,24.82,25.78,24.34,24.78,25.6,26.65,25.55,20.11,22.91,25.18
58,2022-02-22 00:00:00-05:00,22.99,24.02,22.96,23.35,2,2022,8,1,-1.07,-3.61,-3.15,-20.05,20.24,64.13,24.6,24.86,24.26,25.66,24.34,24.69,25.55,26.51,25.42,20.12,22.95,25.18
59,2022-02-23 00:00:00-05:00,23.76,24.11,22.26,22.34,2,2022,8,1,-4.29,-15.5,-4.22,-29.31,17.61,51.76,24.23,24.04,23.42,25.5,24.34,24.5,25.49,26.36,25.25,20.13,22.99,25.18
60,2022-02-24 00:00:00-05:00,20.98,23.76,20.85,23.7,2,2022,8,1,6.08,-10.42,1.61,-27.99,19.99,55.85,24.14,23.49,23.31,25.42,24.39,24.44,25.46,26.27,25.15,20.15,23.04,25.18
61,2022-02-25 00:00:00-05:00,23.68,24.17,23.34,24.11,2,2022,8,1,1.72,-1.43,8.21,-24.4,16.08,61.6,24.14,23.42,23.51,25.36,24.5,24.41,25.43,26.19,25.07,20.17,23.09,25.19
