,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-11-26 00:00:00-05:00,20.41,21.09,20.35,21.03,11,2021,47,4,-0.38,-2.19,-17.59,-13.63,-0.9,44.24,21.95,20.96,20.94,23.73,23.58,22.47,24.16,24.5,23.79,21.82,24.0,24.09
1,2021-11-29 00:00:00-05:00,21.19,21.4,20.56,21.07,11,2021,48,4,0.19,-1.59,-15.92,-15.28,-1.91,33.35,21.8,20.89,20.98,23.6,23.34,22.23,24.1,24.34,23.65,21.81,23.94,24.06
2,2021-11-30 00:00:00-05:00,20.95,21.25,20.11,20.65,11,2021,48,4,-1.99,0.0,-19.46,-19.68,-6.65,29.63,21.61,20.89,20.9,23.46,23.04,21.98,24.03,24.23,23.51,21.81,23.91,24.03
3,2021-12-01 00:00:00-05:00,20.53,20.89,19.29,19.38,12,2021,48,4,-6.15,-5.88,-25.12,-24.77,-14.63,8.57,21.24,20.65,20.39,23.27,22.72,21.63,23.94,24.08,23.32,21.8,23.87,23.98
4,2021-12-02 00:00:00-05:00,19.3,19.91,19.06,19.69,12,2021,48,4,1.6,-6.73,-25.87,-25.25,-14.2,10.0,20.98,20.36,20.07,23.1,22.4,21.34,23.86,23.93,23.15,21.79,23.84,23.94
5,2021-12-03 00:00:00-05:00,19.5,19.53,18.4,18.98,12,2021,48,4,-3.61,-9.75,-26.77,-27.56,-17.69,0.0,20.65,19.95,19.61,22.9,22.02,21.02,23.76,23.73,22.95,21.77,23.79,23.89
6,2021-12-06 00:00:00-05:00,18.54,18.97,18.08,18.8,12,2021,49,4,-0.95,-10.77,-28.02,-29.08,-23.11,3.58,20.34,19.5,19.23,22.71,21.66,20.71,23.67,23.54,22.76,21.76,23.74,23.84
7,2021-12-07 00:00:00-05:00,19.26,19.85,19.07,19.46,12,2021,49,4,3.51,-5.76,-26.48,-26.95,-17.65,-7.51,20.19,19.26,19.21,22.55,21.3,20.5,23.58,23.38,22.6,21.75,23.71,23.8
8,2021-12-08 00:00:00-05:00,19.51,19.83,19.03,19.82,12,2021,49,4,1.85,2.27,-23.77,-25.77,-17.52,-16.79,20.13,19.35,19.4,22.42,21.08,20.36,23.51,23.26,22.46,21.74,23.67,23.76
9,2021-12-09 00:00:00-05:00,19.95,20.15,19.04,19.21,12,2021,49,4,-3.08,-2.44,-28.19,-24.9,-21.46,-33.87,19.98,19.25,19.35,22.27,20.91,20.18,23.42,23.16,22.3,21.72,23.65,23.72
10,2021-12-10 00:00:00-05:00,19.28,19.58,18.7,18.94,12,2021,49,4,-1.41,-0.21,-21.9,-27.52,-22.31,-31.53,19.8,19.25,19.25,22.11,20.71,19.99,23.34,23.06,22.14,21.71,23.63,23.67
11,2021-12-13 00:00:00-05:00,18.8,19.08,18.17,18.4,12,2021,50,4,-2.85,-2.13,-18.29,-29.98,-23.87,-32.13,19.57,19.17,18.97,21.93,20.49,19.77,23.24,22.94,21.95,21.69,23.59,23.62
12,2021-12-14 00:00:00-05:00,18.0,18.86,17.91,18.64,12,2021,50,4,1.3,-4.21,-18.92,-27.84,-22.78,-27.39,19.42,19.0,18.79,21.78,20.25,19.6,23.15,22.85,21.78,21.68,23.56,23.57
13,2021-12-15 00:00:00-05:00,18.37,18.94,18.0,18.86,12,2021,50,4,1.18,-4.84,-17.39,-28.18,-23.55,-16.22,19.32,18.81,18.74,21.64,20.03,19.47,23.07,22.76,21.63,21.66,23.54,23.52
14,2021-12-16 00:00:00-05:00,18.96,19.12,18.15,18.34,12,2021,50,4,-2.76,-4.53,-21.66,-32.27,-26.64,-23.68,19.16,18.64,18.59,21.48,19.83,19.3,22.97,22.66,21.45,21.65,23.51,23.47
15,2021-12-17 00:00:00-05:00,18.03,19.1,17.81,19.06,12,2021,50,4,3.93,0.63,-17.6,-33.43,-21.92,-20.08,19.14,18.66,18.73,21.37,19.7,19.23,22.9,22.56,21.31,21.63,23.48,23.43
16,2021-12-20 00:00:00-05:00,18.59,18.67,17.83,17.96,12,2021,51,4,-5.77,-2.39,-20.14,-37.44,-27.58,-37.94,18.95,18.57,18.49,21.2,19.53,19.06,22.8,22.45,21.13,21.62,23.46,23.37
17,2021-12-21 00:00:00-05:00,18.16,18.98,18.1,18.9,12,2021,51,4,5.23,1.39,-12.09,-28.81,-25.74,-33.89,18.94,18.62,18.6,21.09,19.44,19.0,22.72,22.36,20.99,21.6,23.43,23.33
18,2021-12-22 00:00:00-05:00,18.65,19.45,18.65,18.88,12,2021,51,4,-0.11,0.11,-11.82,-29.08,-25.58,-29.1,18.93,18.63,18.69,20.99,19.36,18.95,22.65,22.26,20.86,21.59,23.41,23.28
19,2021-12-23 00:00:00-05:00,18.85,19.14,18.72,18.93,12,2021,51,4,0.26,3.22,-8.33,-30.99,-25.53,-29.99,18.93,18.75,18.79,20.89,19.25,18.91,22.57,22.16,20.73,21.58,23.37,23.24
20,2021-12-27 00:00:00-05:00,18.78,19.25,18.78,18.94,12,2021,52,4,0.05,-0.63,-8.01,-34.17,-25.43,-30.37,18.93,18.72,18.85,20.8,19.15,18.88,22.5,22.05,20.6,21.56,23.33,23.19
21,2021-12-28 00:00:00-05:00,18.89,19.07,18.44,18.57,12,2021,52,4,-1.95,3.4,-12.03,-34.98,-29.31,-31.83,18.87,18.84,18.8,20.69,19.02,18.83,22.43,21.94,20.46,21.55,23.29,23.15
22,2021-12-29 00:00:00-05:00,18.53,18.6,17.91,18.17,12,2021,52,4,-2.15,-3.86,-13.6,-33.86,-31.51,-31.25,18.75,18.7,18.58,20.57,18.9,18.74,22.34,21.82,20.32,21.53,23.25,23.09
23,2021-12-30 00:00:00-05:00,18.1,19.0,18.07,18.69,12,2021,52,4,2.86,-1.01,-11.3,-26.24,-30.21,-27.89,18.74,18.66,18.58,20.48,18.86,18.73,22.27,21.7,20.19,21.52,23.22,23.05
24,2021-12-31 00:00:00-05:00,18.61,18.92,18.21,18.21,12,2021,52,4,-2.57,-3.8,-11.82,-25.73,-33.49,-33.13,18.65,18.52,18.43,20.37,18.79,18.66,22.19,21.58,20.06,21.5,23.19,23.0
25,2022-01-03 00:00:00-05:00,18.36,18.57,17.86,18.53,1,2022,1,1,1.76,-2.16,-4.39,-22.92,-30.42,-28.65,18.63,18.43,18.43,20.29,18.77,18.64,22.12,21.45,19.94,21.49,23.16,22.95
