,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
0,2021-01-25 00:00:00+01:00,40.54,40.69,39.07,39.63,1,2021,4,1,-2.16,-4.93,-2.34,6.75,19.02,-4.3,41.1,40.93,40.66,40.31,41.28,41.29,37.94,40.19,40.83,36.51,33.81,36.33
1,2021-01-26 00:00:00+01:00,39.51,40.23,39.48,39.87,1,2021,4,1,0.61,-3.54,-2.76,8.62,22.44,-3.3,40.89,40.64,40.31,40.29,41.2,41.16,37.98,40.23,40.82,36.53,33.89,36.39
2,2021-01-27 00:00:00+01:00,39.89,40.04,39.1,39.49,1,2021,4,1,-0.95,-4.04,-4.07,11.2,21.59,-3.79,40.66,40.3,39.93,40.25,41.12,40.99,38.01,40.24,40.79,36.54,33.96,36.45
3,2021-01-28 00:00:00+01:00,38.42,39.06,37.43,38.94,1,2021,4,1,-1.41,-7.33,-5.91,14.24,20.8,-5.46,40.37,39.69,39.47,40.19,41.02,40.78,38.03,40.25,40.74,36.56,34.03,36.49
4,2021-01-29 00:00:00+01:00,38.59,39.31,38.11,38.85,1,2021,4,1,-0.23,-4.1,-5.82,21.03,22.35,-3.92,40.12,39.36,39.19,40.12,40.95,40.58,38.05,40.26,40.68,36.57,34.09,36.54
5,2021-02-01 00:00:00+01:00,39.01,39.78,38.98,39.62,2,2021,5,1,1.98,-0.04,-3.07,24.21,27.5,-3.28,40.03,39.35,39.28,40.1,40.89,40.45,38.08,40.3,40.66,36.58,34.16,36.6
6,2021-02-02 00:00:00+01:00,39.86,40.55,39.8,40.2,2,2021,5,1,1.49,0.83,0.04,24.12,30.99,0.38,40.06,39.42,39.56,40.1,40.87,40.39,38.12,40.36,40.65,36.6,34.23,36.66
7,2021-02-03 00:00:00+01:00,40.48,40.76,39.98,40.23,2,2021,5,1,0.08,1.87,-1.66,21.41,27.57,-0.3,40.09,39.57,39.83,40.11,40.81,40.32,38.16,40.4,40.65,36.62,34.31,36.72
8,2021-02-04 00:00:00+01:00,40.14,40.96,40.14,40.76,2,2021,5,1,1.31,4.69,0.33,19.0,30.59,0.37,40.2,39.93,40.23,40.14,40.77,40.32,38.21,40.44,40.66,36.64,34.38,36.78
9,2021-02-05 00:00:00+01:00,40.73,40.81,40.4,40.76,2,2021,5,1,0.0,4.94,-1.35,18.21,26.58,2.62,40.3,40.32,40.51,40.17,40.7,40.32,38.26,40.49,40.68,36.66,34.45,36.85
10,2021-02-08 00:00:00+01:00,40.84,41.22,40.72,41.0,2,2021,6,1,0.59,3.51,-1.59,18.19,28.66,4.54,40.41,40.59,40.74,40.21,40.68,40.35,38.31,40.55,40.7,36.68,34.51,36.91
11,2021-02-09 00:00:00+01:00,42.42,42.77,41.31,42.0,2,2021,6,1,2.43,4.47,-0.07,20.9,30.06,7.12,40.68,40.95,41.2,40.3,40.7,40.47,38.39,40.61,40.75,36.71,34.58,36.99
12,2021-02-10 00:00:00+01:00,42.15,42.21,40.46,40.61,2,2021,6,1,-3.31,0.94,-1.93,8.56,24.71,1.24,40.67,41.03,41.09,40.31,40.64,40.47,38.43,40.64,40.75,36.73,34.65,37.05
13,2021-02-11 00:00:00+01:00,40.57,41.43,40.57,41.05,2,2021,6,1,1.08,0.7,-1.56,6.05,20.66,1.91,40.73,41.09,41.1,40.35,40.57,40.5,38.48,40.67,40.77,36.75,34.72,37.11
14,2021-02-12 00:00:00+01:00,40.94,41.05,40.54,40.82,2,2021,6,1,-0.55,0.15,-2.42,8.46,18.47,1.31,40.75,41.1,41.01,40.37,40.53,40.53,38.53,40.7,40.78,36.77,34.79,37.17
15,2021-02-15 00:00:00+01:00,40.76,41.65,40.76,41.32,2,2021,7,1,1.22,0.77,-2.63,9.57,21.56,4.35,40.84,41.16,41.09,40.41,40.51,40.6,38.58,40.73,40.8,36.79,34.86,37.23
