0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Market Capitalization,Market Cap Growth,Enterprise Value,Last Close Price,PE Ratio,Forward PE,PS Ratio,PB Ratio,P/TBV Ratio,P/FCF Ratio,P/OCF Ratio,PEG Ratio,EV/Sales Ratio,EV/EBITDA Ratio,EV/EBIT Ratio,EV/FCF Ratio,Debt / Equity Ratio,Debt / EBITDA Ratio,Debt / FCF Ratio,Asset Turnover,Inventory Turnover,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Return on Capital Employed (ROCE),Earnings Yield,FCF Yield,Dividend Yield,Payout Ratio,Buyback Yield / Dilution,Total Shareholder Return
4040889,15.27%,4034440,275.25,36.66,33.33,9.89,55.15,54.99,41.05,36.37,3.25,9.69,27.87,30.32,40.85,1.52,0.69,1.14,1.19,33.98,0.77,0.89,157.44%,23.47%,45.85%,68.70%,2.76%,2.44%,0.38%,13.81%,2.62%,3.00%
3791126,9.46%,3759838,255.21,33.85,33.08,9.11,51.42,51.42,38.39,34.01,3.28,9.04,25.98,28.26,38.07,1.52,0.70,1.14,1.14,37.19,0.77,0.89,141.35%,21.28%,42.41%,68.70%,2.96%,2.60%,0.40%,14.06%,2.49%,2.89%
3003296,-7.01%,2968560,200.66,30.25,27.72,7.35,45.62,45.62,31.22,27.66,2.60,7.27,20.95,22.80,30.86,1.55,0.82,1.06,1.13,33.01,0.72,0.87,148.43%,21.91%,45.03%,68.40%,3.31%,3.20%,0.50%,16.84%,2.61%,3.11%
3273310,23.62%,3228741,217.16,33.64,28.96,8.18,49.01,49.01,33.24,29.88,2.71,8.06,23.25,25.35,32.78,1.47,0.76,1.00,1.40,30.65,0.68,0.82,234.94%,30.20%,63.07%,68.20%,2.97%,3.01%,0.46%,15.17%,2.64%,3.10%
3863453,29.02%,3825862,254.44,40.18,34.57,9.76,57.87,57.87,39.30,35.68,3.63,9.67,27.85,30.44,38.92,1.45,0.53,0.99,1.09,37.21,0.78,0.92,95.33%,21.24%,43.01%,62.90%,2.49%,2.54%,0.39%,10.61%,2.73%,3.12%
3463350,29.39%,3411613,226.52,36.95,31.48,8.86,60.81,60.81,31.83,29.29,3.65,8.73,25.34,27.69,31.36,2.09,0.82,1.09,1.03,30.36,0.75,0.87,121.78%,18.95%,36.55%,65.30%,2.71%,3.14%,0.43%,25.81%,2.74%,3.17%
3229664,5.86%,3171917,209.20,31.68,30.63,8.38,48.42,48.42,30.95,28.57,2.83,8.23,24.07,26.30,30.40,1.52,0.90,0.97,1.05,29.75,0.80,0.95,127.51%,20.19%,38.65%,60.30%,3.16%,3.23%,0.46%,18.16%,2.71%,3.17%
2647974,1.49%,2583439,170.09,26.38,25.67,6.94,35.69,35.69,25.98,23.95,2.73,6.77,19.93,21.85,25.35,1.41,0.85,1.03,1.36,30.44,0.88,1.04,199.15%,28.59%,54.82%,55.40%,3.79%,3.85%,0.56%,15.70%,2.41%,2.98%
2994371,44.87%,2956202,190.73,29.67,29.28,7.76,40.41,40.41,28.02,25.72,3.21,7.66,22.72,24.91,27.66,1.46,0.62,1.01,1.04,40.32,0.92,1.07,150.01%,19.61%,37.92%,54.00%,3.37%,3.57%,0.50%,11.28%,2.38%,2.87%
2676737,10.72%,2619474,169.39,27.60,26.72,6.98,43.07,43.07,26.88,24.21,2.56,6.83,20.82,22.92,26.30,1.99,0.92,1.24,0.98,28.69,0.84,0.99,129.91%,17.23%,33.69%,55.10%,3.62%,3.72%,0.56%,16.37%,2.77%,3.32%
3050896,33.06%,2994178,191.64,32.20,30.81,7.95,50.62,50.62,30.21,26.98,2.65,7.80,24.16,26.68,29.65,1.81,1.05,1.08,1.12,24.48,0.81,0.98,162.58%,20.86%,41.69%,53.40%,3.11%,3.31%,0.48%,19.36%,3.00%,3.48%
2609039,-8.50%,2554699,162.70,27.66,26.57,6.78,41.97,41.97,26.76,23.81,2.58,6.63,20.64,22.75,26.21,1.76,0.88,1.12,1.34,29.57,0.76,0.94,223.45%,25.74%,51.31%,53.00%,3.62%,3.74%,0.56%,15.11%,3.39%,3.96%
2066942,-28.53%,2030313,128.00,21.72,20.98,5.33,36.44,36.44,21.20,18.93,1.95,5.24,16.20,17.82,20.82,1.96,0.71,1.14,1.05,45.43,0.77,0.94,152.39%,18.06%,34.48%,54.40%,4.60%,4.72%,0.71%,12.56%,3.41%,4.12%
2417523,-0.46%,2357906,147.95,24.22,24.27,6.13,47.71,47.71,21.69,19.79,2.09,5.98,18.06,19.74,21.16,2.61,1.04,1.19,0.97,40.12,0.71,0.88,123.93%,16.79%,31.60%,60.10%,4.13%,4.61%,0.61%,17.87%,3.11%,3.71%
2292793,3.22%,2220044,139.13,23.01,23.03,5.92,39.46,39.46,21.31,19.39,2.00,5.73,17.14,18.76,20.64,2.06,1.16,1.11,1.06,34.57,0.70,0.87,143.60%,20.48%,39.23%,57.30%,4.35%,4.69%,0.64%,19.60%,3.10%,3.74%
2851333,40.12%,2771535,171.35,27.97,27.97,7.39,42.31,42.31,26.95,24.49,2.42,7.18,21.22,23.22,26.20,1.78,0.92,1.13,1.35,38.62,0.76,0.93,205.18%,28.33%,52.60%,53.50%,3.57%,3.71%,0.51%,14.37%,3.11%,3.62%
2892120,28.90%,2838126,172.66,28.76,30.88,7.65,40.21,40.21,28.40,25.77,2.64,7.50,22.14,24.28,27.87,1.71,0.69,1.21,0.98,44.77,0.88,1.04,129.08%,17.47%,29.78%,50.00%,3.48%,3.52%,0.50%,10.78%,3.47%,3.97%
2428612,26.47%,2370459,143.69,25.65,26.67,6.64,38.49,38.49,26.13,23.34,1.76,6.48,19.72,21.76,25.50,2.16,1.12,1.47,0.98,32.78,0.91,1.08,130.34%,18.09%,29.88%,48.30%,3.90%,3.83%,0.59%,17.71%,3.60%,4.19%
2221291,44.92%,2151663,129.99,25.59,25.93,6.40,34.56,34.56,23.44,21.27,1.93,6.20,19.40,21.53,22.71,2.11,1.26,1.43,1.04,35.53,0.89,1.06,139.61%,19.89%,34.80%,45.00%,3.91%,4.27%,0.64%,17.32%,3.66%,4.30%
2034885,87.72%,1964357,118.17,26.67,27.64,6.25,29.42,29.42,22.49,20.43,2.34,6.04,19.68,22.10,21.71,1.95,1.11,1.49,1.32,40.43,0.97,1.14,174.85%,24.73%,44.25%,38.50%,3.75%,4.45%,0.69%,14.59%,3.91%,4.61%
2243728,74.25%,2174176,128.47,35.10,33.35,7.63,33.88,33.88,27.97,25.23,3.02,7.39,25.53,29.28,27.10,1.89,0.86,1.56,Upgrade,59.43,1.02,1.16,Upgrade,Upgrade,Upgrade,33.50%,2.85%,3.57%,0.63%,12.57%,3.96%,4.58%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,,Upgrade,Upgrade,Upgrade,,,,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
