0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Market Capitalization,Market Cap Growth,Enterprise Value,Last Close Price,PE Ratio,Forward PE,PS Ratio,PB Ratio,P/TBV Ratio,P/FCF Ratio,P/OCF Ratio,PEG Ratio,EV/Sales Ratio,EV/EBITDA Ratio,EV/EBIT Ratio,EV/FCF Ratio,Debt / Equity Ratio,Debt / EBITDA Ratio,Debt / FCF Ratio,Asset Turnover,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Return on Capital Employed (ROCE),Earnings Yield,FCF Yield,Buyback Yield / Dilution,Total Shareholder Return
89492,-5.91%,81043,141.55,35.03,33.21,8.06,10.48,10.75,19.78,19.78,2.35,7.30,31.36,31.74,17.94,0.27,0.86,0.51,0.46,1.06,1.69,21.82%,4.98%,10.02%,23.64%,2.96%,5.06%,2.57%,2.57%
82101,-5.91%,73107,131.41,31.01,30.90,7.40,9.76,10.75,18.17,18.17,2.06,6.59,28.08,28.64,16.18,0.27,1.26,0.51,0.62,1.06,1.69,66.37%,15.72%,36.27%,23.64%,3.23%,5.50%,0.63%,0.63%
80198,-8.40%,71221,126.81,43.63,29.97,7.40,9.45,10.41,19.49,19.49,1.82,6.57,42.57,43.77,17.31,0.27,0.36,0.55,0.43,1.01,1.62,27.93%,4.89%,12.14%,15.01%,2.29%,5.13%,2.73%,2.73%
96261,19.17%,87458,151.63,19.87,33.64,9.16,12.03,13.33,22.07,22.07,1.90,8.33,53.43,54.73,20.05,0.28,1.07,0.52,0.38,0.72,1.41,13.15%,1.12%,2.44%,15.23%,5.03%,4.53%,2.41%,2.41%
105036,33.74%,97269,164.96,21.27,38.09,10.26,13.30,14.77,24.89,24.89,2.62,9.50,58.67,59.89,23.05,0.29,4.24,0.54,0.42,0.80,1.44,-16.15%,-5.89%,-11.32%,15.62%,4.70%,4.02%,2.39%,2.39%
87256,61.18%,78603,136.14,-,32.46,8.80,10.69,11.83,22.47,22.47,4.11,7.93,-,-,20.24,0.28,-,0.59,0.64,1.03,1.66,246.74%,17.55%,39.76%,-,5.49%,4.45%,4.76%,4.76%
87551,30.34%,79535,137.21,16.04,34.46,9.12,9.60,10.36,20.36,20.44,2.46,8.28,34.70,35.33,18.49,0.25,0.38,0.54,0.48,1.14,1.78,50.24%,6.35%,17.42%,19.38%,6.24%,4.91%,2.94%,2.94%
80773,42.47%,72515,128.16,35.12,37.04,8.89,15.97,18.44,20.53,20.59,2.72,7.98,36.19,37.04,18.43,0.46,1.04,0.59,0.40,0.77,1.47,8.63%,-0.07%,-0.16%,25.89%,2.85%,4.87%,2.78%,2.78%
78537,-27.84%,71256,124.40,38.71,36.34,9.02,14.84,17.04,20.55,20.59,1.93,8.18,36.43,-,18.65,0.44,19.47,0.61,0.47,0.88,1.55,22.99%,3.69%,7.50%,-,2.58%,4.87%,-5.51%,-5.51%
54137,-48.07%,46870,85.50,28.60,32.40,6.45,9.74,11.10,15.78,15.78,-,5.58,23.74,24.76,13.66,0.42,2.14,0.68,0.66,1.23,1.86,90.05%,17.12%,38.74%,23.49%,3.50%,6.34%,1.31%,1.31%
67173,-35.36%,59659,105.04,41.25,48.50,8.37,12.12,13.83,20.18,20.06,-,7.43,32.58,34.44,17.93,0.43,0.48,0.71,0.47,1.22,1.85,30.37%,6.34%,15.50%,21.49%,2.42%,4.95%,0.28%,0.28%
56696,-39.14%,49780,89.08,45.41,50.39,7.68,10.81,12.45,19.55,19.42,-,6.74,33.18,36.05,17.17,0.45,1.17,0.82,0.39,0.89,1.58,-1.60%,-0.08%,-0.17%,17.76%,2.20%,5.11%,-11.81%,-11.81%
108840,-3.36%,102936,171.76,-,128.97,16.46,22.97,26.95,37.72,37.42,-,15.56,102.83,-,35.68,0.51,12.03,0.83,0.45,0.97,1.61,4.73%,1.40%,2.71%,-,0.74%,2.65%,-5.66%,-5.66%
104254,19.71%,98764,166.49,-296.18,190.08,17.40,21.83,25.62,45.57,45.07,-,16.48,145.17,182.22,43.17,0.51,4.54,1.06,0.62,1.33,1.95,85.07%,14.65%,33.48%,7.38%,-0.34%,2.19%,-96.93%,-96.93%
103912,-,98927,167.75,-24.20,-,19.54,23.36,27.80,58.94,58.00,-,18.60,-40.02,-38.21,56.12,0.55,0.67,1.38,0.38,1.22,1.86,-8.33%,-0.91%,-2.21%,-36.87%,-4.13%,1.70%,-127.91%,-127.91%
93159,-,89046,153.14,-,-,21.06,27.45,34.83,59.65,58.49,-,20.13,-,-,57.02,0.72,56.40,1.56,0.31,0.79,1.48,-154.72%,-7.34%,-15.44%,-,-5.27%,1.68%,-132.14%,-132.14%
112620,-,108559,187.94,-,-,32.90,35.65,46.23,217.81,206.09,-,31.71,-,-,209.95,0.78,-,4.75,0.36,1.01,1.66,-653.83%,-79.47%,-163.04%,-,-4.81%,0.46%,-128.93%,-128.93%
87089,-,88107,146.80,-,-,25.78,30.01,40.13,-,-,-,26.08,-,-,-,0.80,-,-,-,1.26,1.73,-,-,-,-,-5.26%,-0.77%,-31.77%,-31.77%
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.23,1.15,-3.07,-,1.07,1.65,-,-,-,-17.20%,-,-,-15.10%,-15.10%
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-56.21%,-,-35.80%,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,-,-,Upgrade,-,-,Upgrade,Upgrade,Upgrade,-,-,-,-,-
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,,Upgrade,Upgrade,,,,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
