0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Market Capitalization,Market Cap Growth,Enterprise Value,Last Close Price,PE Ratio,Forward PE,PS Ratio,PB Ratio,P/TBV Ratio,P/FCF Ratio,P/OCF Ratio,PEG Ratio,EV/Sales Ratio,EV/EBITDA Ratio,EV/EBIT Ratio,EV/FCF Ratio,Debt / Equity Ratio,Debt / EBITDA Ratio,Debt / FCF Ratio,Asset Turnover,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Return on Capital Employed (ROCE),Earnings Yield,FCF Yield,Buyback Yield / Dilution,Total Shareholder Return
192185,-18.56%,190459,443.41,35.72,21.64,9.22,13.86,424.51,24.42,23.87,1.52,8.86,22.66,24.36,24.19,0.43,0.71,0.77,0.75,0.95,1.07,46.99%,16.94%,24.95%,39.67%,2.89%,4.09%,2.05%,2.05%
227112,-18.56%,225675,515.93,40.85,25.95,10.56,16.10,424.51,28.85,28.19,1.48,10.49,26.01,28.86,28.66,0.43,0.66,0.77,0.72,0.95,1.07,45.84%,16.65%,23.97%,39.67%,2.45%,3.47%,3.49%,3.49%
254693,-0.79%,252718,574.41,47.52,29.84,12.16,17.51,291.75,38.88,37.83,1.73,12.06,30.13,33.57,38.58,0.42,0.68,0.93,0.72,0.97,1.11,41.53%,16.04%,23.28%,37.29%,2.10%,2.57%,2.59%,2.59%
199252,-0.45%,196518,444.76,39.23,24.17,9.75,13.42,179.99,31.29,30.26,1.41,9.62,24.27,27.17,30.86,0.41,0.72,0.96,0.71,1.02,1.16,15.51%,16.29%,23.75%,35.22%,2.55%,3.20%,1.59%,1.59%
258372,63.77%,254610,570.93,53.82,31.86,12.96,16.71,156.97,39.83,38.09,2.03,12.77,32.46,36.52,39.25,0.26,0.48,0.63,0.69,0.93,1.05,36.74%,14.80%,21.53%,36.28%,1.86%,2.51%,0.70%,0.70%
278858,75.63%,275438,612.47,51.37,35.27,14.37,16.88,106.23,40.17,38.19,2.22,14.19,36.62,41.42,39.68,0.25,0.51,0.59,0.69,1.22,1.34,36.66%,14.90%,21.86%,30.89%,1.95%,2.49%,1.50%,1.50%
256711,49.00%,254223,563.21,50.13,33.83,13.59,16.27,141.91,33.66,31.97,2.17,13.46,34.94,39.65,33.34,0.26,0.53,0.54,0.71,1.12,1.25,35.67%,14.90%,21.78%,30.89%,1.99%,2.97%,2.11%,2.11%
200163,-1.43%,198636,436.37,41.24,27.39,10.86,13.49,255.31,26.97,25.46,1.86,10.78,28.13,32.04,26.76,0.28,0.55,0.55,0.69,1.03,1.16,35.30%,14.73%,21.42%,31.28%,2.43%,3.71%,3.08%,3.08%
157768,-26.02%,156305,344.04,33.31,22.52,8.77,11.11,2629.47,21.56,20.33,1.54,8.68,22.46,25.61,21.36,0.29,0.56,0.56,0.67,1.00,1.12,33.10%,13.96%,19.96%,31.74%,3.00%,4.64%,3.34%,3.34%
158777,-45.87%,157654,341.53,33.38,23.09,9.02,11.30,-,21.47,20.26,1.61,8.95,22.67,25.85,21.32,0.33,0.66,0.63,0.67,1.00,1.11,32.05%,13.98%,19.70%,32.03%,3.00%,4.66%,2.92%,2.92%
172290,-45.75%,171649,368.14,35.80,25.35,10.02,11.99,2496.95,24.17,22.73,1.45,9.98,24.73,28.17,24.08,0.32,0.67,0.65,0.67,1.01,1.14,33.95%,14.62%,20.62%,31.57%,2.79%,4.14%,2.35%,2.35%
203062,-15.79%,203026,429.76,41.53,30.41,12.16,14.52,-,29.61,27.90,1.75,12.16,29.54,33.55,29.60,0.33,0.66,0.68,0.64,0.93,1.07,35.45%,14.84%,20.84%,31.95%,2.41%,3.38%,1.56%,1.56%
213270,0.93%,212145,452.13,44.18,32.79,13.21,15.48,-,31.19,29.51,1.87,13.14,31.51,35.79,31.02,0.34,0.64,0.68,0.62,0.89,1.04,33.77%,14.06%,19.46%,31.57%,2.26%,3.21%,1.55%,1.55%
293345,28.19%,291866,616.53,60.83,45.17,18.58,19.82,949.34,42.62,40.57,2.53,18.49,44.29,50.30,42.41,0.32,0.67,0.68,0.61,1.11,1.25,34.30%,13.93%,19.14%,28.57%,1.64%,2.35%,0.83%,0.83%
317563,28.20%,316488,666.59,54.39,51.79,21.03,22.03,311.64,48.16,45.72,3.05,20.96,51.86,57.38,48.00,0.33,0.70,0.71,0.61,1.25,1.39,32.59%,13.90%,19.10%,27.64%,1.84%,2.08%,0.87%,0.87%
241151,29.47%,240895,504.50,43.20,41.94,16.76,17.41,685.09,36.57,34.56,2.75,16.74,42.05,46.83,36.53,0.34,0.72,0.71,0.63,1.18,1.31,37.63%,14.76%,20.07%,26.46%,2.31%,2.73%,0.83%,0.83%
211301,26.69%,210017,440.83,37.96,39.16,15.44,15.60,-,36.49,34.22,2.61,15.35,39.38,44.18,36.27,0.35,0.70,0.81,0.59,1.12,1.27,72.07%,13.01%,17.65%,24.79%,2.63%,2.74%,1.00%,1.00%
228840,52.73%,228302,477.03,43.51,44.15,17.78,17.25,196.77,43.11,39.96,2.90,17.74,47.48,53.88,43.01,0.35,0.94,0.89,0.59,1.34,1.48,33.81%,12.14%,16.69%,22.57%,2.30%,2.32%,0.99%,0.99%
247718,79.36%,248064,516.44,64.16,50.25,19.92,21.15,-,50.44,46.55,3.16,19.95,54.17,62.14,50.51,0.40,0.92,0.96,0.58,1.28,1.44,41.23%,11.86%,16.52%,23.10%,1.56%,1.98%,1.24%,1.24%
186264,40.91%,186804,386.60,50.36,38.43,15.46,17.12,-,42.01,38.74,2.34,15.51,42.79,49.46,42.13,0.43,0.95,1.06,0.59,1.11,1.29,36.39%,11.16%,15.70%,22.98%,1.99%,2.38%,1.50%,1.50%
166786,29.16%,166747,345.12,51.60,35.17,14.30,15.94,-,38.70,35.23,2.13,14.30,40.68,47.49,38.69,0.45,1.02,1.09,Upgrade,1.06,1.23,Upgrade,Upgrade,Upgrade,21.96%,1.94%,2.58%,1.30%,1.30%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,,Upgrade,Upgrade,,,,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
