0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Market Capitalization,Market Cap Growth,Enterprise Value,Last Close Price,PE Ratio,Forward PE,PS Ratio,PB Ratio,P/TBV Ratio,P/FCF Ratio,P/OCF Ratio,PEG Ratio,EV/Sales Ratio,EV/EBITDA Ratio,EV/EBIT Ratio,EV/FCF Ratio,Debt / Equity Ratio,Debt / EBITDA Ratio,Debt / FCF Ratio,Asset Turnover,Inventory Turnover,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Earnings Yield,FCF Yield,Buyback Yield / Dilution,Total Shareholder Return
197723,60.12%,194687,127.33,107.99,27.00,8.48,3.63,21.15,126.60,92.79,0.68,8.01,43.47,142.00,125.12,0.04,0.48,1.44,0.40,2.17,1.58,2.50,5.43%,2.63%,3.07%,0.93%,0.79%,-0.69%,-0.69%
265997,60.12%,262902,164.35,145.67,37.43,10.95,4.67,21.15,170.95,125.29,0.91,10.82,58.70,191.76,168.96,0.04,0.37,1.44,0.34,2.44,1.58,2.50,1.88%,0.99%,1.14%,0.69%,0.58%,-0.43%,-0.43%
262456,43.08%,259419,162.21,193.84,40.26,11.28,4.64,21.62,193.41,136.98,0.92,11.15,64.12,297.84,191.17,0.04,0.52,1.65,0.32,2.27,1.79,2.82,0.88%,0.13%,0.15%,0.52%,0.52%,-0.61%,-0.61%
291697,84.93%,289033,180.49,261.38,49.85,12.79,5.19,26.06,248.89,171.38,1.12,12.68,75.33,496.62,246.62,0.05,0.87,2.56,0.36,2.38,1.72,2.64,4.81%,1.26%,1.46%,0.38%,0.40%,-1.74%,-1.74%
238141,128.03%,235218,147.41,278.85,44.35,10.50,4.26,23.19,212.44,142.86,1.39,10.37,61.03,586.58,209.83,0.06,0.66,2.77,0.34,2.51,1.67,2.51,2.17%,0.83%,0.97%,0.36%,0.47%,-0.62%,-0.62%
166123,51.42%,162698,102.82,798.67,30.56,7.51,3.02,18.80,125.66,89.65,1.00,7.36,53.41,-1807.76,123.07,0.05,0.66,2.16,0.32,2.29,1.42,2.19,0.20%,-0.07%,-0.09%,0.13%,0.80%,-0.25%,-0.25%
183436,29.99%,180345,113.91,-7337.45,35.83,8.39,3.33,21.94,98.25,76.53,1.20,8.24,58.18,-,96.60,0.05,0.82,1.53,0.32,2.46,1.40,2.18,-1.02%,-0.54%,-0.63%,-0.01%,1.02%,0.31%,0.31%
157738,-19.00%,154839,98.01,-,32.13,6.84,2.88,21.83,62.62,51.62,1.20,6.71,38.93,-,61.47,0.05,0.81,1.13,0.33,2.69,1.52,2.38,0.15%,-0.55%,-0.65%,0.25%,1.60%,-14.26%,-14.26%
104432,-40.82%,101731,64.77,79.12,20.28,4.42,1.91,16.18,33.53,29.29,0.77,4.31,21.64,-,32.66,0.05,1.92,0.92,0.33,3.08,1.57,2.36,0.48%,-0.24%,-0.28%,1.26%,2.98%,-32.41%,-32.41%
109709,-14.51%,106916,67.96,48.27,15.35,4.81,2.01,23.64,32.19,28.72,0.50,4.68,18.89,-,31.37,0.05,0.65,0.85,0.39,3.72,1.48,2.16,3.24%,1.96%,2.27%,2.07%,3.11%,-32.11%,-32.11%
141114,35.65%,136739,87.08,45.08,19.95,6.54,2.56,32.73,42.38,38.10,0.54,6.34,24.37,37.91,41.06,0.06,0.47,0.96,0.59,4.91,1.82,2.44,10.01%,5.99%,7.24%,2.22%,2.36%,-32.47%,-32.47%
194747,107.61%,191871,119.67,57.40,29.72,10.32,3.52,39.73,58.80,53.83,0.99,10.16,39.70,49.05,57.93,0.04,0.34,0.65,1.64,5.26,1.83,2.40,53.25%,24.90%,36.70%,1.74%,1.70%,-14.54%,-14.54%
176480,59.64%,173574,146.14,55.81,46.63,10.74,23.54,25.63,54.81,50.12,1.47,10.56,43.07,47.91,53.91,0.09,0.13,0.21,1.58,4.98,1.49,2.02,52.00%,21.88%,30.72%,1.79%,1.82%,0.33%,0.33%
128332,40.04%,125196,105.80,32.33,39.45,8.64,17.98,19.32,43.30,39.45,1.31,8.43,36.84,41.47,42.24,0.10,0.16,0.24,1.49,4.86,1.64,2.24,41.94%,20.04%,28.17%,3.09%,2.31%,-1.23%,-1.23%
