0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Market Capitalization,Market Cap Growth,Enterprise Value,Last Close Price,PE Ratio,PS Ratio,PB Ratio,P/TBV Ratio,P/FCF Ratio,P/OCF Ratio,EV/Sales Ratio,EV/EBITDA Ratio,EV/EBIT Ratio,EV/FCF Ratio,Debt / Equity Ratio,Debt / EBITDA Ratio,Debt / FCF Ratio,Asset Turnover,Inventory Turnover,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Return on Capital Employed (ROCE),Earnings Yield,FCF Yield,Dividend Yield,Payout Ratio,Buyback Yield / Dilution,Total Shareholder Return
2149089,32.36%,2081569,177.37,21.72,6.14,6.61,7.92,29.54,17.15,5.95,16.07,18.23,28.61,0.09,0.21,0.39,0.88,-,1.66,1.84,33.21%,18.61%,23.52%,31.62%,4.66%,3.39%,0.46%,9.95%,2.16%,2.61%
2323530,32.36%,2259589,190.44,23.21,6.64,7.15,7.92,31.93,18.54,6.46,17.35,19.67,31.05,0.09,0.18,0.39,0.84,-,1.66,1.84,34.22%,16.88%,21.19%,31.82%,4.31%,3.13%,0.42%,9.20%,2.02%,2.44%
2049097,23.76%,1977091,167.00,21.74,6.03,6.52,7.26,36.71,19.50,5.82,16.44,18.68,35.42,0.09,0.22,0.52,0.82,-,1.76,1.95,31.83%,16.68%,21.07%,30.28%,4.60%,2.72%,0.24%,9.33%,2.18%,2.42%
2258142,47.85%,2178428,182.97,25.76,6.88,7.51,8.32,37.15,21.49,6.64,19.41,22.08,35.84,0.10,0.22,0.47,0.80,-,1.90,2.08,32.85%,16.17%,20.64%,29.29%,3.88%,2.69%,0.11%,10.44%,2.11%,2.22%
1884055,41.65%,1803006,151.71,22.86,5.92,6.43,7.15,27.26,17.59,5.67,17.04,19.37,26.09,0.10,0.23,0.41,0.86,-,1.98,2.15,29.73%,14.83%,19.21%,28.17%,4.37%,3.67%,-,-,2.31%,2.31%
1755459,53.31%,1665970,140.43,23.79,5.71,6.19,6.91,25.26,17.25,5.42,17.31,19.76,23.97,0.11,0.26,0.43,0.79,-,1.94,2.10,29.15%,13.69%,17.78%,26.29%,4.20%,3.96%,-,-,2.66%,2.66%
1655757,32.38%,1566857,131.38,24.81,5.57,6.06,6.84,21.33,15.56,5.27,17.58,19.90,20.19,0.11,0.30,0.39,0.79,51.24,1.87,2.04,27.83%,14.51%,18.60%,25.37%,4.03%,4.69%,-,-,3.06%,3.06%
1527291,6.24%,1441682,120.54,25.06,5.28,5.72,6.47,21.48,15.41,4.98,16.80,19.34,20.28,0.11,0.29,0.41,0.76,56.17,2.02,2.17,23.29%,11.85%,15.10%,24.42%,3.99%,4.65%,-,-,3.59%,3.59%
1330081,-27.79%,1246296,103.63,22.70,4.67,5.10,5.78,21.48,14.80,4.38,14.75,17.27,20.13,0.11,0.35,0.48,0.84,-,2.20,2.35,21.38%,12.55%,15.96%,24.00%,4.40%,4.65%,-,-,3.95%,3.95%
