0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Market Capitalization,Market Cap Growth,Enterprise Value,Last Close Price,PE Ratio,Forward PE,PS Ratio,PB Ratio,P/TBV Ratio,P/FCF Ratio,P/OCF Ratio,PEG Ratio,EV/Sales Ratio,EV/EBITDA Ratio,EV/EBIT Ratio,EV/FCF Ratio,Debt / Equity Ratio,Debt / EBITDA Ratio,Debt / FCF Ratio,Asset Turnover,Inventory Turnover,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Return on Capital Employed (ROCE),Earnings Yield,FCF Yield,Dividend Yield,Payout Ratio,Buyback Yield / Dilution,Total Shareholder Return
2105579,32.36%,2038059,172.73,21.47,19.22,6.08,6.49,7.92,28.94,16.80,1.16,5.82,15.74,17.85,28.01,0.09,0.21,0.39,0.88,-,1.66,1.84,33.21%,18.61%,23.52%,31.62%,4.75%,3.46%,0.46%,9.95%,2.16%,2.62%
2323530,32.36%,2259589,189.30,23.21,22.03,6.64,7.15,7.92,31.93,18.54,1.33,6.46,17.35,19.67,31.05,0.09,0.18,0.39,0.84,-,1.66,1.84,34.22%,16.88%,21.19%,31.82%,4.31%,3.13%,0.42%,9.20%,2.02%,2.44%
2049097,23.76%,1977091,165.66,21.74,20.65,6.03,6.52,7.26,36.71,19.50,1.24,5.82,16.44,18.68,35.42,0.09,0.22,0.52,0.82,-,1.76,1.95,31.83%,16.68%,21.07%,30.28%,4.60%,2.72%,0.24%,9.33%,2.18%,2.42%
2258142,47.85%,2178428,181.70,25.76,23.53,6.88,7.51,8.32,37.15,21.49,1.33,6.64,19.41,22.08,35.84,0.10,0.22,0.47,0.80,-,1.90,2.08,32.85%,16.17%,20.64%,29.29%,3.88%,2.69%,0.11%,10.44%,2.11%,2.22%
1884055,41.65%,1803006,150.38,22.86,22.22,5.92,6.43,7.15,27.26,17.59,1.35,5.67,17.04,19.37,26.09,0.10,0.23,0.41,0.86,-,1.98,2.15,29.73%,14.83%,19.21%,28.17%,4.37%,3.67%,-,-,2.31%,2.31%
1755459,53.31%,1665970,139.19,23.79,21.69,5.71,6.19,6.91,25.26,17.25,1.23,5.42,17.31,19.76,23.97,0.11,0.26,0.43,0.79,-,1.94,2.10,29.15%,13.69%,17.78%,26.29%,4.20%,3.96%,-,-,2.66%,2.66%
1655757,32.38%,1566857,130.39,24.81,21.13,5.57,6.06,6.84,21.33,15.56,1.22,5.27,17.58,19.90,20.19,0.11,0.30,0.39,0.79,51.24,1.87,2.04,27.83%,14.51%,18.60%,25.37%,4.03%,4.69%,-,-,3.06%,3.06%
1527291,6.24%,1441682,119.27,25.06,21.38,5.28,5.72,6.47,21.48,15.41,1.31,4.98,16.80,19.34,20.28,0.11,0.29,0.41,0.76,56.17,2.02,2.17,23.29%,11.85%,15.10%,24.42%,3.99%,4.65%,-,-,3.59%,3.59%
1330081,-27.79%,1246296,103.36,22.70,20.39,4.67,5.10,5.78,21.48,14.80,1.21,4.38,14.75,17.27,20.13,0.11,0.35,0.48,0.84,-,2.20,2.35,21.38%,12.55%,15.96%,24.00%,4.40%,4.65%,-,-,3.95%,3.95%
1145004,-40.42%,1058081,87.91,19.09,17.89,4.05,4.47,5.04,19.08,12.51,1.04,3.74,11.98,14.14,17.63,0.12,0.36,0.50,0.77,-,2.22,2.38,21.86%,12.01%,15.10%,25.29%,5.24%,5.24%,-,-,3.74%,3.74%
