Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,2yr_performance,Ticker,quoteType,longName
2025-11-12 00:00:00-05:00,25517.33,-0.06,-0.4,3.1,8.46,28.93,20.84,64.81,^NDX,INDEX,NASDAQ-100
2025-11-12 00:00:00-05:00,6850.92,0.06,0.8,2.95,7.49,22.19,14.27,55.3,^GSPC,INDEX,S&P 500
2025-11-12 00:00:00-05:00,48254.82,0.68,1.99,4.75,9.73,18.19,9.7,40.53,^DJI,INDEX,Dow Jones Industrial Average
2025-11-12 00:00:00+01:00,24381.46,1.22,1.38,-0.03,1.48,3.46,28.3,58.89,^GDAXI,INDEX,DAX P
2025-11-12 00:00:00+00:00,9911.42,0.12,1.37,4.96,8.56,16.17,23.43,33.47,^FTSE,INDEX,FTSE 100
2025-11-12 00:00:00-05:00,186.24,0.26,1.27,3.09,7.59,20.53,18.19,56.31,URTH,ETF,iShares MSCI World ETF
2025-11-12 00:00:00-05:00,683.38,0.06,0.86,3.07,7.76,23.0,15.63,59.26,SPY,ETF,SPDR S&P 500 ETF
2025-11-12 00:00:00-05:00,628.22,0.05,0.86,3.05,7.78,23.05,15.68,59.51,VOO,ETF,Vanguard S&P 500 ETF
2025-11-12 00:00:00-05:00,686.64,0.07,0.84,3.06,7.78,23.03,15.69,59.51,IVV,ETF,iShares Core S&P 500 ETF
2025-11-12 00:00:00-05:00,335.86,0.04,0.81,2.73,7.84,22.85,14.62,58.75,VTI,ETF,Vanguard Total Stock Market Index Fund ETF Shares
2025-11-12 00:00:00-05:00,89.88,0.58,2.43,3.54,6.72,14.34,25.91,48.44,IEFA,ETF,iShares Core MSCI EAFE ETF
2025-11-12 00:00:00-05:00,493.47,-0.29,-0.11,2.89,7.81,28.91,21.51,72.94,VUG,ETF,Vanguard Growth Index Fund ETF Shares
2025-11-12 00:00:00+01:00,5787.31,1.08,2.08,3.94,8.46,10.65,19.28,36.75,^STOXX50E,INDEX,EURO STOXX 50                 I
2025-11-12 00:00:00+01:00,8241.24,1.04,2.07,3.87,6.29,4.98,13.37,16.29,^FCHI,INDEX,CAC 40
2025-11-12 00:00:00-05:00,21807.33,0.42,2.09,1.99,6.46,13.69,9.38,41.58,^NYA,INDEX,NYSE Composite Index
2025-11-12 00:00:00+09:00,51063.31,0.43,1.69,5.11,25.93,41.66,30.01,56.71,^N225,INDEX,Nikkei 225
2025-11-12 00:00:00+08:00,26922.73,0.85,3.81,2.41,7.34,18.8,30.9,54.5,^HSI,INDEX,HANG SENG INDEX
2025-11-12 00:00:00-05:00,3447.48,0.03,0.68,3.67,9.01,27.16,18.97,64.83,^OEX,INDEX,^OEX
2025-11-12 00:00:00+01:00,1742.89,0.78,2.07,4.63,9.81,10.12,21.03,31.14,^N100,INDEX,Euronext 100 Index
2025-11-12 00:00:00-05:00,4201.4,2.3,5.55,2.26,25.3,24.25,61.59,115.95,GC=F,FUTURE,
2025-11-12 00:00:00-05:00,58.48,-4.19,-1.88,-1.7,-8.57,0.71,-14.15,-25.27,CL=F,FUTURE,
2025-11-12 00:00:00-05:00,45.46,4.77,16.27,-4.58,38.09,88.16,,112.23,SLVR,ETF,Sprott Silver Miners & Physical Silver ETF
2025-11-12 00:00:00-05:00,4415.24,0.24,1.34,3.02,7.35,18.95,17.21,52.01,^990100-USD-STRD,INDEX,MSCI WORLD
2025-11-12 00:00:00+01:00,988.96,0.06,1.41,4.72,7.98,15.24,22.46,33.43,^BUK100P,INDEX,Cboe UK 100
2025-11-12 00:00:00-05:00,53.23,5.16,11.21,6.18,41.34,63.63,73.47,138.7,SI=F,FUTURE,
2025-11-12 00:00:00+00:00,1.16,0.32,0.95,-0.07,-0.21,3.25,9.3,8.41,EURUSD=X,CURRENCY,EUR/USD
2025-11-12 00:00:00-05:00,5.09,0.75,2.49,-0.27,14.99,10.18,23.47,39.07,HG=F,FUTURE,
2025-11-12 00:00:00-05:00,4.53,-0.72,7.09,45.35,53.42,25.16,55.9,41.56,NG=F,FUTURE,
2025-11-12 00:00:00-05:00,62.71,-3.76,-1.28,-0.96,-5.88,2.6,-12.77,-24.01,BZ=F,FUTURE,
