Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,Ticker,quoteType,longName,sector,industry,website
2025-01-08 00:00:00-05:00,242.7,0.2,-3.08,-0.14,7.66,12.23,31.73,AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,https://www.apple.com
2025-01-08 00:00:00-05:00,140.11,-0.02,4.33,-3.41,14.06,12.74,163.76,NVDA,EQUITY,NVIDIA Corporation,Technology,Semiconductors,https://www.nvidia.com
2025-01-08 00:00:00-05:00,424.56,0.52,0.73,-4.08,2.13,-6.69,13.82,MSFT,EQUITY,Microsoft Corporation,Technology,Software - Infrastructure,https://www.microsoft.com
2025-01-08 00:00:00-05:00,193.95,-0.79,2.46,12.47,17.07,6.25,38.1,GOOGL,EQUITY,Alphabet Inc.,Communication Services,Internet Content & Information,https://abc.xyz
2025-01-08 00:00:00-05:00,222.13,0.01,1.25,0.72,22.08,12.64,46.75,AMZN,EQUITY,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,https://www.aboutamazon.com
2025-01-08 00:00:00-05:00,610.72,-1.16,4.31,0.37,4.88,21.22,71.52,META,EQUITY,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,https://investor.fb.com
2025-01-08 00:00:00-05:00,394.94,0.15,-2.2,6.89,64.11,88.19,68.09,TSLA,EQUITY,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,https://www.tesla.com
2025-01-08 00:00:00-05:00,229.31,0.29,-1.09,34.88,33.76,40.59,114.69,AVGO,EQUITY,Broadcom Inc.,Technology,Semiconductors,https://www.broadcom.com
2025-01-08 00:00:00-05:00,207.12,-2.03,4.88,1.7,15.77,21.01,106.15,TSM,EQUITY,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,https://www.tsmc.com
2025-01-08 00:00:00-05:00,91.8,1.09,1.6,-3.46,14.39,36.73,74.96,WMT,EQUITY,Walmart Inc.,Consumer Defensive,Discount Stores,https://corporate.walmart.com
2025-01-08 00:00:00-05:00,787.22,1.8,1.97,-4.65,-10.96,-13.64,26.68,LLY,EQUITY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,https://www.lilly.com
2025-01-08 00:00:00-05:00,243.13,-0.02,1.95,-0.45,19.81,20.34,45.72,JPM,EQUITY,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,https://www.jpmorganchase.com
2025-01-08 00:00:00-05:00,312.6,0.3,-1.09,1.14,13.12,19.22,19.62,V,EQUITY,Visa Inc.,Financial Services,Credit Services,https://www.visa.com
2025-01-08 00:00:00-05:00,524.52,2.0,3.69,-9.06,-11.17,6.82,-1.05,UNH,EQUITY,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,https://www.unitedhealthgroup.com
2025-01-08 00:00:00-05:00,516.4,0.98,-1.93,-1.59,4.47,18.34,,MA,EQUITY,Mastercard Incorporated,Financial Services,Credit Services,https://www.mastercard.com
2025-01-08 00:00:00-05:00,106.93,-1.67,-0.59,-6.84,-12.05,-5.47,10.95,XOM,EQUITY,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,https://corporate.exxonmobil.com
2025-01-08 00:00:00-05:00,163.14,0.69,-2.1,-12.4,-2.01,14.59,59.35,ORCL,EQUITY,Oracle Corporation,Technology,Software - Infrastructure,https://www.oracle.com
2025-01-08 00:00:00-05:00,927.37,0.65,1.21,-5.59,6.04,9.96,39.81,COST,EQUITY,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,https://www.costco.com
2025-01-08 00:00:00-05:00,85.64,2.76,-0.44,-21.3,-25.58,-40.89,-19.05,NVO,EQUITY,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,https://www.novonordisk.com
2025-01-08 00:00:00-05:00,387.2,0.77,-0.46,-9.22,-5.43,16.48,14.59,HD,EQUITY,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,https://www.homedepot.com
2025-01-08 00:00:00-05:00,162.1,0.5,-3.31,-7.91,-4.15,0.81,11.28,PG,EQUITY,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,https://www.pginvestor.com
2025-01-08 00:00:00-05:00,875.0,-0.48,-1.83,-4.67,23.8,29.9,81.5,NFLX,EQUITY,"Netflix, Inc.",Communication Services,Entertainment,https://www.netflix.com
