No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,APC,Apple Inc.,"3,559.65B",236.1,0.11%,350.25B
2,NVD,NVIDIA Corporation,"3,329.38B",135.2,-0.81%,104.66B
3,MSF,Microsoft Corporation,"3,062.80B",410.95,-0.40%,227.91B
4,ABEA,Alphabet Inc.,"2,311.36B",189.4,0.28%,304.72B
5,ABEC,Alphabet Inc.,"2,311.36B",190.9,0.33%,304.72B
6,AMZ,"Amazon.com, Inc.","2,266.33B",216.6,0.56%,556.01B
7,FB2A,"Meta Platforms, Inc.","1,495.97B",591.5,-0.25%,140.07B
8,TL0,"Tesla, Inc.","1,230.13B",380.2,-0.77%,87.10B
9,1YD,Broadcom Inc.,"1,042.93B",220.5,-1.32%,47.54B
10,BRYN,Berkshire Hathaway Inc.,945.50B,438.5,0.23%,331.65B
11,WMT,Walmart Inc.,715.56B,89.2,0.67%,620.59B
12,LLY,Eli Lilly and Company,687.79B,767.1,0.42%,36.64B
13,CMC,JPMorgan Chase & Co.,664.16B,237.35,0.89%,145.38B
14,3V64,Visa Inc.,594.81B,303.95,-0.03%,32.21B
15,UNH,UnitedHealth Group Incorporated,468.37B,507.7,0.55%,353.17B
16,M4I,Mastercard Incorporated,459.89B,503.9,0.48%,24.41B
17,XONA,Exxon Mobil Corporation,456.01B,104.02,0.06%,308.27B
18,ORC,Oracle Corporation,442.74B,157.62,-0.25%,52.07B
19,CTO,Costco Wholesale Corporation,399.43B,918.0,2.05%,248.97B
20,HDI,"The Home Depot, Inc.",373.21B,375.3,0.12%,142.85B
21,PRG,The Procter & Gamble Company,370.41B,157.0,0.08%,75.23B
22,NOV,Novo Nordisk A/S,368.66B,84.86,2.09%,36.28B
23,NFC,"Netflix, Inc.",362.92B,840.0,-1.58%,33.70B
24,NCB,Bank of America Corporation,344.03B,44.62,-0.46%,84.84B
25,JNJ,Johnson & Johnson,332.36B,138.3,-0.14%,78.55B
26,MOH,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",323.83B,647.9,1.98%,85.59B
27,4AB,AbbVie Inc.,306.07B,172.66,-0.25%,49.79B
28,FOO,"Salesforce, Inc.",303.55B,317.6,0.55%,34.25B
29,ASME,ASML Holding N.V.,288.44B,733.7,1.26%,26.24B
30,SAP,SAP SE,285.20B,245.15,0.16%,33.27B
31,CHV,Chevron Corporation,262.08B,146.36,0.30%,171.87B
32,CCC3,The Coca-Cola Company,257.94B,60.0,0.72%,41.53B
33,HMI,Hermès International Société en commandite par actions,248.21B,2382.0,0.34%,14.23B
34,6MK,"Merck & Co., Inc.",245.08B,97.2,0.31%,56.64B
35,TM5,"T-Mobile US, Inc.",242.68B,210.25,1.01%,71.73B
36,NWT,Wells Fargo & Company,231.21B,68.72,-1.28%,69.82B
37,CIS,"Cisco Systems, Inc.",228.78B,56.95,0.11%,48.95B
38,AEC1,American Express Company,207.00B,292.9,-0.15%,53.11B
39,ZEG,AstraZeneca PLC,203.49B,129.3,0.19%,45.91B
40,TN8,Thermo Fisher Scientific Inc.,202.25B,530.3,1.11%,37.95B
41,IBM,International Business Machines Corporation,200.23B,218.35,1.28%,56.11B
42,DWD,Morgan Stanley,199.87B,123.98,0.88%,52.26B
43,MDO,McDonald's Corporation,199.49B,277.45,-0.63%,23.26B
44,PEP,"PepsiCo, Inc.",197.35B,142.04,0.42%,82.78B
45,LIN,Linde plc,194.05B,407.2,-,29.61B
46,WDP,The Walt Disney Company,192.87B,106.28,0.32%,81.83B
47,ABL,Abbott Laboratories,192.28B,110.88,0.58%,36.96B
48,AMD,"Advanced Micro Devices, Inc.",191.85B,117.76,-1.04%,21.76B
49,GOS,"The Goldman Sachs Group, Inc.",185.28B,564.8,1.07%,44.28B
50,AHLA,Alibaba Group Holding Limited,183.85B,80.9,-,122.96B
51,4I1,Philip Morris International Inc.,183.84B,118.52,1.25%,33.37B
52,ADB,Adobe Inc.,179.21B,407.65,-0.21%,20.38B
53,LOR,L'Oréal S.A.,177.55B,331.5,-1.43%,42.73B
54,QCI,QUALCOMM Incorporated,171.49B,154.44,0.03%,34.90B
55,ITU,Intuit Inc.,170.04B,596.3,0.03%,15.28B
56,TII,Texas Instruments Incorporated,169.64B,185.3,-0.69%,14.09B
57,CAT1,Caterpillar Inc.,169.15B,354.0,1.58%,58.87B
58,HBC1,HSBC Holdings plc,169.10B,9.59,0.35%,51.98B
59,DAP,Danaher Corporation,166.86B,231.8,0.39%,21.27B
60,BAC,Verizon Communications Inc.,159.05B,38.2,1.84%,120.36B
61,IXD1,"Industria de Diseño Textil, S.A.",157.86B,50.32,-0.59%,37.76B
62,PCE1,Booking Holdings Inc.,156.47B,4701.0,0.90%,20.67B
63,SOBA,AT&T Inc.,154.42B,21.45,0.12%,109.44B
64,SIE,Siemens Aktiengesellschaft,153.44B,196.6,0.49%,75.93B
65,5UR,RTX Corporation,149.71B,113.36,1.38%,70.87B
66,PFE,Pfizer Inc.,147.69B,26.07,0.12%,53.18B
67,SND,Schneider Electric S.E.,143.42B,253.0,0.60%,36.44B
68,DTE,Deutsche Telekom AG,142.55B,29.22,0.45%,116.87B
69,AP2,"Applied Materials, Inc.",139.74B,172.6,-0.21%,25.11B
70,ALD,Honeywell International Inc.,138.91B,214.65,0.14%,33.94B
71,CTP2,Comcast Corporation,138.01B,35.76,0.65%,110.34B
72,AMG,Amgen Inc.,137.80B,256.15,0.59%,29.17B
73,UNP,Union Pacific Corporation,136.37B,223.75,0.13%,21.78B
74,UNVB,Unilever PLC,135.48B,54.72,0.44%,60.29B
75,TRVC,Citigroup Inc.,134.44B,70.99,0.11%,62.14B
76,UT8,"Uber Technologies, Inc.",132.62B,63.27,0.51%,37.62B
77,YCP,ConocoPhillips,127.55B,98.47,0.65%,51.04B
78,AIR,Airbus SE,125.18B,156.56,-1.32%,67.40B
79,BCO,The Boeing Company,124.69B,166.44,-0.94%,65.71B
80,TOTB,TotalEnergies SE,124.32B,55.3,0.36%,182.24B
81,SNW,Sanofi,120.16B,96.66,0.97%,48.45B
82,ALV,Allianz SE,116.40B,300.5,-0.36%,97.41B
83,BRM,Bristol-Myers Squibb Company,111.80B,54.94,-0.42%,42.53B
84,DCO,Deere & Company,108.04B,398.3,-0.08%,47.62B
85,LOM,Lockheed Martin Corporation,107.83B,460.6,1.57%,63.86B
86,GIS,"Gilead Sciences, Inc.",107.79B,86.21,-1.49%,25.37B
87,MTE,"Micron Technology, Inc.",107.47B,96.27,-0.78%,27.58B
88,3CP,Xiaomi Corporation,105.01B,4.28,5.87%,42.20B
89,VX1,Vertex Pharmaceuticals Incorporated,102.98B,401.1,1.01%,9.53B
90,2M6,Medtronic plc,102.87B,80.92,1.16%,30.49B
91,NKE,"NIKE, Inc.",102.32B,69.27,0.03%,46.42B
92,SRB,Starbucks Corporation,101.87B,88.9,-1.27%,32.40B
93,RIO1,Rio Tinto Group,97.86B,57.79,1.65%,50.56B
94,LAR0,Lam Research Corporation,96.18B,74.32,-0.67%,13.97B
95,639,Spotify Technology S.A.,94.06B,463.95,1.06%,15.10B
96,1NBA,Anheuser-Busch InBev SA/NV,93.47B,47.72,0.65%,53.26B
97,AIL,L'Air Liquide S.A.,90.81B,158.26,0.37%,27.01B
98,KLA,KLA Corporation,89.06B,659.4,-1.38%,9.20B
99,2PP,"PayPal Holdings, Inc.",85.54B,84.69,-0.53%,28.20B
100,MLB1,"MercadoLibre, Inc.",85.54B,1688.6,-0.67%,16.58B
101,IBE1,"Iberdrola, S.A.",84.89B,13.68,0.33%,45.26B
102,PHM7,"Altria Group, Inc.",84.67B,49.8,-0.05%,18.26B
103,RDEB,RELX PLC,84.32B,45.18,1.57%,10.97B
104,INL,Intel Corporation,83.20B,19.2,-0.57%,48.59B
105,1TY,Prosus N.V.,81.16B,34.63,-0.20%,5.27B
106,12DA,Dell Technologies Inc.,81.09B,119.8,2.90%,86.61B
107,UWS,"Waste Management, Inc.",80.45B,201.2,0.55%,19.18B
108,BPE5,BP p.l.c.,78.79B,5.07,0.64%,173.88B
109,BMT,British American Tobacco p.l.c.,78.40B,35.64,0.20%,30.88B
110,KTF,"Mondelez International, Inc.",75.63B,57.04,1.03%,32.41B
111,2FE,Ferrari N.V.,75.37B,419.9,1.23%,6.46B
112,SYP,"Synopsys, Inc.",75.29B,487.6,0.98%,5.64B
113,UB5,U.S. Bancorp,73.44B,46.92,-1.12%,22.32B
114,AXA,AXA SA,72.68B,34.4,-1.32%,90.56B
115,ZOE,Zoetis Inc.,72.24B,159.7,-,8.21B
116,MMM,3M Company,71.08B,130.34,2.60%,29.26B
117,ENL,Enel SpA,70.95B,7.01,0.34%,82.33B
118,IES,Intesa Sanpaolo S.p.A.,70.56B,3.99,0.53%,24.56B
119,GDX,General Dynamics Corporation,69.65B,253.45,-0.22%,41.24B
120,CPA,Colgate-Palmolive Company,69.33B,85.22,0.39%,18.03B
121,BSD2,"Banco Santander, S.A.",69.15B,4.54,-0.31%,47.79B
122,BNP,BNP Paribas SA,67.84B,59.96,-0.27%,44.68B
123,GUI,Diageo plc,67.26B,30.5,0.54%,18.92B
124,MUV2,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,66.45B,494.2,-1.94%,61.99B
125,NTH,Northrop Grumman Corporation,65.34B,460.0,2.36%,36.75B
126,FDX,FedEx Corporation,64.24B,264.9,-1.03%,82.83B
127,1QZ,"Coinbase Global, Inc.",63.16B,250.25,-0.66%,4.48B
128,CRIN,UniCredit S.p.A.,62.52B,40.56,-0.05%,24.00B
129,MRK,Merck KGaA,61.74B,142.0,-0.70%,20.96B
130,DYH,Target Corporation,61.45B,134.76,0.76%,99.16B
131,4PN,Carrier Global Corporation,59.59B,65.67,-6.04%,22.24B
132,BOY,"Banco Bilbao Vizcaya Argentaria, S.A.",57.60B,9.95,0.55%,29.84B
133,SHL,Siemens Healthineers AG,57.15B,51.06,-1.05%,22.36B
134,SQU,Vinci SA,56.62B,99.5,-0.38%,71.40B
135,CVS,CVS Health Corporation,56.18B,45.1,1.58%,329.27B
136,FPMB,Freeport-McMoRan Inc.,55.41B,37.58,-1.13%,22.99B
137,NNGF,National Grid plc,54.55B,11.3,-,23.22B
138,P911,Dr. Ing. h.c. F. Porsche AG,54.55B,59.56,-0.53%,38.96B
139,8GM,General Motors Company,54.41B,49.33,-3.14%,163.83B
140,XGR2,Compass Group PLC,54.16B,32.41,1.69%,37.66B
141,MBG,Mercedes-Benz Group AG,50.71B,53.06,-0.47%,147.95B
142,BMW,Bayerische Motoren Werke Aktiengesellschaft,47.91B,75.52,-1.62%,148.93B
143,BMW3,Bayerische Motoren Werke Aktiengesellschaft,47.91B,71.15,-1.18%,148.93B
144,INN1,ING Groep N.V.,47.11B,15.08,0.11%,17.21B
145,1N8,Adyen N.V.,46.90B,1472.8,-0.28%,1.81B
146,OPC,Occidental Petroleum Corporation,46.61B,49.78,0.50%,24.33B
147,R66,Phillips 66,46.58B,113.04,1.11%,132.46B
148,BCY,Barclays PLC,45.68B,3.16,-0.91%,28.36B
149,VOW,Volkswagen AG,45.51B,91.55,0.33%,324.46B
150,VOW3,Volkswagen AG,45.35B,89.7,0.43%,324.46B
151,ADS,adidas AG,43.92B,246.0,0.53%,22.53B
152,ASG,Assicurazioni Generali S.p.A.,43.64B,28.39,0.60%,59.82B
153,AINN,"American International Group, Inc.",43.23B,67.95,-3.37%,40.62B
154,ENI,Eni S.p.A.,42.92B,13.73,0.45%,92.19B
155,NMM,Newmont Corporation,42.90B,38.46,1.56%,15.23B
156,GOB,Compagnie de Saint-Gobain S.A.,42.54B,84.92,-0.61%,46.45B
157,IFX,Infineon Technologies AG,42.49B,32.28,-1.30%,14.96B
158,BSP,BAE Systems plc,42.27B,14.18,-0.67%,28.97B
159,68V,Baker Hughes Company,41.71B,42.0,0.38%,24.48B
160,BSN,Danone S.A.,41.68B,65.6,1.30%,27.21B
161,DB1,Deutsche Börse AG,41.43B,228.2,1.02%,6.89B
162,KMY,Kimberly-Clark Corporation,41.02B,123.92,0.78%,18.02B
163,ENR,Siemens Energy AG,41.01B,51.9,2.77%,34.47B
164,3RB,Reckitt Benckiser Group plc,40.36B,58.5,-0.34%,16.90B
165,DHL,Deutsche Post AG,39.87B,34.0,-1.71%,83.23B
166,GLW,Corning Incorporated,39.65B,45.84,-1.46%,11.31B
167,LLD,Lloyds Banking Group plc,39.07B,0.64,-1.54%,22.30B
168,GZF,Engie SA,37.69B,15.8,0.54%,73.06B
169,FMC1,Ford Motor Company,37.56B,9.61,2.29%,163.85B
170,BAS,BASF SE,37.41B,41.91,-0.12%,65.27B
171,ERT,Electronic Arts Inc.,36.70B,140.6,-,6.64B
172,KHNZ,The Kraft Heinz Company,34.80B,28.95,0.35%,23.40B
173,TGR,"Yum! Brands, Inc.",34.59B,123.55,-1.51%,6.48B
174,NGLB,Anglo American plc,34.31B,29.2,2.93%,27.48B
175,VEE,Veeva Systems Inc.,34.23B,208.1,0.48%,2.45B
176,690D,"Haier Smart Home Co., Ltd.",34.07B,1.82,-,33.97B
177,8TI,Stellantis N.V.,34.05B,12.42,-0.03%,176.19B
178,HEN,Henkel AG & Co. KGaA,32.83B,74.7,0.20%,21.40B
179,HEN3,Henkel AG & Co. KGaA,32.83B,84.5,0.38%,21.40B
180,DBK,Deutsche Bank Aktiengesellschaft,32.70B,17.14,1.87%,27.63B
181,GRM,"General Mills, Inc.",32.67B,59.35,1.14%,19.15B
182,EBA,eBay Inc.,32.26B,67.51,-0.74%,9.20B
183,HSY,The Hershey Company,31.85B,157.26,-1.33%,9.83B
184,DTG,Daimler Truck Holding AG,30.81B,39.33,0.03%,54.68B
185,HNR1,Hannover Rück SE,30.72B,254.9,-0.08%,27.36B
186,7HP,HP Inc.,30.44B,32.4,-1.17%,49.33B
187,POH1,Carnival Corporation & plc,30.30B,21.08,1.25%,23.71B
188,6D81,"DuPont de Nemours, Inc.",30.19B,72.01,-1.26%,10.93B
189,AHOG,Koninklijke Ahold Delhaize N.V.,29.81B,31.7,-1.95%,89.05B
190,TCO0,Tesco PLC,29.72B,4.42,-,81.69B
191,EOAN,E.ON SE,28.87B,11.06,-1.65%,82.14B
192,BEI,Beiersdorf Aktiengesellschaft,28.48B,128.1,0.87%,9.69B
193,RHM,Rheinmetall AG,28.19B,649.2,0.06%,8.83B
194,2HP,Hewlett Packard Enterprise Company,28.12B,21.68,2.92%,27.75B
195,PPX,Kering SA,27.79B,228.75,1.02%,18.45B
196,XY6,Xylem Inc.,27.32B,112.05,0.13%,7.55B
197,KEL,Kellanova,27.27B,79.04,0.82%,11.46B
198,ERCB,Telefonaktiebolaget LM Ericsson (publ),27.15B,8.17,2.05%,21.82B
199,ERCG,Telefonaktiebolaget LM Ericsson (publ),27.15B,7.66,-3.28%,21.82B
200,PER,Pernod Ricard SA,27.14B,109.05,0.79%,11.60B
201,ABR,Barrick Gold Corporation,26.90B,15.46,0.85%,11.06B
202,2OY,Dow Inc.,26.53B,37.66,-1.66%,38.72B
203,ITB,Imperial Brands PLC,26.05B,31.54,0.06%,22.21B
204,FTE,Orange S.A.,25.64B,9.62,0.99%,44.61B
205,SII,Wheaton Precious Metals Corp.,25.45B,56.18,2.00%,1.09B
206,HLAG,Hapag-Lloyd Aktiengesellschaft,25.20B,143.4,-8.60%,17.85B
207,OEWA,VERBUND AG,24.46B,71.0,1.28%,6.52B
208,DP4B,A.P. Møller - Mærsk A/S,24.27B,1477.0,-5.98%,47.19B
209,NOA3,Nokia Oyj,24.10B,4.44,-0.54%,19.77B
210,EBO,Erste Group Bank AG,23.99B,58.56,0.62%,10.68B
211,CBHD,Coloplast A/S,23.93B,106.25,-,3.62B
212,AWC,"American Water Works Company, Inc.",23.19B,118.35,0.47%,4.05B
213,ADM,Archer-Daniels-Midland Company,23.14B,48.6,1.72%,78.01B
214,VNA,Vonovia SE,23.11B,28.09,-1.95%,6.22B
215,HAL,Halliburton Company,23.04B,26.4,-0.64%,20.69B
216,PHI1,Koninklijke Philips N.V.,23.01B,24.95,1.42%,18.04B
217,DP4A,A.P. Møller - Mærsk A/S,22.91B,1430.0,-5.92%,47.19B
218,E3X1,"Expedia Group, Inc.",22.74B,177.3,0.58%,12.01B
219,HEI,Heidelberg Materials AG,22.33B,127.8,2.16%,20.79B
220,TNE5,"Telefónica, S.A.",22.09B,3.92,0.18%,40.57B
221,SGM,STMicroelectronics N.V.,21.98B,24.38,-1.22%,12.74B
222,SGE,Société Générale Société anonyme,21.95B,27.13,-1.70%,24.57B
223,TLX,Talanx AG,21.95B,85.1,0.29%,48.66B
224,RWE,RWE Aktiengesellschaft,21.63B,28.54,-2.49%,23.60B
225,ILU,"Illumina, Inc.",21.50B,133.86,-0.33%,3.93B
226,IDP,Biogen Inc.,21.31B,146.0,-1.12%,8.61B
227,RY4C,Ryanair Holdings plc,20.59B,18.9,0.35%,13.56B
228,HMSB,H & M Hennes & Mauritz AB (publ),20.46B,12.64,-0.67%,20.70B
229,VODI,Vodafone Group Public Limited Company,20.28B,0.81,0.95%,37.01B
