language  code 
ab        Abkhazian
aa        Afar
af        Afrikaans
ak        Akan
sq        Albanian
am        Amharic
ar        Arabic
hy        Armenian
as        Assamese
ay        Aymara
az        Azerbaijani
bn        Bangla
ba        Bashkir
eu        Basque
be        Belarusian
bho       Bhojpuri
bs        Bosnian
br        Breton
bg        Bulgarian
my        Burmese
ca        Catalan
ceb        Cebuano
zh-Hans     Chinese
zh-Hant        Chinese
co        Corsican
hr        Croatian
cs        Czech
da        Danish
dv        Divehi
nl        Dutch
dz        Dzongkha
en        English
eo        Esperanto
et        Estonian
ee        Ewe
fo        Faroese
fj        Fijian
fil        Filipino
fi        Finnish
fr        French
gaa        Ga
gl        Galician
lg        Ganda
ka        Georgian
de        German
el        Greek
gn        Guarani
gu        Gujarati
ht        Haitian Creole
ha        Hausa
haw        Hawaiian
iw        Hebrew
hi        Hindi
hmn        Hmong
hu        Hungarian
is        Icelandic
ig        Igbo
id        Indonesian
iu        Inuktitut
ga        Irish
it        Italian
ja        Japanese
jv        Javanese
kl        Kalaallisut
kn        Kannada
kk        Kazakh
kha        Khasi
km        Khmer
rw        Kinyarwanda
ko        Korean
kri        Krio
ku        Kurdish
ky        Kyrgyz
lo        Lao
la        Latin
lv        Latvian
ln        Lingala
lt        Lithuanian
lua        Luba-Lulua
luo        Luo
lb        Luxembourgish
mk        Macedonian
mg        Malagasy
ms        Malay
ml        Malayalam
mt        Maltese
gv        Manx
mi        Māori
mr        Marathi
mn        Mongolian
mfe        Morisyen
ne        Nepali
new        Newari
nso        Northern Sotho
no        Norwegian
ny        Nyanja
oc        Occitan
or        Odia
om        Oromo
os        Ossetic
pam        Pampanga
ps        Pashto
fa        Persian
pl        Polish
pt        Portuguese
pt-PT        Portuguese
pa        Punjabi
qu        Quechua
ro        Romanian
rn        Rundi
ru        Russian
sm        Samoan
sg        Sango
sa        Sanskrit
gd        Scottish
sr        Serbian
crs        Seselwa
sn        Shona
sd        Sindhi
si        Sinhala
sk        Slovak
sl        Slovenian
so        Somali
st        Southern
es        Spanish
su        Sundanese
sw        Swahili
ss        Swati
sv        Swedish
tg        Tajik
ta        Tamil
tt        Tatar
te        Telugu
th        Thai
bo        Tibetan
ti        Tigrinya
to        Tongan
ts        Tsonga
tn        Tswana
tum        Tumbuka
tr        Turkish
tk        Turkmen
uk        Ukrainian
ur        Urdu
ug        Uyghur
uz        Uzbek
ve        Venda
vi        Vietnamese
war        Waray
cy        Welsh
fy        Western
wo        Wolof
xh        Xhosa
yi        Yiddish
yo        Yoruba
zu        Zulu
