No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,AAPL,Apple Inc.,"3,470.40B",231.02,-0.62%,395.76B
2,NVDA,NVIDIA Corporation,"3,119.05B",127.36,2.03%,113.27B
3,MSFT,Microsoft Corporation,"3,093.28B",416.1,0.68%,261.80B
4,AMZN,"Amazon.com, Inc.","2,488.19B",236.63,0.20%,620.13B
5,GOOGL,Alphabet Inc.,"2,327.42B",190.6,-0.38%,350.02B
6,META,"Meta Platforms, Inc.","1,803.99B",712.01,1.01%,164.50B
7,TSLA,"Tesla, Inc.","1,188.02B",369.35,-2.33%,97.69B
8,AVGO,Broadcom Inc.,"1,078.05B",229.99,-0.87%,51.57B
9,BRK.B,Berkshire Hathaway Inc.,"1,021.14B",476.68,0.62%,369.89B
10,TSM,Taiwan Semiconductor Manufacturing Company Limited,880.45B,208.62,0.02%,88.29B
11,WMT,Walmart Inc.,820.49B,102.14,-0.32%,673.82B
12,LLY,Eli Lilly and Company,792.64B,880.29,4.53%,40.86B
13,JPM,JPMorgan Chase & Co.,766.88B,274.12,1.36%,166.88B
14,V,Visa Inc.,678.92B,347.53,-0.55%,36.80B
15,MA,Mastercard Incorporated,517.60B,566.26,-0.01%,28.17B
16,ORCL,Oracle Corporation,486.11B,173.8,1.25%,54.93B
17,UNH,UnitedHealth Group Incorporated,484.17B,526.11,-2.54%,400.28B
18,XOM,Exxon Mobil Corporation,471.63B,108.35,-1.40%,343.39B
19,COST,Costco Wholesale Corporation,465.14B,1047.86,0.48%,258.81B
20,NFLX,"Netflix, Inc.",431.35B,1008.39,-0.27%,39.00B
21,HD,"The Home Depot, Inc.",412.30B,415.06,0.30%,154.60B
22,PG,The Procter & Gamble Company,394.49B,168.24,-0.46%,84.35B
23,NVO,Novo Nordisk A/S,384.08B,87.81,2.42%,40.31B
24,JNJ,Johnson & Johnson,370.67B,153.96,-0.48%,88.82B
25,BAC,Bank of America Corporation,365.06B,47.97,1.81%,96.07B
26,ABBV,AbbVie Inc.,341.23B,193.1,0.70%,56.33B
27,SAP,SAP SE,328.20B,283.6,0.14%,35.38B
28,CRM,"Salesforce, Inc.",319.28B,333.63,-4.11%,37.19B
29,ASML,ASML Holding N.V.,289.70B,739.59,-0.40%,29.26B
30,TMUS,"T-Mobile US, Inc.",280.89B,246.02,1.48%,81.40B
31,CVX,Chevron Corporation,272.10B,151.41,-1.03%,198.20B
32,KO,The Coca-Cola Company,271.09B,62.93,-0.30%,46.37B
33,WFC,Wells Fargo & Company,267.13B,81.22,1.46%,77.96B
34,TM,Toyota Motor Corporation,249.46B,191.17,-2.14%,297.33B
35,CSCO,"Cisco Systems, Inc.",248.17B,62.31,-0.42%,52.98B
36,PLTR,Palantir Technologies Inc.,246.66B,108.28,6.83%,2.87B
37,ACN,Accenture plc,245.18B,391.99,-1.57%,66.36B
38,IBM,International Business Machines Corporation,236.75B,256.05,-2.76%,62.75B
39,BABA,Alibaba Group Holding Limited,227.07B,100.46,1.19%,137.14B
40,MS,Morgan Stanley,226.39B,140.88,1.40%,61.50B
41,ABT,Abbott Laboratories,225.10B,129.78,-1.73%,41.95B
42,AXP,American Express Company,224.89B,320.35,-0.06%,60.76B
43,MRK,"Merck & Co., Inc.",223.67B,88.42,-1.39%,64.17B
44,PM,Philip Morris International Inc.,223.24B,143.58,9.62%,37.88B
45,GS,"The Goldman Sachs Group, Inc.",221.75B,655.66,1.58%,52.16B
46,TMO,Thermo Fisher Scientific Inc.,221.11B,578.06,-0.74%,42.88B
47,GE,General Electric Company,220.84B,205.76,0.58%,38.70B
48,LIN,Linde plc,216.70B,455.1,0.31%,33.03B
49,NVS,Novartis AG,216.13B,107.63,-1.98%,51.72B
50,AZN,AstraZeneca PLC,215.97B,73.6,3.76%,54.07B
51,BX,Blackstone Inc.,215.44B,176.42,0.90%,12.66B
52,NOW,"ServiceNow, Inc.",211.70B,1027.68,0.06%,10.98B
53,MCD,McDonald's Corporation,210.70B,294.02,1.80%,25.94B
54,ISRG,"Intuitive Surgical, Inc.",210.25B,589.5,-0.24%,8.35B
55,SHEL,Shell plc,202.48B,66.16,-0.56%,284.31B
56,DIS,The Walt Disney Company,201.01B,111.19,0.59%,92.50B
