,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,11,159.43,156.4,160.0,156.08,2.68,8.15,157.41,150.9,145.6,135.19,161.9,156.7,162.12,156.63,3.16,156.95,156.1,157.88,155.53,2.19
1,2021,12,169.99,169.6,172.02,167.73,0.34,12.76,168.51,161.92,152.13,137.92,176.62,177.4,178.39,174.86,3.54,158.51,155.48,160.83,154.56,-3.93
2,2022,1,166.37,166.7,168.9,164.2,-0.06,-1.73,167.3,170.7,163.41,143.25,178.27,178.88,179.18,175.44,6.98,155.95,155.71,158.97,151.52,-2.66
3,2022,2,166.52,166.33,168.24,164.31,-0.28,-0.5,166.99,166.07,168.25,147.01,172.88,172.65,173.24,171.52,2.32,156.98,149.64,159.71,149.07,-2.59
4,2022,3,162.12,161.63,163.94,159.79,0.26,-2.15,161.06,161.39,164.71,150.92,175.51,175.1,176.14,173.29,3.5,147.71,147.99,151.15,147.2,-2.72
5,2022,4,163.6,164.25,166.25,161.9,-0.49,1.81,165.31,166.35,164.1,154.97,175.0,174.07,175.05,171.07,4.52,153.55,152.9,156.71,152.38,-3.73
6,2022,5,145.73,145.63,148.21,142.73,-0.22,-11.62,146.83,154.02,160.14,156.31,162.82,160.69,163.27,156.19,4.1,134.9,134.94,138.19,130.24,-5.64
7,2022,6,137.3,137.45,139.39,135.64,-0.38,-5.92,138.16,140.52,150.64,155.85,148.51,147.22,149.03,145.04,3.28,127.74,127.75,130.03,126.74,-3.97
8,2022,7,147.0,145.79,148.07,144.51,0.88,6.93,144.97,139.78,141.59,155.33,159.61,158.36,160.71,156.65,3.42,136.45,133.61,136.56,133.24,-2.06
9,2022,8,164.09,164.16,165.77,162.76,-0.13,12.26,164.03,158.52,147.43,157.01,171.67,170.88,173.24,170.26,3.82,154.63,157.24,157.93,154.55,-3.77
10,2022,9,150.48,150.76,152.75,148.4,-0.59,-8.66,151.98,157.58,156.33,157.74,160.73,157.26,161.55,156.67,3.85,135.92,138.95,140.74,135.72,-5.87
11,2022,10,142.62,141.73,144.38,140.13,0.53,-5.66,141.8,144.17,153.26,155.18,153.17,150.63,154.9,149.41,7.56,136.06,132.76,138.04,132.15,-3.67
