,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,12,169.24,169.5,171.56,166.7,-0.27,-4.76,168.22,170.66,178.04,163.34,171.68,171.32,172.73,168.78,1.19,166.49,167.06,170.48,165.02,-1.36
1,2022,1,157.71,157.7,161.81,153.09,-0.33,-7.22,159.84,165.05,174.83,161.8,172.68,174.15,175.9,167.2,7.84,138.41,138.54,143.11,134.37,-5.67
2,2022,2,164.05,163.32,168.6,159.42,-0.0,2.31,163.27,157.84,163.67,160.14,186.64,184.9,191.73,181.54,6.14,149.57,141.3,152.18,141.18,-9.2
3,2022,3,156.68,155.98,160.28,152.46,0.64,-2.19,155.04,156.93,158.52,161.21,175.52,173.54,178.88,172.02,8.2,131.59,131.63,144.47,131.5,-7.79
4,2022,4,163.42,164.4,167.99,160.55,-0.53,6.03,165.19,165.44,160.99,163.0,177.02,177.19,179.09,172.59,7.33,152.23,153.82,157.3,150.44,-4.09
5,2022,5,122.58,124.54,127.44,118.83,-0.98,-25.71,126.06,142.71,154.07,162.99,156.18,154.09,158.74,147.21,7.71,106.24,105.89,111.42,103.74,-12.12
6,2022,6,106.01,106.8,109.41,103.68,-1.34,-14.17,108.39,113.17,134.65,159.18,123.77,123.33,125.51,121.23,8.14,89.08,92.49,92.91,86.71,-9.16
7,2022,7,100.09,98.91,101.56,96.68,1.16,-6.25,98.57,98.45,110.12,152.47,110.98,108.31,111.16,107.11,5.41,91.05,88.88,91.46,86.75,-4.8
8,2022,8,116.89,116.17,119.01,114.68,0.11,17.78,116.52,111.67,105.85,146.0,126.04,124.23,127.09,123.2,4.62,111.2,108.22,113.96,107.48,-5.37
9,2022,9,114.42,113.95,116.91,111.98,-0.3,-2.54,115.01,116.46,111.88,138.4,126.8,125.29,129.38,124.28,4.33,101.75,101.78,103.18,99.71,-9.03
10,2022,10,112.96,112.76,115.26,109.98,0.14,-1.15,112.54,111.66,114.55,132.19,119.95,120.03,120.71,116.0,6.72,105.0,105.49,106.35,102.18,-7.2
11,2022,11,99.31,99.83,101.78,97.37,-0.11,-11.85,100.54,106.22,110.2,126.62,109.57,110.96,113.1,108.0,7.09,92.02,93.53,95.31,91.27,-13.43
12,2022,12,90.73,91.06,92.66,89.12,-0.82,-8.7,92.04,96.01,103.02,119.9,101.27,101.49,102.76,99.55,3.64,82.49,82.97,84.25,81.91,-5.47
13,2023,1,99.17,97.86,100.41,96.51,1.36,8.96,96.49,91.13,95.1,113.03,115.94,114.13,117.12,109.28,6.66,84.9,85.89,88.14,84.3,-5.57
14,2023,2,122.41,121.89,125.0,119.55,0.63,28.38,121.14,112.25,99.9,108.13,139.42,137.43,144.63,134.73,13.35,108.87,110.0,113.36,106.54,-5.61
15,2023,3,120.43,120.59,122.48,118.59,0.07,-0.07,120.57,122.49,113.15,107.75,126.94,126.9,130.85,125.5,5.64,113.58,113.86,114.32,111.51,-4.13
16,2023,4,115.76,115.8,117.12,113.73,-0.18,-3.58,116.33,117.62,120.15,108.96,121.46,123.0,123.09,119.71,3.84,109.69,108.69,112.63,107.66,-4.9
17,2023,5,112.26,112.03,114.09,110.12,-0.33,-3.66,113.03,115.44,117.41,110.43,127.07,126.6,128.96,125.01,4.8,104.42,105.06,106.15,103.55,-10.92
18,2023,6,122.99,121.99,124.75,120.6,0.77,10.12,121.16,115.19,115.47,110.33,128.68,128.68,131.88,127.02,5.71,112.16,109.84,113.54,109.11,-2.52
19,2023,7,142.21,140.89,143.75,139.67,0.88,16.6,139.76,132.26,121.72,112.06,153.33,153.86,154.95,151.55,4.43,128.16,128.16,129.32,126.06,-2.68
20,2023,8,133.05,133.42,134.86,131.41,-0.61,-5.09,134.85,140.38,133.74,115.3,148.91,149.62,150.42,148.03,4.83,124.0,124.25,126.08,123.38,-2.92
