,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,3,454.64,452.18,459.39,448.52,0.58,-5.66,449.88,453.01,467.96,467.33,475.37,469.7,482.41,468.7,4.01,439.18,439.18,444.5,437.77,-2.62
1,2021,4,508.68,507.62,511.96,503.42,0.32,13.27,504.64,482.73,472.5,473.53,525.08,524.21,525.44,518.55,2.47,483.34,483.12,487.04,480.5,-1.7
2,2021,5,489.34,490.84,495.02,484.84,-0.02,-3.35,490.32,499.65,483.46,479.51,506.98,510.97,511.74,504.63,2.62,472.09,471.03,480.46,468.5,-2.7
3,2021,6,545.71,543.2,549.5,538.96,0.69,11.12,538.07,512.72,504.75,484.54,590.75,590.75,592.24,585.0,4.05,493.14,492.4,496.76,487.34,-1.72
4,2021,7,609.2,607.29,612.81,603.52,0.29,12.32,605.96,587.91,540.24,495.06,625.87,625.76,631.64,622.0,1.87,584.73,583.33,587.78,581.35,-0.81
5,2021,8,639.68,638.32,643.49,633.31,0.3,5.19,635.95,625.11,594.76,509.72,665.99,667.9,667.9,660.46,1.74,618.75,620.23,624.7,612.93,-1.3
6,2021,9,638.85,642.65,646.3,634.49,-0.66,0.18,646.71,651.41,632.75,529.05,666.59,669.82,673.88,664.3,2.49,575.72,580.64,586.19,573.24,-4.12
7,2021,10,608.76,607.18,613.88,602.03,0.59,-5.0,602.62,605.5,629.76,541.65,650.36,650.91,659.19,642.1,2.77,558.49,561.24,570.29,552.14,-3.29
8,2021,11,663.91,664.35,672.35,655.96,0.16,9.92,661.12,645.62,629.43,559.17,688.37,696.28,699.54,678.91,3.83,640.2,641.12,647.74,634.78,-3.06
9,2021,12,603.59,606.1,613.99,593.54,-0.69,-8.9,613.1,642.1,637.34,577.37,671.88,676.0,678.78,656.28,4.49,549.77,545.61,557.27,538.05,-10.19
10,2022,1,519.63,519.24,530.13,509.15,-0.26,-14.12,524.72,550.94,608.49,587.34,564.37,566.65,575.0,553.27,5.09,493.05,491.07,513.23,480.62,-7.14
11,2022,2,484.16,486.39,493.23,476.49,-0.66,-7.88,489.99,506.52,548.26,587.61,535.98,536.25,540.46,529.32,8.0,429.45,418.59,449.59,416.81,-5.12
12,2022,3,445.07,445.62,452.97,437.11,-0.06,-8.32,445.41,454.86,489.83,583.45,471.18,475.83,479.21,466.04,4.91,411.5,413.36,422.38,407.94,-9.34
13,2022,4,428.74,431.93,437.97,423.55,-0.68,-3.05,434.49,442.39,455.35,571.98,468.81,469.32,473.49,460.61,3.17,395.95,401.44,411.61,394.64,-3.58
14,2022,5,401.8,400.7,409.31,392.89,0.28,-6.96,400.28,407.5,428.57,551.4,428.22,427.22,428.55,414.63,4.8,376.91,373.4,389.63,370.27,-5.4
15,2022,6,391.45,391.34,399.52,384.49,-0.57,-2.24,396.1,404.14,411.3,526.75,441.28,437.59,441.9,427.26,5.53,360.79,349.24,367.32,338.0,-7.64
16,2022,7,387.28,385.38,391.9,379.83,0.59,-1.37,383.94,379.69,393.65,500.27,410.12,410.03,414.62,400.89,3.56,368.48,363.5,369.53,359.07,-3.24
17,2022,8,418.53,419.99,424.12,413.94,-0.39,8.53,420.83,412.55,396.65,478.77,451.02,446.12,451.15,442.14,3.56,373.44,378.53,380.66,371.06,-5.67
18,2022,9,325.92,326.99,331.67,321.38,-1.35,-22.68,335.21,374.76,393.52,448.09,396.36,391.09,396.39,389.67,3.1,275.2,277.8,279.59,274.73,-16.79
19,2022,10,301.07,299.64,305.53,295.85,0.72,-6.68,296.95,296.58,351.0,415.8,325.68,323.49,330.58,318.67,3.65,284.83,278.27,286.9,276.6,-3.23
