,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,2,86.03,86.35,87.6,84.03,-0.84,-5.73,88.04,89.43,91.45,77.17,89.58,89.75,90.42,88.69,2.6,82.42,83.4,85.11,79.36,-5.2
1,2021,3,79.37,79.85,80.93,78.09,-0.28,-10.19,79.98,83.29,87.72,79.2,86.39,86.92,86.95,84.04,6.18,73.96,75.85,76.56,73.86,-5.81
2,2021,4,81.84,82.15,83.3,80.68,0.22,3.65,81.29,80.1,82.76,82.1,85.41,88.85,89.2,85.13,5.68,78.55,78.99,80.13,77.94,-5.05
3,2021,5,76.98,76.91,78.0,75.83,-0.08,-5.61,77.39,79.45,79.83,84.06,80.08,81.97,82.0,78.66,2.4,73.09,73.16,75.03,72.5,-3.76
4,2021,6,83.33,82.93,84.29,82.16,0.75,7.6,82.3,79.8,79.78,83.89,93.93,90.82,94.34,90.6,5.55,79.96,80.02,81.45,78.96,-2.43
5,2021,7,92.05,91.49,93.38,89.87,0.62,11.11,90.94,88.39,83.01,84.67,106.19,101.6,106.97,101.38,7.58,85.89,84.99,87.23,84.24,-4.16
6,2021,8,108.79,108.73,111.31,106.88,0.23,18.29,108.01,102.39,93.1,86.82,118.77,116.63,122.49,114.16,5.52,103.44,103.32,105.98,101.98,-5.41
7,2021,9,105.51,105.86,106.94,104.23,-0.33,-2.89,106.3,107.29,102.64,89.38,109.99,111.3,111.85,109.85,2.54,100.35,101.58,102.51,99.51,-6.14
8,2021,10,112.38,111.74,113.96,110.68,0.76,6.34,110.59,106.47,106.98,90.84,122.93,122.99,128.08,122.58,3.92,100.34,100.45,101.85,99.82,-2.06
9,2021,11,146.96,145.73,149.79,142.52,1.38,31.83,143.39,130.84,116.35,94.89,161.91,163.28,164.46,156.1,10.14,125.23,119.45,125.67,118.13,-6.08
10,2021,12,143.49,144.32,147.32,140.26,-0.37,-0.88,144.64,147.18,134.38,101.36,154.36,160.37,160.88,151.38,8.04,133.8,131.67,137.24,130.6,-5.85
11,2022,1,126.84,128.17,130.96,123.66,-1.07,-11.28,130.56,138.65,142.94,107.54,150.24,151.01,152.42,145.02,8.56,102.6,101.55,105.4,99.35,-7.33
12,2022,2,119.63,119.71,123.1,116.11,0.5,-8.59,118.46,120.18,132.66,111.38,132.85,129.89,132.96,127.65,6.3,109.76,104.56,115.64,104.26,-10.01
13,2022,3,112.68,113.18,115.75,109.88,-0.43,-3.84,113.01,114.0,120.46,115.16,123.23,123.04,125.67,119.59,6.92,102.25,102.66,105.24,100.08,-8.29
14,2022,4,95.8,96.95,98.57,94.16,-1.17,-14.38,98.76,107.12,111.79,117.69,110.53,110.48,111.42,107.03,5.57,84.91,84.25,87.9,84.02,-6.1
15,2022,5,94.27,93.61,96.96,90.93,0.96,-2.87,92.95,92.27,101.99,117.57,102.47,102.43,104.55,100.04,9.26,86.36,85.66,88.55,83.27,-9.42
16,2022,6,90.85,91.83,93.65,89.09,-1.28,-2.35,92.92,95.88,95.37,116.41,108.59,108.27,109.57,104.65,7.28,76.47,77.73,78.91,75.48,-8.26
17,2022,7,82.9,81.85,83.94,80.48,1.1,-9.08,81.6,82.08,89.75,114.01,94.47,90.7,94.81,90.56,5.46,73.67,71.98,75.21,71.6,-3.66
18,2022,8,96.37,96.18,98.21,94.26,-0.42,17.24,96.8,93.5,88.88,111.86,103.91,101.05,104.59,100.98,5.93,84.87,86.28,86.72,83.72,-6.17
19,2022,9,74.99,75.57,76.74,73.75,-1.33,-22.69,77.07,85.12,88.56,105.64,85.45,84.89,85.68,83.84,3.98,63.36,63.62,65.91,62.83,-8.99
20,2022,10,60.32,60.29,62.0,58.8,-0.17,-20.13,60.76,65.66,79.24,97.45,67.94,68.27,70.29,67.66,5.82,55.94,55.52,58.32,54.57,-13.87
21,2022,11,69.61,69.38,71.15,67.92,1.31,15.92,68.19,63.23,66.86,90.45,77.63,77.26,79.16,75.39,14.27,58.63,58.11,61.99,58.03,-6.16
22,2022,12,68.09,68.36,69.47,66.91,-0.83,0.41,69.14,71.52,66.31,85.68,77.48,78.31,79.23,76.44,4.04,62.57,62.54,63.54,61.96,-5.64
23,2023,1,70.27,69.74,71.32,68.51,0.79,2.73,69.25,67.02,68.93,81.07,76.53,76.5,77.08,74.28,9.22,62.33,63.15,64.3,60.05,-4.0
24,2023,2,82.07,81.81,83.67,80.37,0.31,19.51,81.63,78.11,72.07,79.09,88.31,86.66,88.94,85.83,12.63,76.61,76.93,78.13,75.92,-5.99
25,2023,3,90.47,89.73,92.12,88.25,1.0,12.18,88.86,84.28,78.71,78.03,100.28,100.05,102.43,98.67,7.72,78.29,77.57,80.29,76.65,-2.32
26,2023,4,90.81,91.08,92.08,89.39,-0.47,1.76,91.83,93.95,87.58,78.35,96.56,97.04,97.27,95.21,3.26,83.8,86.41,87.06,83.76,-4.31
27,2023,5,102.22,101.0,104.06,99.36,1.37,12.17,99.06,93.05,92.25,79.22,127.03,130.42,130.79,123.51,11.16,81.62,81.57,85.48,81.02,-9.22
28,2023,6,117.79,118.52,120.61,115.8,-0.13,18.07,118.77,115.69,102.26,81.36,129.19,132.32,132.83,126.4,5.34,107.51,108.21,110.97,107.08,-5.73
29,2023,7,113.69,114.04,115.64,111.93,0.04,-3.73,113.6,114.58,111.96,85.12,118.32,121.3,122.12,115.55,2.93,110.09,110.62,111.31,108.55,-5.31
30,2023,8,108.82,109.17,111.4,106.58,-0.29,-4.3,109.44,111.74,114.16,90.52,117.6,119.49,119.5,115.49,4.1,101.8,101.17,104.07,99.58,-7.02
31,2023,9,103.11,103.16,105.01,101.44,-0.11,-5.06,103.57,105.63,109.54,94.6,110.78,110.56,111.82,108.22,4.78,95.96,95.95,97.45,94.46,-4.82
32,2023,10,102.56,102.49,104.33,100.73,-0.16,-0.74,102.94,102.74,105.14,98.13,109.01,109.14,111.31,107.51,4.21,93.67,95.8,97.04,93.12,-5.52
33,2023,11,117.59,116.78,119.04,115.53,1.02,14.74,115.17,108.49,105.21,102.1,123.85,123.98,125.73,123.48,9.69,107.83,98.58,108.15,98.5,-2.17
