,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,10,23.72,23.59,23.92,23.36,0.72,2.96,23.36,22.99,23.42,26.73,25.1,25.02,25.14,24.53,4.09,21.9,22.14,22.19,21.59,-1.63
1,2021,11,24.03,24.05,24.4,23.65,-0.23,3.22,24.13,24.0,23.51,26.01,25.32,25.42,25.46,24.72,5.0,22.7,22.88,23.2,22.54,-6.53
2,2021,12,22.54,22.65,22.83,22.35,-0.19,-6.28,22.66,23.27,23.58,25.17,23.55,23.54,23.81,23.42,2.66,21.7,21.81,21.86,21.41,-2.76
3,2022,1,21.41,21.5,21.87,21.05,-0.51,-5.2,21.7,22.3,23.02,24.34,23.43,23.45,23.87,23.2,4.7,17.95,18.25,18.96,17.71,-16.63
4,2022,2,19.08,18.95,19.41,18.57,0.48,-11.29,19.02,19.74,21.35,23.46,21.43,19.9,21.49,19.43,10.26,18.05,17.22,18.44,17.03,-2.87
5,2022,3,20.75,20.83,21.28,20.34,-0.12,8.38,20.7,19.98,20.2,22.86,21.46,21.72,22.03,21.39,5.95,19.15,18.74,19.94,18.42,-3.5
6,2022,4,19.39,19.41,19.66,19.1,-0.59,-6.43,19.63,20.36,19.98,22.32,21.13,21.04,21.8,20.84,2.81,18.16,18.28,18.59,18.0,-6.41
7,2022,5,17.13,17.14,17.34,16.95,-0.09,-12.33,17.2,17.95,19.41,21.72,18.43,18.43,18.43,18.43,6.02,15.62,15.62,15.62,15.07,-6.35
8,2022,6,16.33,16.55,16.74,16.13,-1.08,-4.58,16.61,17.04,17.84,20.99,18.77,18.85,18.97,18.46,4.46,13.98,14.56,14.56,13.62,-6.67
9,2022,7,14.63,14.55,14.87,14.29,0.74,-10.36,14.54,14.87,16.18,20.1,16.18,15.98,16.27,15.85,6.38,13.37,13.59,13.85,13.36,-5.14
10,2022,8,15.79,15.85,16.09,15.56,-0.39,8.17,15.85,15.54,15.42,19.21,16.69,16.75,16.99,16.36,7.02,14.68,14.69,15.38,14.64,-4.37
11,2022,9,12.86,12.94,13.15,12.64,-1.11,-18.66,13.18,14.35,14.94,18.16,14.41,14.55,14.65,14.09,2.93,11.32,11.33,11.48,11.12,-5.57
12,2022,10,11.25,11.26,11.47,11.02,0.21,-12.32,11.23,11.63,13.47,17.0,12.19,12.09,12.19,11.81,5.49,10.34,10.32,10.87,10.25,-5.62
13,2022,11,14.19,14.04,14.4,13.85,1.36,26.25,13.83,12.54,12.27,16.11,16.14,16.25,16.38,16.01,8.15,11.99,11.9,11.99,11.64,-2.7
14,2022,12,17.02,16.95,17.19,16.77,0.52,21.43,16.85,16.04,13.77,15.73,17.75,17.76,17.95,17.55,4.56,15.98,15.98,16.24,15.81,-3.9
15,2023,1,18.6,18.54,18.82,18.28,0.4,9.63,18.47,17.9,16.42,15.43,19.43,19.41,19.76,19.1,5.35,17.19,17.25,17.75,17.08,-2.83
16,2023,2,18.88,18.91,19.13,18.63,-0.02,1.88,18.89,18.9,18.12,15.46,19.54,19.48,19.68,19.08,3.88,18.2,18.27,18.33,17.7,-2.64
17,2023,3,19.44,19.43,19.78,19.05,0.33,2.79,19.35,19.24,18.95,15.68,20.38,20.08,20.43,19.89,5.1,18.23,18.18,19.12,17.77,-6.92
18,2023,4,21.3,21.26,21.51,20.99,0.52,10.17,21.1,20.22,19.58,16.16,22.18,21.89,22.22,21.63,4.35,20.8,20.55,21.07,20.36,-1.32
19,2023,5,23.19,23.17,23.45,22.88,0.33,10.31,22.98,22.18,20.83,16.88,24.45,24.49,24.81,24.08,5.86,21.66,21.66,21.66,21.55,-2.9
20,2023,6,21.33,21.33,21.69,20.95,-1.3,-7.49,22.09,23.33,22.47,17.74,24.4,24.44,24.64,24.17,6.74,14.35,14.4,15.02,13.77,-37.34
21,2023,7,15.54,15.55,15.73,15.31,-0.22,-25.04,15.55,17.12,20.74,18.26,16.34,16.49,16.52,15.99,1.93,14.91,14.81,14.99,14.55,-5.64
22,2023,8,13.81,13.86,14.12,13.64,-0.66,-11.22,14.03,14.79,16.95,18.62,15.72,15.7,16.36,15.59,2.71,12.89,12.9,13.06,12.83,-6.14
23,2023,9,12.48,12.51,12.69,12.31,-0.27,-9.04,12.57,12.87,14.1,18.43,13.04,13.2,13.24,13.04,4.2,11.92,11.91,12.26,11.81,-4.14
24,2023,10,10.82,11.02,11.2,10.55,-1.33,-13.66,11.2,11.85,12.64,17.85,12.2,12.43,12.59,12.01,12.66,6.87,7.21,7.68,6.4,-35.49
25,2023,11,10.26,10.18,10.55,9.93,1.29,-2.14,10.02,9.92,11.14,16.89,11.92,11.88,12.09,11.65,8.78,8.25,8.32,8.46,8.14,-7.93
26,2023,12,11.35,11.25,11.54,11.09,0.57,12.41,11.23,11.04,10.6,16.07,12.0,11.91,12.04,11.8,9.39,10.28,10.56,10.67,10.15,-4.19
27,2024,1,12.38,12.33,12.6,12.12,0.74,9.86,12.19,11.73,11.1,15.26,13.97,13.85,14.16,13.73,9.26,11.12,11.15,11.43,11.09,-6.39
28,2024,2,13.97,14.0,14.22,13.75,0.11,14.03,13.95,13.49,12.36,14.39,14.51,14.5,14.64,14.22,5.72,13.43,13.36,13.94,13.06,-4.07
29,2024,3,14.95,14.82,15.09,14.62,0.93,7.21,14.69,14.21,13.52,13.44,17.0,16.6,17.01,16.45,6.73,13.77,13.78,13.98,13.69,-2.09
30,2024,4,17.93,17.77,18.11,17.54,0.63,21.71,17.71,16.76,15.19,13.08,19.3,19.24,19.47,19.1,5.9,17.4,16.81,17.44,16.53,-2.72
31,2024,5,23.88,23.6,24.26,23.26,1.22,33.49,23.29,20.86,18.07,13.64,26.83,26.66,27.01,25.9,12.8,19.25,19.18,19.63,18.88,-4.65
32,2024,6,23.94,24.03,24.39,23.52,-0.07,1.86,24.06,24.45,21.78,14.77,25.36,25.28,25.65,24.71,4.02,23.02,22.78,23.21,22.41,-5.72
33,2024,7,26.02,25.92,26.4,25.5,0.48,8.23,25.88,25.26,24.49,16.14,27.8,27.6,27.91,27.17,5.9,24.16,24.48,24.62,23.84,-4.94
34,2024,8,24.95,24.96,25.35,24.46,-0.12,-4.29,24.98,25.23,25.13,17.78,26.13,26.73,27.07,26.01,3.34,23.67,22.74,23.83,22.06,-7.46
35,2024,9,29.03,28.78,29.45,28.38,1.19,16.44,28.32,26.34,25.79,19.48,33.67,34.26,34.29,32.86,9.07,23.84,24.11,24.76,23.7,-6.69
36,2024,10,36.09,35.83,36.45,35.29,0.57,25.42,35.68,33.7,29.23,21.9,38.35,38.25,38.61,37.65,4.2,33.95,33.2,34.27,32.58,-4.01
37,2024,11,44.18,43.89,44.76,43.37,1.56,22.16,43.06,39.69,35.4,24.83,51.02,50.48,51.02,49.92,18.95,37.53,37.28,37.53,36.92,-4.25
38,2024,12,50.93,50.54,51.69,49.97,-0.08,20.46,50.84,48.93,42.42,28.23,53.02,53.0,53.3,51.88,4.54,48.88,45.9,50.08,45.12,-3.92
39,2025,1,52.81,52.36,53.72,51.55,0.81,4.42,52.28,51.53,48.4,31.83,58.8,58.8,59.44,58.8,9.54,48.32,49.48,50.06,46.88,-17.82
