,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,3,102.08,101.97,103.04,100.97,0.09,-1.34,102.0,102.26,98.76,83.96,104.65,103.45,105.3,102.59,3.16,100.7,100.74,101.48,99.44,-2.92
1,2021,4,113.24,113.04,114.11,112.19,0.64,11.12,111.77,107.4,104.21,87.22,119.21,119.19,121.13,118.26,4.19,106.1,104.23,106.4,104.19,-1.64
2,2021,5,115.01,115.03,115.93,114.0,0.02,2.57,114.99,114.7,109.35,91.29,118.59,119.02,119.02,117.9,2.92,109.62,110.9,111.57,109.28,-3.08
3,2021,6,120.61,120.52,121.15,119.69,0.16,4.65,120.24,118.03,115.31,95.61,122.09,122.26,122.65,121.86,1.96,116.96,116.86,117.43,116.06,-1.34
4,2021,7,128.1,127.89,128.85,126.94,0.48,6.24,126.89,124.09,120.02,100.76,135.6,135.82,137.8,135.05,3.58,122.0,121.29,122.14,121.09,-1.88
5,2021,8,137.87,137.52,138.51,136.73,0.33,7.91,137.04,133.77,127.45,106.84,144.17,144.62,145.44,143.76,1.9,134.37,133.95,134.85,132.84,-1.19
6,2021,9,140.67,141.08,141.87,139.72,-0.37,2.33,141.54,141.04,135.63,112.74,144.69,144.69,145.73,144.36,1.32,133.19,133.78,135.05,133.07,-3.72
7,2021,10,139.61,139.12,140.65,137.9,0.5,-1.05,138.55,138.53,139.26,118.07,147.51,146.6,148.11,144.13,4.96,133.18,133.56,135.47,130.58,-3.04
8,2021,11,146.23,146.71,147.76,145.13,-0.19,5.32,146.48,144.23,141.39,123.65,149.3,149.43,150.42,148.36,2.35,141.38,143.48,144.04,141.09,-3.07
9,2021,12,144.63,144.6,145.89,143.09,0.1,-1.11,144.42,144.93,143.6,128.29,147.65,148.16,148.56,146.64,2.87,140.54,139.49,141.26,138.82,-1.88
10,2022,1,135.47,135.78,137.66,133.75,-0.32,-6.27,136.76,141.18,143.66,132.28,144.47,144.87,145.96,143.2,3.37,126.48,125.52,128.93,124.05,-4.59
11,2022,2,136.22,136.91,138.61,134.37,0.03,-0.52,136.14,135.71,139.74,134.55,147.47,150.7,151.0,145.0,7.52,127.13,124.5,131.57,124.5,-3.77
12,2022,3,134.49,134.59,136.09,132.75,0.15,-0.57,133.87,133.09,135.21,136.38,141.99,142.13,143.27,141.53,4.97,125.5,125.79,129.39,124.82,-4.19
13,2022,4,127.61,128.72,130.02,126.21,-0.96,-4.46,130.09,134.57,134.06,137.84,142.46,142.35,143.19,139.88,3.7,113.7,114.06,116.82,112.33,-4.15
14,2022,5,112.78,112.38,114.44,110.62,0.02,-12.65,113.22,118.17,127.6,136.83,121.82,119.77,122.41,115.62,4.2,105.42,104.61,106.07,101.52,-4.95
15,2022,6,112.02,111.88,113.9,110.53,-0.17,-0.58,112.05,111.9,117.96,134.14,117.55,117.85,118.92,116.18,5.11,105.65,105.65,107.53,104.67,-4.29
16,2022,7,112.24,111.62,113.71,109.91,0.37,0.03,111.96,112.01,112.34,131.2,118.92,117.57,119.25,116.48,7.66,104.64,106.21,106.81,103.69,-5.63
17,2022,8,115.84,116.0,117.21,114.83,-0.3,3.42,116.27,114.88,113.12,128.5,121.64,121.08,121.99,120.2,2.63,107.83,109.59,110.1,107.41,-5.41
18,2022,9,102.96,103.18,104.43,101.79,-0.57,-11.44,104.06,109.26,112.27,124.58,110.46,110.59,111.22,109.53,2.62,95.3,96.7,98.28,95.21,-5.9
19,2022,10,98.52,98.2,99.97,97.05,-0.01,-4.7,98.77,99.51,106.52,119.91,104.1,102.76,104.44,102.35,4.41,91.89,91.94,95.09,91.47,-9.14
20,2022,11,93.57,93.61,95.03,92.12,0.36,-4.99,93.26,94.32,98.35,115.37,100.63,98.41,100.68,97.29,7.58,83.13,85.09,86.21,83.04,-4.27
21,2022,12,91.98,92.33,93.38,91.04,-0.63,-0.96,92.94,95.11,95.42,111.23,100.63,100.66,101.88,99.89,2.82,85.71,86.31,87.72,85.63,-4.43
22,2023,1,92.7,92.16,93.62,91.16,0.59,0.35,91.66,89.94,92.71,106.69,99.43,97.75,99.96,97.15,5.34,85.89,85.67,87.25,84.55,-2.54
23,2023,2,96.07,95.95,97.44,94.62,-0.44,5.55,96.94,96.98,93.54,103.62,107.35,105.42,107.79,105.23,7.28,88.81,89.01,89.57,88.26,-7.68
24,2023,3,97.71,97.08,98.81,96.24,0.63,2.24,96.64,94.55,94.66,101.56,105.22,104.68,106.2,104.08,4.38,90.03,89.34,90.7,89.1,-2.83
25,2023,4,105.33,105.01,106.36,103.88,0.2,8.36,104.89,103.13,98.34,100.62,108.48,106.65,108.78,106.45,3.78,103.34,102.02,104.15,101.56,-2.66
26,2023,5,115.71,115.24,117.06,114.24,0.63,10.37,114.15,109.12,104.13,100.25,124.6,125.19,125.97,122.3,4.31,104.31,104.44,105.22,103.34,-1.99
27,2023,6,122.09,121.91,123.51,120.71,-0.11,6.35,122.47,121.97,113.69,100.92,126.85,126.51,128.57,124.91,2.16,117.9,116.66,118.65,115.68,-3.78
28,2023,7,122.61,122.7,124.14,121.41,0.54,0.24,121.4,120.83,119.95,102.57,132.24,132.25,133.26,131.3,5.78,116.03,115.87,117.28,114.93,-2.54
29,2023,8,130.08,129.97,131.52,128.85,0.12,6.16,129.77,127.44,123.94,105.77,135.68,135.52,137.5,135.3,2.72,127.0,126.72,128.27,125.92,-2.41
30,2023,9,133.82,133.84,135.05,132.53,-0.19,3.37,134.24,133.06,128.79,109.87,137.71,137.58,138.66,136.13,1.53,128.11,128.11,129.89,126.76,-3.12
31,2023,10,133.69,133.56,134.98,132.15,-0.21,-0.23,134.36,134.34,132.92,114.25,140.04,140.54,140.71,138.08,2.53,121.73,122.44,122.86,119.78,-9.51
32,2023,11,132.9,132.64,133.91,131.62,0.32,-0.75,131.86,131.27,133.06,118.39,137.99,137.53,138.92,136.97,1.91,125.99,123.62,126.03,123.27,-1.82
33,2023,12,135.08,134.82,136.18,133.84,0.27,2.04,134.53,133.92,132.99,122.33,141.01,141.08,142.16,140.68,5.31,128.8,128.48,129.56,127.44,-1.96
34,2024,1,143.32,143.02,144.55,141.96,0.03,6.39,142.64,139.27,135.56,126.56,152.96,152.25,153.22,150.88,2.29,135.24,135.8,136.66,134.66,-7.5
35,2024,2,142.32,142.32,143.49,140.83,-0.05,-0.25,143.27,144.67,140.51,130.61,148.46,147.88,148.9,146.84,2.12,135.89,136.78,137.51,134.92,-4.44
36,2024,3,141.93,141.86,143.39,140.56,0.44,-0.77,140.64,139.7,142.07,133.04,150.38,150.63,151.71,149.63,4.6,130.93,131.4,132.76,130.2,-2.76
37,2024,4,156.62,156.28,158.26,154.76,0.38,10.86,155.34,151.06,145.22,136.06,171.33,173.74,174.08,169.04,10.22,149.99,149.49,152.87,149.06,-3.37
38,2024,5,171.37,170.74,172.44,169.44,0.27,9.49,170.6,165.03,155.27,140.62,177.21,176.43,178.12,175.44,1.87,163.27,163.67,166.13,162.46,-2.15
39,2024,6,177.29,176.86,178.6,175.61,0.3,3.62,176.2,174.52,167.03,145.18,184.95,183.87,185.59,183.57,2.68,172.54,171.92,173.22,170.54,-1.76
40,2024,7,180.15,180.66,182.32,178.69,-0.26,2.08,181.36,181.66,176.45,150.07,190.71,189.84,191.28,188.56,2.57,166.59,166.74,167.68,163.66,-5.04
41,2024,8,163.17,163.18,165.17,161.47,-0.21,-9.24,163.84,168.33,175.35,154.0,170.34,169.83,173.62,168.46,2.28,157.9,155.12,160.17,154.55,-4.45
42,2024,9,157.96,158.58,159.86,156.72,0.1,-3.24,157.81,159.46,166.99,156.9,165.66,164.16,165.96,163.07,2.34,148.49,149.75,151.1,147.05,-4.02
43,2024,10,165.21,165.68,167.21,163.78,0.14,4.17,164.59,162.81,161.63,159.84,174.26,180.47,181.81,173.86,2.82,161.67,160.69,162.88,159.56,-2.44
44,2024,11,173.38,173.18,174.77,171.44,-0.05,5.5,173.62,170.6,165.24,162.77,181.41,180.44,182.28,179.18,3.99,164.57,165.66,166.27,163.51,-4.74
45,2024,12,186.73,186.05,188.91,184.29,0.57,7.67,184.59,177.98,172.37,166.44,196.66,197.25,201.42,194.98,5.59,171.14,168.58,171.88,168.38,-3.59
46,2025,1,195.34,195.01,197.47,193.28,0.39,5.57,194.41,192.76,183.07,171.42,204.02,202.0,205.48,201.8,3.11,189.43,190.07,191.18,187.36,-4.2
47,2025,2,186.08,186.79,188.22,184.39,-0.95,-4.06,189.01,193.65,190.52,174.86,206.38,203.39,207.05,202.81,2.56,172.73,175.07,176.08,171.58,-7.29
