,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,3,102.64,102.52,103.58,101.59,0.05,-1.32,102.61,102.9,99.29,84.21,105.36,103.88,105.9,103.25,2.91,101.41,101.03,102.18,100.18,-2.62
1,2021,4,114.08,113.77,114.91,113.03,0.74,11.27,112.46,108.0,104.8,87.52,121.06,120.09,122.18,119.68,4.11,106.5,104.52,106.76,104.47,-1.36
2,2021,5,117.21,117.17,118.17,116.24,0.01,3.92,117.14,116.35,110.38,91.78,121.24,121.41,121.71,120.19,2.63,111.55,112.65,113.42,111.1,-3.02
3,2021,6,124.62,124.47,125.17,123.73,0.18,6.12,124.14,121.13,117.37,96.41,126.83,126.6,127.34,126.51,1.96,119.8,119.32,120.06,118.71,-0.69
4,2021,7,131.87,131.62,132.7,130.76,0.37,5.82,130.91,128.23,123.4,101.97,139.14,139.51,139.51,137.16,3.37,125.92,124.4,126.01,124.4,-2.04
5,2021,8,138.82,138.32,139.37,137.65,0.34,5.55,138.01,135.84,130.69,108.26,144.95,145.36,145.97,144.48,1.92,135.5,134.98,135.53,133.7,-1.16
6,2021,9,141.37,141.87,142.7,140.49,-0.41,2.13,142.31,141.93,137.52,114.22,145.32,145.43,146.29,145.09,1.26,132.79,133.84,135.1,132.52,-3.76
7,2021,10,139.95,139.47,141.03,138.27,0.52,-1.33,138.87,138.88,139.96,119.56,147.74,146.77,148.58,144.65,4.84,133.29,133.08,135.21,130.7,-2.91
8,2021,11,146.9,147.35,148.46,145.86,-0.18,5.57,147.13,144.77,141.89,125.16,150.17,150.46,151.31,149.35,2.32,141.94,143.78,144.78,141.56,-3.03
9,2021,12,145.13,145.08,146.4,143.63,0.08,-1.21,144.99,145.63,144.17,129.82,148.19,148.57,149.07,147.0,2.95,141.11,140.18,142.1,139.75,-1.72
10,2022,1,135.56,135.89,137.69,133.88,-0.3,-6.59,136.81,141.37,144.15,133.77,144.56,145.03,146.09,143.3,3.23,126.28,125.58,128.88,124.2,-4.68
11,2022,2,136.09,136.83,138.5,134.27,0.0,-0.64,136.03,135.69,139.95,135.94,147.51,151.32,151.56,145.04,7.37,127.13,124.55,131.28,124.32,-3.77
12,2022,3,134.87,134.85,136.44,133.16,0.17,-0.23,134.19,133.24,135.28,137.55,142.74,142.65,143.65,141.97,5.18,126.01,125.8,130.05,125.41,-4.28
13,2022,4,128.15,129.2,130.5,126.79,-0.94,-4.32,130.61,135.06,134.31,138.64,143.13,142.89,143.53,140.44,3.82,114.55,113.96,117.08,112.72,-4.26
14,2022,5,113.12,112.77,114.79,111.06,-0.01,-12.75,113.6,118.61,128.04,137.31,122.14,119.79,122.7,116.21,4.16,105.46,104.77,106.01,101.84,-5.14
15,2022,6,112.42,112.3,114.25,110.98,-0.17,-0.55,112.43,112.2,118.36,134.52,118.11,118.51,118.97,116.28,5.19,106.25,106.15,108.07,105.25,-4.08
16,2022,7,112.92,112.28,114.43,110.62,0.37,0.29,112.65,112.63,112.78,131.58,119.74,118.23,120.0,117.09,7.74,105.06,107.05,107.35,104.38,-5.81
