,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,2,37.29,37.9,40.95,35.5,-1.76,81.11,38.69,29.44,20.46,6.7,47.9,46.03,49.41,43.65,16.98,28.56,28.55,31.71,26.06,-23.04
1,2021,3,38.26,37.88,40.63,35.39,2.61,29.31,37.14,36.3,28.63,9.54,48.02,43.53,50.21,42.6,28.97,28.51,29.84,32.45,24.11,-12.59
2,2021,4,41.54,42.07,44.27,39.39,-0.94,12.51,42.28,42.82,38.17,14.1,56.56,56.69,57.75,51.22,15.78,31.06,29.09,32.71,28.36,-15.75
3,2021,5,25.86,26.06,27.45,24.59,-1.66,-38.16,26.96,32.16,37.56,17.29,36.22,38.2,39.68,35.21,17.4,19.66,19.45,21.78,18.32,-13.96
4,2021,6,27.69,27.4,28.63,26.6,1.19,8.74,27.15,25.4,31.18,19.63,31.89,31.9,33.72,31.3,12.77,23.64,23.17,23.89,21.54,-5.74
5,2021,7,26.68,26.99,27.65,25.96,-0.44,-1.79,27.0,28.02,26.85,22.42,30.69,31.37,31.55,30.2,20.05,22.35,21.95,22.9,20.61,-8.65
6,2021,8,34.34,33.83,35.49,32.71,1.89,28.88,33.21,29.9,28.55,25.37,40.59,39.86,41.58,39.27,10.99,27.13,27.61,28.06,26.2,-7.23
7,2021,9,36.4,36.91,37.99,35.55,-1.07,8.95,37.18,37.22,32.47,28.99,43.41,43.71,44.97,43.22,7.4,30.61,32.03,32.44,30.55,-9.26
8,2021,10,45.71,45.07,46.94,43.61,2.56,26.12,43.86,38.87,37.1,32.15,54.69,54.11,56.48,52.5,12.16,33.17,32.81,33.85,31.89,-5.33
9,2021,11,59.43,60.03,63.08,56.1,0.38,38.82,59.47,56.85,45.93,35.96,76.09,81.51,83.45,72.01,17.99,49.2,49.17,51.2,47.41,-27.03
10,2021,12,38.84,39.48,41.35,37.17,-1.77,-33.32,40.4,47.33,50.73,37.56,50.79,52.61,57.7,49.81,11.72,32.47,32.19,33.48,31.45,-15.14
11,2022,1,26.48,26.85,28.01,25.37,-1.47,-32.61,27.65,32.0,43.2,36.75,34.13,33.68,35.48,32.64,11.02,19.79,19.82,21.92,19.43,-13.21
12,2022,2,25.08,24.91,26.3,23.92,0.67,-8.76,24.91,24.75,31.14,35.29,28.99,28.78,31.44,27.66,12.05,21.04,19.56,22.65,19.51,-9.44
13,2022,3,26.32,26.52,27.5,25.23,0.63,8.03,25.83,24.99,25.76,35.15,31.27,31.35,32.74,30.1,14.9,21.41,21.33,22.43,20.32,-9.13
14,2022,4,21.33,21.87,22.5,20.72,-2.78,-15.88,22.63,25.56,25.18,34.93,28.92,29.35,29.49,27.6,5.39,15.6,16.63,17.26,15.53,-9.2
15,2022,5,11.79,11.98,12.55,11.2,-1.66,-47.29,12.39,15.82,21.55,33.77,17.76,17.27,17.83,16.23,12.22,9.0,8.81,9.44,8.53,-19.2
16,2022,6,7.39,7.5,7.81,7.14,-2.88,-37.38,7.79,9.0,14.4,31.17,9.34,10.3,10.35,9.11,9.23,5.34,5.53,5.77,5.27,-11.8
17,2022,7,9.66,9.27,10.23,8.81,5.25,31.67,8.99,7.58,9.15,28.18,13.49,13.89,14.2,12.58,32.17,5.54,5.4,5.7,5.2,-12.62
18,2022,8,14.13,14.2,14.98,13.56,-0.17,67.01,14.21,13.12,9.99,24.65,18.24,17.98,18.88,17.38,15.95,11.35,11.13,12.17,11.02,-15.46
19,2022,9,11.42,11.38,11.95,10.95,-0.29,-19.39,11.52,12.63,12.36,19.8,14.43,14.67,15.15,13.88,13.53,9.47,9.62,10.14,9.36,-11.16
20,2022,10,12.05,11.93,12.65,11.4,1.26,7.34,11.78,11.34,12.4,16.86,14.76,14.49,15.62,13.75,16.25,10.3,9.59,10.62,9.46,-14.43
21,2022,11,8.6,8.92,9.2,8.35,-3.25,-26.27,9.31,10.91,11.24,15.11,12.22,13.45,13.58,12.19,7.3,5.89,5.9,6.11,5.75,-17.14
22,2022,12,4.54,4.68,4.83,4.38,-2.71,-48.76,4.81,6.13,9.07,13.17,6.91,6.99,7.15,6.12,11.27,3.15,3.18,3.36,3.11,-11.14
23,2023,1,6.74,6.59,7.18,6.18,4.48,56.95,6.32,4.94,6.32,11.01,9.0,9.17,9.57,8.58,30.91,3.4,3.5,3.77,3.28,-17.44
