,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,11,32.96,32.7,33.32,31.88,1.92,33.76,32.26,30.38,25.31,19.17,33.31,33.1,33.35,31.97,5.95,32.61,32.3,33.29,31.8,-2.1
1,2021,12,29.88,30.07,30.68,29.14,-0.4,-0.08,30.14,30.74,27.51,20.17,32.37,33.16,33.23,31.36,7.96,27.67,27.25,28.09,27.09,-6.8
2,2022,1,25.72,25.93,26.58,25.05,-0.85,-14.01,26.36,28.15,29.46,21.75,30.06,30.22,30.65,29.73,7.21,21.9,21.97,22.82,20.85,-5.76
3,2022,2,24.58,24.51,25.25,23.82,0.07,-6.74,24.51,24.58,27.2,22.7,26.65,26.21,26.87,25.55,9.18,22.34,20.98,23.76,20.85,-7.56
4,2022,3,24.81,24.72,25.36,24.11,0.58,2.34,24.48,23.99,24.84,23.64,28.61,28.65,28.9,27.93,9.82,21.29,21.27,22.22,20.61,-6.91
5,2022,4,21.92,22.31,22.75,21.51,-1.84,-9.44,22.81,24.73,24.34,24.34,27.31,27.33,27.51,26.57,7.42,18.38,18.57,19.13,18.26,-6.24
6,2022,5,17.76,17.69,18.27,17.11,0.15,-20.53,17.81,19.12,22.33,24.3,20.3,19.89,20.37,19.1,9.47,16.13,15.99,16.57,15.54,-9.24
7,2022,6,16.99,17.07,17.43,16.64,-0.91,-4.2,17.25,17.5,19.22,23.97,19.56,19.11,19.59,18.53,6.94,15.14,15.34,15.54,14.84,-7.82
8,2022,7,16.31,16.14,16.54,15.85,0.96,-4.55,16.08,16.0,16.98,23.38,18.14,17.95,18.22,17.67,7.6,14.5,14.15,14.95,14.03,-4.33
9,2022,8,17.74,17.68,18.11,17.36,-0.74,9.75,17.95,17.69,16.94,22.86,19.19,18.89,19.25,18.73,5.92,15.07,15.36,15.52,14.94,-9.23
10,2022,9,13.16,13.19,13.46,12.91,-0.98,-26.06,13.46,15.09,16.43,21.31,14.49,14.35,14.53,14.18,2.84,12.12,12.07,12.48,11.93,-9.47
11,2022,10,12.45,12.39,12.77,12.11,0.57,-5.91,12.34,12.52,14.54,19.49,13.82,13.76,13.83,13.28,5.89,11.21,10.96,11.72,10.8,-8.03
12,2022,11,15.3,15.21,15.59,14.91,1.18,23.87,15.03,13.82,13.25,18.18,16.91,16.7,16.98,16.36,14.33,13.2,13.03,13.76,12.94,-5.66
13,2022,12,16.2,16.24,16.52,15.85,-0.64,7.87,16.37,16.3,14.58,17.35,18.05,18.51,18.77,17.69,6.51,14.02,13.91,14.25,13.87,-7.14
14,2023,1,17.26,16.99,17.51,16.69,1.52,6.17,16.74,15.96,15.9,16.46,20.35,19.93,20.61,19.39,7.59,14.25,14.46,14.55,14.02,-5.91
15,2023,2,22.02,21.84,22.43,21.51,1.01,33.88,21.63,20.07,17.69,16.23,23.64,23.65,23.87,23.43,14.02,20.64,19.67,21.08,19.59,-4.8
16,2023,3,25.09,24.96,25.44,24.58,0.81,15.53,24.74,23.45,20.76,16.8,27.76,27.21,27.81,27.08,5.42,22.68,22.47,23.23,22.28,-3.08
17,2023,4,27.13,27.13,27.47,26.73,0.01,9.5,27.14,26.7,24.42,17.82,27.94,27.94,28.09,27.34,2.72,26.22,26.48,26.86,26.2,-2.96
18,2023,5,31.03,30.94,31.55,30.46,1.56,14.32,29.99,28.37,26.93,19.03,40.08,40.56,41.91,39.92,24.37,27.54,27.63,27.84,27.22,-5.68
19,2023,6,40.89,40.76,41.52,40.14,0.57,34.49,40.63,37.09,31.73,21.09,43.78,43.47,43.96,42.65,5.12,37.45,37.7,38.84,37.33,-3.74
20,2023,7,44.73,44.79,45.43,44.12,0.52,10.09,44.25,42.88,38.05,24.07,47.46,47.43,48.06,46.71,4.73,42.07,41.82,42.15,41.32,-3.31
21,2023,8,45.22,45.3,46.13,44.25,0.29,1.69,45.01,44.91,43.27,27.55,49.32,50.18,50.23,48.93,8.47,40.83,40.46,41.99,40.28,-4.81
22,2023,9,44.3,44.48,45.06,43.7,-0.61,-0.76,44.89,45.8,45.14,30.86,48.52,49.73,49.77,48.11,1.47,40.99,41.55,42.08,40.96,-3.69
23,2023,10,43.61,43.59,44.3,42.81,-0.26,-2.4,43.81,43.89,44.8,33.76,46.92,46.93,47.58,46.3,3.84,40.3,40.43,40.85,39.21,-4.68
24,2023,11,47.5,47.43,48.04,46.8,0.67,8.87,46.86,44.86,44.47,36.71,50.38,50.1,50.52,49.19,3.79,42.3,40.86,42.36,40.84,-2.85
25,2023,12,48.05,47.96,48.54,47.39,0.3,2.04,47.85,47.85,45.9,39.36,50.05,49.79,50.41,49.39,2.43,45.48,45.44,46.05,44.98,-3.01
26,2024,1,56.23,55.85,56.8,55.17,1.06,17.21,55.04,51.42,48.98,42.05,62.74,62.87,63.46,62.23,6.43,47.55,47.46,48.16,47.3,-2.73
27,2024,2,72.51,72.39,73.65,71.0,1.35,31.56,70.86,65.15,56.26,45.91,79.07,80.75,82.35,78.47,16.4,63.0,62.07,63.16,61.62,-4.35
28,2024,3,89.4,89.36,91.3,87.32,0.71,26.6,88.14,81.91,69.59,51.01,94.96,95.81,97.36,93.47,7.16,82.24,79.96,82.26,79.4,-5.55
29,2024,4,85.67,86.05,87.69,83.96,-0.14,-2.73,86.08,88.38,82.35,56.08,90.57,90.36,92.18,89.16,6.18,76.17,78.07,80.04,75.57,-10.0
30,2024,5,96.18,95.85,97.49,94.19,1.14,12.63,93.94,88.59,88.19,60.92,114.77,114.6,115.77,110.85,9.32,83.0,84.41,85.96,81.22,-3.89
31,2024,6,124.54,124.5,126.87,121.71,0.69,33.44,123.16,112.58,97.66,67.76,135.53,139.75,140.71,130.64,6.76,114.95,113.57,114.95,111.95,-6.68
32,2024,7,121.87,122.76,124.84,119.49,-0.15,-0.33,123.04,125.41,113.82,76.01,134.86,135.7,136.1,132.37,12.81,103.69,111.48,111.95,102.5,-7.04
33,2024,8,117.08,116.78,119.94,113.54,0.17,-3.24,116.22,114.86,120.37,83.88,129.95,129.97,131.21,126.61,6.53,98.87,92.03,103.37,90.66,-6.67
34,2024,9,115.02,115.06,117.52,112.58,0.15,-1.19,114.9,117.17,117.21,91.28,124.0,126.76,127.63,121.77,8.15,102.79,104.84,106.51,100.91,-9.53
35,2024,10,134.29,134.35,136.25,132.08,0.42,16.55,132.98,125.9,120.34,99.56,143.67,142.96,144.38,141.74,4.14,116.97,116.41,119.35,115.11,-4.72
36,2024,11,142.47,142.94,144.87,140.21,0.23,5.79,142.5,140.92,130.4,108.52,148.84,149.31,152.85,146.22,4.89,135.3,134.66,137.18,131.76,-4.18
37,2024,12,137.19,137.41,139.54,134.88,-0.12,-3.27,137.24,139.83,138.88,115.31,145.1,145.08,146.51,143.92,3.69,128.88,129.06,131.56,126.83,-2.69
38,2025,1,135.69,136.47,138.94,132.49,-0.41,-1.07,137.02,137.34,139.31,120.36,149.4,153.0,153.1,147.79,8.93,118.39,121.78,124.97,116.22,-16.97
39,2025,2,130.32,130.56,133.18,127.49,0.26,-5.18,130.13,130.99,134.9,124.72,140.08,141.24,143.41,137.9,5.21,116.63,114.73,118.54,112.99,-8.48
40,2025,3,114.91,115.31,117.69,112.57,-0.61,-11.12,116.33,122.22,128.87,127.47,121.65,123.48,123.67,119.32,6.43,106.96,105.12,110.95,103.64,-8.69
41,2025,4,105.46,104.49,107.81,101.56,0.17,-8.69,105.54,109.51,118.41,126.29,114.32,114.1,115.09,110.49,18.72,94.3,87.45,99.43,86.61,-7.81
42,2025,5,127.3,126.84,128.91,125.19,1.06,20.99,124.71,115.24,113.08,125.54,139.17,142.23,143.47,137.89,5.63,111.6,111.47,114.66,110.81,-2.92
43,2025,6,145.68,145.04,146.84,143.79,0.8,16.66,143.62,138.09,122.74,127.83,157.98,158.39,158.7,155.95,4.33,137.36,135.47,138.1,135.38,-2.09
44,2025,7,168.05,168.12,169.73,166.13,0.55,16.0,166.17,157.63,143.26,132.04,179.26,182.89,183.29,176.03,4.04,153.29,152.97,157.19,151.48,-2.97
45,2025,8,179.4,179.16,181.31,176.53,-0.09,7.24,179.35,176.55,163.07,136.82,183.15,182.95,184.47,180.58,3.62,173.71,172.6,175.99,168.79,-3.5
46,2025,9,175.74,175.12,177.55,173.03,0.35,-2.12,175.32,176.13,174.47,140.4,186.58,182.08,187.35,181.48,3.93,167.01,167.54,169.02,164.06,-2.82
47,2025,10,188.25,188.78,191.17,185.96,0.38,6.9,186.45,182.93,179.41,145.29,207.04,207.98,212.19,204.78,4.98,179.83,180.18,182.79,176.76,-4.89
48,2025,11,195.38,197.14,199.43,192.46,-0.5,4.19,197.7,190.63,183.54,149.51,206.88,208.08,211.34,205.56,5.79,188.08,184.9,188.32,178.91,-3.96
