,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day
0,2021,1,39.36,39.39,39.87,38.64,-0.83,-4.18,40.18,41.11,40.23,33.96
1,2021,2,41.19,41.08,41.6,40.73,0.37,0.23,40.88,40.7,40.7,34.83
2,2021,3,45.28,45.04,45.61,44.74,0.48,10.32,44.9,43.46,41.92,36.42
3,2021,4,48.11,48.16,48.5,47.68,0.01,6.32,48.07,47.18,44.57,38.23
4,2021,5,48.03,47.96,48.36,47.54,0.29,-0.03,47.79,47.78,46.98,39.87
5,2021,6,49.93,49.9,50.25,49.54,0.06,4.13,49.86,49.27,48.41,41.58
6,2021,7,49.85,49.9,50.33,49.35,-0.22,-0.15,50.06,50.11,49.4,43.37
7,2021,8,47.99,47.96,48.21,47.66,0.09,-3.67,47.94,48.53,49.42,44.89
8,2021,9,46.82,47.0,47.32,46.56,-0.19,-2.44,47.0,47.58,48.36,45.98
9,2021,10,48.73,48.52,49.1,48.07,0.34,4.1,48.41,47.4,47.55,46.71
10,2021,11,48.97,49.04,49.45,48.58,-0.49,0.86,49.4,49.61,48.27,47.65
11,2021,12,46.27,46.2,46.63,45.88,0.33,-4.98,46.02,46.72,48.21,48.16
12,2022,1,47.82,47.79,48.31,47.23,-0.19,3.52,48.03,47.66,47.45,48.29
13,2022,2,49.92,49.73,50.61,49.17,0.29,3.96,49.6,48.39,47.65,48.35
14,2022,3,45.4,45.56,46.42,44.69,-0.24,-7.88,45.63,47.08,47.86,48.18
15,2022,4,42.81,43.06,43.58,42.2,-0.36,-5.18,43.25,44.57,46.43,47.61
16,2022,5,41.65,41.64,42.16,41.06,0.16,-3.7,41.53,41.83,43.65,46.85
17,2022,6,40.5,40.69,41.08,40.03,-0.56,-2.58,40.96,41.88,42.12,46.18
18,2022,7,40.03,39.87,40.57,39.37,0.33,-1.02,39.88,39.4,40.8,45.38
19,2022,8,39.73,39.82,40.19,39.35,-0.24,-0.49,39.86,40.31,40.06,44.4
20,2022,9,38.78,38.65,39.22,38.16,0.11,-2.23,38.76,38.93,39.67,43.4
21,2022,10,41.17,40.97,41.66,40.41,0.61,6.31,40.64,39.6,39.35,42.61
22,2022,11,47.67,47.54,48.12,46.98,0.4,16.15,47.23,44.81,41.62,42.24
23,2022,12,49.93,49.85,50.28,49.44,0.17,4.96,49.79,49.3,45.99,42.34
24,2023,1,51.8,51.73,52.24,51.21,0.15,3.88,51.68,51.07,49.66,42.97
25,2023,2,52.21,52.26,52.84,51.62,-0.04,0.85,52.29,52.32,51.35,44.02
26,2023,3,51.36,51.49,52.08,50.72,-0.03,-1.53,51.41,51.88,52.01,45.08
27,2023,4,47.43,47.57,48.12,46.97,-0.55,-7.95,48.02,49.25,50.94,46.07
28,2023,5,43.99,44.15,44.34,43.71,-0.32,-8.17,44.16,45.36,48.15,46.57
29,2023,6,44.57,44.47,44.86,44.18,0.25,1.35,44.43,44.3,45.35,47.09
30,2023,7,47.11,46.74,47.57,46.36,0.48,5.76,46.71,45.48,44.76,47.79
31,2023,8,49.64,49.65,49.99,49.35,0.08,5.52,49.52,48.86,46.76,48.53
32,2023,9,48.29,48.37,48.76,47.99,-0.16,-2.71,48.48,49.17,48.7,48.66
33,2023,10,46.13,46.19,46.68,45.62,-0.31,-4.63,46.41,47.19,48.41,48.33
34,2023,11,49.03,48.83,49.32,48.57,0.51,6.39,48.53,47.14,47.34,47.78
35,2023,12,52.14,52.11,52.48,51.91,0.21,6.92,51.91,50.8,48.46,47.63
36,2024,1,49.02,49.13,49.44,48.45,-0.32,-5.53,49.38,50.84,50.32,47.67
37,2024,2,48.3,48.31,48.81,47.9,-0.16,-1.4,48.44,48.51,50.0,47.85
38,2024,3,47.25,47.26,47.6,46.93,0.03,-2.41,47.22,47.48,48.27,48.19
39,2024,4,46.23,46.21,46.71,45.75,-0.14,-2.12,46.44,46.94,47.46,48.43
40,2024,5,47.69,47.62,48.05,47.37,0.12,3.1,47.53,46.67,46.85,48.34
41,2024,6,44.53,44.85,45.08,44.31,-0.66,-6.58,45.13,46.77,46.7,48.06
42,2024,7,42.84,42.61,43.21,42.36,0.27,-3.75,42.64,42.88,45.2,47.48
43,2024,8,41.13,41.18,41.53,40.82,-0.14,-4.09,41.24,41.91,42.8,46.98
44,2024,9,42.0,41.94,42.44,41.57,0.28,2.24,41.83,41.6,41.9,46.17
45,2024,10,43.66,43.76,44.17,43.24,-0.21,3.82,43.8,43.34,42.28,45.25
46,2024,11,41.67,41.73,42.11,41.27,-0.08,-4.63,41.78,42.56,42.83,44.56
47,2024,12,41.32,41.31,41.7,40.96,-0.1,-0.96,41.43,41.62,42.41,43.91
48,2025,1,39.73,39.85,40.18,39.4,-0.02,-6.25,39.79,40.48,41.36,43.37
